corpus_id,entry_no,definition,prediction,user_selected,pipeline_selected,class,post_root_morpheme,h_grade,g_grade,translocutive,translocutive_imp_only,partitive,distributive,set_a_b,stem_type,allow_h_metathesis,middle_voice,middle_voice_h_metathesis,plural,ka_variant,aki_1st,uwa_v,3rd_person_object,metathesis_involved,segmented_forms
772,741,he/she is called,InfEventful,,,hih-lh,,to,,False,False,True,True,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": "">ø-ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,hih-lh,,to,,False,True,True,True,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": "">ø-ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,oh-al,,to,,False,False,False,True,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": ""ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,oh-al,,to,,False,True,False,True,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": ""ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,oh-al,,to,,False,False,True,True,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": "">ø-ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,oh-al,,to,,False,True,True,True,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": "">ø-ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,oh-al,,to,,False,False,False,True,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": ""ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,oh-al,,to,,False,True,False,True,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": ""ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,oh-al,,to,,False,False,True,True,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": "">ø-ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,oh-al,,to,,False,True,True,True,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": "">ø-ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,sk-h,,to,,False,False,False,True,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": ""ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,sk-h,,to,,False,True,False,True,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": ""ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,sk-h,,to,,False,False,True,True,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": "">ø-ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,sk-h,,to,,False,True,True,True,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": "">ø-ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,sk-h,,to,,False,False,False,True,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": ""ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,sk-h,,to,,False,True,False,True,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": ""ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,sk-h,,to,,False,False,True,True,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": "">ø-ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,sk-h,,to,,False,True,True,True,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": "">ø-ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,sk-s-hst,,to,,False,False,False,True,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": ""ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,sk-s-hst,,to,,False,True,False,True,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": ""ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,sk-s-hst,,to,,False,False,True,True,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": "">ø-ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,sk-s-hst,,to,,False,True,True,True,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": "">ø-ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,sk-s-hst,,to,,False,False,False,True,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": ""ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,sk-s-hst,,to,,False,True,False,True,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": ""ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,sk-s-hst,,to,,False,False,True,True,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": "">ø-ts-u-to-hst-i""}"
772,741,he/she is called,InfEventful,,,sk-s-hst,,to,,False,True,True,True,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": "">ø-ts-u-to-hst-i""}"
970,741,he/she is called,InfEventful,,,become,become-long[o],at,,False,False,False,True,a,vowel_a,False,none,False,False,False,False,False,False,False,"{""infinitive"": ""ts-u->at-o-hst-i""}"
970,741,he/she is called,InfEventful,,x,become,become-long[o],at,,False,True,False,True,a,vowel_a,False,none,False,False,False,False,False,False,False,"{""infinitive"": ""ts-u->at-o-hst-i""}"
970,741,he/she is called,InfEventful,,,become,become-long[o],at,,False,False,True,True,a,vowel_a,False,none,False,False,False,False,False,False,False,"{""infinitive"": "">ø-ts-u->at-o-hst-i""}"
970,741,he/she is called,InfEventful,,,become,become-long[o],at,,False,True,True,True,a,vowel_a,False,none,False,False,False,False,False,False,False,"{""infinitive"": "">ø-ts-u->at-o-hst-i""}"
970,741,he/she is called,InfEventful,,,become,become-long[o],at,,False,False,False,True,a,vowel_a,False,none,False,False,False,False,False,True,False,"{""infinitive"": ""ts-u->at-o-hst-i""}"
970,741,he/she is called,InfEventful,,,become,become-long[o],at,,False,True,False,True,a,vowel_a,False,none,False,False,False,False,False,True,False,"{""infinitive"": ""ts-u->at-o-hst-i""}"
970,741,he/she is called,InfEventful,,,become,become-long[o],at,,False,False,True,True,a,vowel_a,False,none,False,False,False,False,False,True,False,"{""infinitive"": "">ø-ts-u->at-o-hst-i""}"
970,741,he/she is called,InfEventful,,,become,become-long[o],at,,False,True,True,True,a,vowel_a,False,none,False,False,False,False,False,True,False,"{""infinitive"": "">ø-ts-u->at-o-hst-i""}"
970,741,he/she is called,InfEventful,,,o,,at,,False,False,False,True,a,vowel_a,False,none,False,False,False,False,False,False,False,"{""infinitive"": ""ts-u->at-ohst-i""}"
970,741,he/she is called,InfEventful,,,o,,at,,False,True,False,True,a,vowel_a,False,none,False,False,False,False,False,False,False,"{""infinitive"": ""ts-u->at-ohst-i""}"
970,741,he/she is called,InfEventful,,,o,,at,,False,False,True,True,a,vowel_a,False,none,False,False,False,False,False,False,False,"{""infinitive"": "">ø-ts-u->at-ohst-i""}"
970,741,he/she is called,InfEventful,,,o,,at,,False,True,True,True,a,vowel_a,False,none,False,False,False,False,False,False,False,"{""infinitive"": "">ø-ts-u->at-ohst-i""}"
970,741,he/she is called,InfEventful,,,o,,at,,False,False,False,True,a,vowel_a,False,none,False,False,False,False,False,True,False,"{""infinitive"": ""ts-u->at-ohst-i""}"
970,741,he/she is called,InfEventful,,,o,,at,,False,True,False,True,a,vowel_a,False,none,False,False,False,False,False,True,False,"{""infinitive"": ""ts-u->at-ohst-i""}"
970,741,he/she is called,InfEventful,,,o,,at,,False,False,True,True,a,vowel_a,False,none,False,False,False,False,False,True,False,"{""infinitive"": "">ø-ts-u->at-ohst-i""}"
970,741,he/she is called,InfEventful,,,o,,at,,False,True,True,True,a,vowel_a,False,none,False,False,False,False,False,True,False,"{""infinitive"": "">ø-ts-u->at-ohst-i""}"
1462,1528,he/she feels,InfEventful,x,x,i-a-i,long,anht,,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False,"{""infinitive"": ""u->at-anht-at-ihst-i""}"
1462,1528,he/she feels,InfEventful,,,i-a-i,long,anht,,False,True,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False,"{""infinitive"": ""u->at-anht-at-ihst-i""}"
1462,1528,he/she feels,InfEventful,,,i-a-i,long,anht,,False,False,True,False,a,vowel_a,False,at,False,False,False,False,False,False,False,"{""infinitive"": "">ø-u->at-anht-at-ihst-i""}"
1462,1528,he/she feels,InfEventful,,,i-a-i,long,anht,,False,True,True,False,a,vowel_a,False,at,False,False,False,False,False,False,False,"{""infinitive"": "">ø-u->at-anht-at-ihst-i""}"
1462,1528,he/she feels,InfEventful,,,i-a-i,long,anht,,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,True,False,"{""infinitive"": ""u->at-anht-at-ihst-i""}"
1462,1528,he/she feels,InfEventful,,,i-a-i,long,anht,,False,True,False,False,a,vowel_a,False,at,False,False,False,False,False,True,False,"{""infinitive"": ""u->at-anht-at-ihst-i""}"
1462,1528,he/she feels,InfEventful,,,i-a-i,long,anht,,False,False,True,False,a,vowel_a,False,at,False,False,False,False,False,True,False,"{""infinitive"": "">ø-u->at-anht-at-ihst-i""}"
1462,1528,he/she feels,InfEventful,,,i-a-i,long,anht,,False,True,True,False,a,vowel_a,False,at,False,False,False,False,False,True,False,"{""infinitive"": "">ø-u->at-anht-at-ihst-i""}"
1629,1708,he/she has a liquid,InfEventful,,,apl,,n,,False,False,False,False,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": ""u-n-eht-i""}"
1629,1708,he/she has a liquid,InfEventful,,x,apl,,n,,False,True,False,False,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": ""u-n-eht-i""}"
1629,1708,he/she has a liquid,InfEventful,,,apl,,n,,False,False,True,False,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": "">ø-u-n-eht-i""}"
1629,1708,he/she has a liquid,InfEventful,,,apl,,n,,False,True,True,False,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": "">ø-u-n-eht-i""}"
1629,1708,he/she has a liquid,InfEventful,,,apl,,n,,False,False,False,False,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": ""u-n-eht-i""}"
1629,1708,he/she has a liquid,InfEventful,,,apl,,n,,False,True,False,False,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": ""u-n-eht-i""}"
1629,1708,he/she has a liquid,InfEventful,,,apl,,n,,False,False,True,False,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": "">ø-u-n-eht-i""}"
1629,1708,he/she has a liquid,InfEventful,,,apl,,n,,False,True,True,False,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": "">ø-u-n-eht-i""}"
1629,1708,he/she has a liquid,InfEventful,,,apl-active,,n,,False,False,False,False,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": ""u-n-eht-i""}"
1629,1708,he/she has a liquid,InfEventful,,,apl-active,,n,,False,True,False,False,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": ""u-n-eht-i""}"
1629,1708,he/she has a liquid,InfEventful,,,apl-active,,n,,False,False,True,False,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": "">ø-u-n-eht-i""}"
1629,1708,he/she has a liquid,InfEventful,,,apl-active,,n,,False,True,True,False,a,con,False,none,False,False,False,False,False,False,False,"{""infinitive"": "">ø-u-n-eht-i""}"
1629,1708,he/she has a liquid,InfEventful,,,apl-active,,n,,False,False,False,False,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": ""u-n-eht-i""}"
1629,1708,he/she has a liquid,InfEventful,,,apl-active,,n,,False,True,False,False,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": ""u-n-eht-i""}"
1629,1708,he/she has a liquid,InfEventful,,,apl-active,,n,,False,False,True,False,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": "">ø-u-n-eht-i""}"
1629,1708,he/she has a liquid,InfEventful,,,apl-active,,n,,False,True,True,False,a,con,False,none,False,False,False,False,False,True,False,"{""infinitive"": "">ø-u-n-eht-i""}"
