corpus_id,definition,h_grade,g_grade,class,post_root_morpheme,root_id,user_edited
452,he/she is choosing him/her,ahsuy,ahsuy,rev-e,,ahsuy|ahsuy,
454,he/she is mixing it in,ahsuy,ahsuy,vsk[imp2],,ahsuy|ahsuy,
136,it’s burning,ak,ak,ohvsg,,ak|ak,
112,it is shining (refers to sun or moon),akal,,ih-ihi,,akal|,
261,he/she is riding it (refers to anything that can be straddled),akhilvt,akhilvt,ih-ohd,,akhilvt|akhilvt,
1592,it’s sticking out,akhsat,,hvsg-han,,akhsat|,
1593,he/she is watching him/her,akhsehst,,ih-ohd,,akhsehst|,
281,he/she is peeking through,akhth,akath,ih-ohd[perf2],,akhth|akath,
276,he/she is turning back,akhthah,akathah,v-vhs,,akhthah|akathah,
277,he/she is winking,akhthahst,akathahst,ih-ohd,,akhthahst|akathahst,
573,he/she is closing his eyes,akhthahst,akathahst,ih-ohd,,akhthahst|akathahst,
576,he/she is putting on glasses,akhthinvt,akathinvt,hvsg-han,,akhthinvt|akathinvt,
729,he/she is wearing glasses,akhthinvt,akathinvt,hvsg-han,,akhthinvt|akathinvt,
575,he/she is taking off his/her glasses,akhthinvt,akathinvt,rev-e,,akhthinvt|akathinvt,
288,he/she is looking at him/her,akhthohst,akathohst,ih-ohd[pres2],,akhthohst|akathohst,
135,he/she is burning him/her,akohvhst,akohvhst,ih-ohd,,akohvhst|akohvhst,
140,he/she is target practicing,akon,akon,ih-vh,,akon|akon,
153,he/she is washing his face,akvhskw,akvhskw,o,,akvhskw|akvhskw,
293,he/she is paying it,akwhiy,akwiy,ih-vh,,akwhiy|akwiy,
294,he/she is paying him/her,akwhiyv',akwiyv',eh-el,,akwhiyv'|akwiyv',
300,he/she is taking a step,alahsk,alahsk,v-vhs,,alahsk|alahsk,
298,he/she is playing ball,alahskal,alahskal,ih-vh,,alahskal|alahskal,
297,he/she is stepping on him/her,alahst,alahst,vsk[imp2],,alahst|alahst,
296,he/she is tromping on him/her,alahsta',alahsta',eh-ehl,,alahsta'|alahsta',
582,he/she is putting on shoes,alahsul,alahsul,hvsg-han,,alahsul|alahsul,
584,he/she is taking off his/her shoes,alahsul,alahsul,rev-e,,alahsul|alahsul,
730,he/she is wearing shoes,alahsul,alahsul,stative-h,,alahsul|alahsul,
583,he/she is changing shoes,alahsul,alahsul,v-vhs,change-out[flexible],alahsul|alahsul,
306,he/she is standing in a certain spot,ale,ale,hvsg-hn,,ale|ale,
587,he/she is getting up (from sitting or from involuntarily assumed prone position),ale,ale,hvsg-hn,,ale|ale,
586,he/she is recuperating,aleh,ale',ih-ohd[perf2],iterative,aleh|ale',
305,he/she is placing it in an upright position (refers to a long object),aleht,alet,ih-ohd,,aleht|alet,
585,he/she is helping him/her up,aleht,alet,ih-ohd,,aleht|alet,
309,he/she is starting,alen,alen,ih-vh,,alen|alen,
1602,he/she is losing his/her way,alena,,hih-lh,,alena|,
307,he/she is stopping,alewhihst,alewihst,ih-ohd,,alewhihst|alewihst,
308,he/she is stopping him/her,alewhihstoht,alewihstoht,ih-ohd,,alewhihstoht|alewihstoht,
173,he/she is measuring it,alh,atl,o,repetitive,alh|atl,
167,he/she is taking off flying,alhawit,atlawit,ih-vh,,alhawit|atlawit,
169,he/she is making him/her fly,alhawitht,atlawitht,ih-ohd[perf3],,alhawitht|atlawitht,
171,he/she is having a nightmare,alhi,atli,rev-gi,,alhi|atli,
552,he/she is rocking,alhihk,alihk,eh-eh,,alhihk|alihk,
553,he/she is drawing a picture of him/her,alhilohst,atlilohst,ih-ohd,,alhilohst|atlilohst,
336,he/she is dancing,alhs,alihs,rev-gi,,alhs|alihs,
1623,it’s dark,alhsih,,stative-k,,alhsih|,
