corpus_id,entry_no,definition,present,present_1sg,imperfective,perfective,imperative,infinitive
106,110,he/she is doing it,atvneh,katvneh,atvneh,utvnel,hatvka,utvnht
107,111,he/she is acting silly,atvnelih,katvnelih,atvnelihsk,utvnelvnh,hatvnela,utvnelht
109,113,he/she is preparing it,atvnv'ihstih,katvnv'ihstih,atvnv'ihstihsk,utvnv'ihsthan,hatvnv'ihsta,utvnv'ihstoht
112,116,it is shining,akalih,,akalihsk,ukalihs,,ukalihihst
113,117,he/she is breaking it,akalhsk,tsikalhsk,akalhsk,ukalhs,hika'la,ukalhst
115,119,he/she is licking it,akanati',tsikanati',akanatihsk,ukanat,hikanata,ukanatihst
117,121,he/she is warming it,akanawhtih,tsikanawotih,akanawhtihsk,ukanawhthan,hikanawhta,ukanawhtoht
118,122,it’s getting warm,akanawohsk,,akanawohsk,ukanawohs,,ukanawohihst
119,123,it’s raining,akahsk,,akahsk,ukanhan,,ukanht
127,132,he/she is eating it,aki',tsiki',akihsk,uk,hika,ukihst
128,133,he/she is picking it up,aki',tsiki',akihsk,ukihs,hiki,ukihst
130,135,he/she is in agony,akilhiyok,tsikiliyok,akilhiyok,ukilhiyots,hikilhiyoki,ukilhiyohst
133,138,he/she is chewing it,akihsto',tsikihsto',akihstohsk,ukihsto',hikihstotsa,ukihstohst
135,140,he/she is burning him/her,akohvhstih,tsiyakohvhstih,akohvhstihsk,ukohvhsthan,hiyakohvhsta,ukohvhstoht
136,141,it’s burning,akohvhsk,kakohvhsk,akohvhsk,ukonh,hakonha,ukohvhst
138,143,he/she is reading,akoliye',tsikoliye',akoliyehsk,ukoliye',hikoliya,ukoliyet
140,145,he/she is target practicing,akonih,kakonih,akonihsk,ukonvh,hakona,ukonht
143,148,he/she sees him/her,akowhthih,tsikowhthih,akowhthihsk,ukoh,hikowahtha,ukowhthvht
145,150,he/she is showing it to him/her,akowhthvhtih,tsikowhthvhtih,akowhthvhtihsk,ukowhthvhthan,hikowhthvhta,ukowhthvhtoht
148,153,he/she is cutting it,akvhalih,tsikv'alih,akvhalihsko'v,ukvhalvh,hikvhala,ukvhalht
149,154,he/she is chopping it up,akvhaluyhsk,tsikv'aluyhsk,akvhaluyhsk,ukvhaluyh,hikvhaluyha,ukvhaluyhst
152,157,he/she is scolding him/her,akvhskolvhsk,tsikvhskolvhsk,akvhskolvhsk,ukvhskolvn,hikvhskolv'vka,ukvhskolvt
153,158,he/she is washing his face,akvhskwo',kakvhskwo',akvhskwohsk,ukvhskwo',hakvhskwotsa,ukvhskwohst
155,161,he/she is diverting him/her,ahaluki',tsi'aluki',ahalukihsk,uhalukihs,hi'aluki,uhalukihst
158,164,he/she is smothering him/her,ahawohstih,tsi'awohstih,ahawohstihsk,uhawohsthan,hi'awohsta,uhawohstoht
160,166,he/she is handling it,ahitoh,tsi'itoh,ahitoh,uhitol,hihita,uhitahst
161,167,he/she is killing him/her,ahih,tsi'ih,ahih,ulh,hiluka,uhihst
