corpus_id,definition,class,present,present_1sg,imperfective,perfective,imperative,infinitive
42,he/she is making noise,cause[perf3],atanoyhvlhihst,katanoyvlihst,atanoyhvlhihst,utanoyhvlhihsth,hatanoyhvlhihst,utanoyhvlhihst
42,he/she is making noise,cause[pres2],atanoyhvlhihstih,katanoyvlihstih,atanoyhvlhihst,utanoyhvlhihst,hatanoyhvlhihst,utanoyhvlhihst
42,he/she is making noise,cause[pres2-perf3],atanoyhvlhihstih,katanoyvlihstih,atanoyhvlhihst,utanoyhvlhihsth,hatanoyhvlhihst,utanoyhvlhihst
43,he/she is crawling,go[pres2],atanhsin,katanahsin,atanhsin,utanhsin,hatanhsin,utanhsin
44,it’s twisting,oh-ol,atanuthey,katanuthey,atanuthey,utanuthey,hatanuthey,utanuthey
45,he/she is moving from one place to another,glottal-sk,atanv,kata'nv,ata'nv,uta'nvhs,hata'nvn,uta'nv
45,he/she is moving from one place to another,glottal-sk[perf2],atanv,kata'nv,ata'nv,uta'nv,hata'nvn,uta'nv
45,he/she is moving from one place to another,v-vhs,atan,kata'n,ata'n,uta'n,hata'n,uta'n
46,he/she is ordering it,sk-s-hst[imp2],atanv,katanv,atanv,utanv,hatanvl,utanv
46,he/she is ordering it,sk-s-hst[imp4],atanv,katanv,atanv,utanv,hatanvl,utanv
46,he/she is ordering it,sk-s-la,atanv,katanv,atanv,utanv,hatanv,utanv
46,he/she is ordering it,sk-s-hst,atanv,katanv,atanv,utanv,hatanvla,utanv
48,he/she is cooking a meal,hvsk-nh,atahstayv,katahstayv,atahstayv,utahstayv,hatahstayv,utahstay
48,he/she is cooking a meal,hvsk-nh[inf2],atahstayv,katahstayv,atahstayv,utahstayv,hatahstayv,utahstay
48,he/she is cooking a meal,episodic,atahstay,katahstay,atahstay,utahstay,hatahstay,utahstay
51,it’s burning,glottal-sk,atawelaki,katawelaki,atawelaki,utawelak,hatawelak,utawelaki
54,he/she is resting,cause,atawehsolvhst,katawehsolvhst,atawehsolvhst,utawehsolvhst,hatawehsolvhst,utawehsolvhst
54,he/she is resting,cause[perf3],atawehsolvhst,katawehsolvhst,atawehsolvhst,utawehsolvhsth,hatawehsolvhst,utawehsolvhst
54,he/she is resting,cause[pres2],atawehsolvhstih,katawehsolvhstih,atawehsolvhst,utawehsolvhst,hatawehsolvhst,utawehsolvhst
54,he/she is resting,cause[pres2-perf3],atawehsolvhstih,katawehsolvhstih,atawehsolvhst,utawehsolvhsth,hatawehsolvhst,utawehsolvhst
56,he/she is bathing,glottal-sk,atawo,katawo,atawo,utawo',hatawots,utawo
56,he/she is bathing,o,ataw,kataw,ataw,utaw,hataw,utaw
59,he/she is giving him/her it,apl,at,tsit,at,ut,hiti,ut
59,he/she is giving him/her it,apl[imp2],at,tsit,at,ut,hiti,ut
59,he/she is giving him/her it,apl[imp3],at,tsit,at,ut,hit,ut
60,he/she is learning,glottal-sk,atelhohkwa,katelohkwa,atelhohkwa,utelhohkwa',hatelhohkw,utelhohkwa
61,he/she is embarrassing him/her,cause,atehohihst,tsiyate'ohihst,atehohihst,utehohihst,hiyate'ohihst,utehohihst
61,he/she is embarrassing him/her,cause[perf3],atehohihst,tsiyate'ohihst,atehohihst,utehohihsth,hiyate'ohihst,utehohihst
61,he/she is embarrassing him/her,cause[pres2],atehohihstih,tsiyate'ohihstih,atehohihst,utehohihst,hiyate'ohihst,utehohihst
61,he/she is embarrassing him/her,cause[pres2-perf3],atehohihstih,tsiyate'ohihstih,atehohihst,utehohihsth,hiyate'ohihst,utehohihst
62,he/she is embarrassed,sk-s-hi-hihst,ateho,kate'o,ateho,uteho,hateho,uteho
62,he/she is embarrassed,sk-s-hst[imp3],ateho,kate'o,ateho,uteho,hateho,utehohi
62,he/she is embarrassed,sk-s-hst,ateho,kate'o,ateho,uteho,hatehohi,utehohi
63,he/she is being born,hvsk-nh,ate,kate,ate,ute,hate,ute
63,he/she is being born,hvsk-nh[inf2],ate,kate,ate,ute,hate,ute
67,he/she is finding it out,sk-s-hi-hihst,ateloho,katelo'o,ateloho,uteloho,hateloho,uteloho
67,he/she is finding it out,sk-s-hst[imp3],ateloho,katelo'o,ateloho,uteloho,hateloho,utelohohi
67,he/she is finding it out,sk-s-hst,ateloho,katelo'o,ateloho,uteloho,hatelohohi,utelohohi
70,he/she is going around a curve,oh-ol[inf2],atey,katey,atey,utey,hatey,utey
72,he/she is laying it down,glottal-sk,ati,tsiti,ati,ut,hit,uti
72,he/she is laying it down,long-no-a,a,tsi,a,u,hi,u
73,he/she is rising,ih-vh,atit,katit,atit,utit,hatit,utit
