corpus_id,definition,form,surface_stem,underlying_stem
133,he/she is chewing it,infinitive,ki21hst-o21hst,kiihstoohst
138,he/she is reading,present,ko22li23y-e3',kooliiyee'
138,he/she is reading,present,ko22li23y-e3',kooliiye'
138,he/she is reading,present_1sg,ko22li23y-e3',kooliiyee'
138,he/she is reading,present_1sg,ko22li23y-e3',kooliiye'
138,he/she is reading,imperfective,ko22li23y-e32hsk,kooliiyee'hsk
138,he/she is reading,imperfective,ko22li23y-e32hsk,kooliiye'hsk
138,he/she is reading,perfective,ko22li23y-e3',kooliiyee'
138,he/she is reading,perfective,ko22li23y-e3',kooliiye'
138,he/she is reading,imperative,ko22li23y-a2,kooliiya
138,he/she is reading,infinitive,ko22li23y-e32t,kooliiyee't
138,he/she is reading,infinitive,ko22li23y-e32t,kooliiye't
145,he/she is showing it to him/her,present,ko2whthv2ht-i3h,kowhthvhtih'
145,he/she is showing it to him/her,present_1sg,ko21whthv2ht-i3h,koowhthvhtih'
145,he/she is showing it to him/her,imperfective,ko2whthv2ht-i23hsk,kowhthvhtiihsk
145,he/she is showing it to him/her,perfective,ko2whthv2ht-ha2n,kowhthvhthan
145,he/she is showing it to him/her,imperative,ko21whthv2ht-a2,koowhthvhta
145,he/she is showing it to him/her,infinitive,ko2whthv2ht-o3ht,kowhthvhtoh't
149,he/she is chopping it up,present,kv22ha3lu32y-hsk,kvvhalu'yhsk
149,he/she is chopping it up,present_1sg,kv2'a2lu32y-hsk,kv'alu'yhsk
149,he/she is chopping it up,imperfective,kv22ha2lu32y-hsk,kvvhalu'yhsk
149,he/she is chopping it up,perfective,kv22ha2lu32y-h,kvvhalu'yh
149,he/she is chopping it up,imperative,kv22ha2lu21y-ha2,kvvhaluuyha
149,he/she is chopping it up,infinitive,kv22ha2lu21y-hst,kvvhaluuyhst
152,he/she is scolding him/her,present,kv22hsko23l-v32hsk,kvvhskoolvv'hsk
152,he/she is scolding him/her,present,kv22hsko23l-v32hsk,kvvhskoolv'hsk
152,he/she is scolding him/her,present_1sg,kv21hsko23l-v32hsk,kvvhskoolvv'hsk
152,he/she is scolding him/her,present_1sg,kv21hsko23l-v32hsk,kvvhskoolv'hsk
152,he/she is scolding him/her,imperfective,kv22hsko23l-v32hsk,kvvhskoolvv'hsk
152,he/she is scolding him/her,imperfective,kv22hsko23l-v32hsk,kvvhskoolv'hsk
152,he/she is scolding him/her,perfective,kv22hsko23l-v32n,kvvhskoolvv'n
152,he/she is scolding him/her,perfective,kv22hsko23l-v32n,kvvhskoolv'n
152,he/she is scolding him/her,imperative,kv21hsko22l-v2'v21ka2,kvvhskoolv'vvka
152,he/she is scolding him/her,infinitive,kv22hsko23l-v32t,kvvhskoolvv't
152,he/she is scolding him/her,infinitive,kv22hsko23l-v32t,kvvhskoolv't
155,he/she is diverting him/her,present,ha2lu23-ki3',haluukii'
155,he/she is diverting him/her,present,ha2lu23-ki3',haluuki'
155,he/she is diverting him/her,present_1sg,'a2lu23-ki3','aluukii'
155,he/she is diverting him/her,present_1sg,'a2lu23-ki3','aluuki'
155,he/she is diverting him/her,imperfective,ha2lu23-ki32hsk,haluukii'hsk
155,he/she is diverting him/her,imperfective,ha2lu23-ki32hsk,haluuki'hsk
155,he/she is diverting him/her,perfective,ha2lu23-ki32hs,haluukii'hs
155,he/she is diverting him/her,perfective,ha2lu23-ki32hs,haluuki'hs
155,he/she is diverting him/her,imperative,'a2lu23-ki2,'aluuki
155,he/she is diverting him/her,infinitive,ha2lu23-ki32hst,haluukii'hst
155,he/she is diverting him/her,infinitive,ha2lu23-ki32hst,haluuki'hst
158,he/she is smothering him/her,present,ha2wo33hst-i2h,hawoo'hstih
158,he/she is smothering him/her,present,ha2wo33hst-i2h,hawooh'stih
158,he/she is smothering him/her,present_1sg,'a2wo33hst-i2h,'awoo'hstih
158,he/she is smothering him/her,present_1sg,'a2wo33hst-i2h,'awooh'stih
158,he/she is smothering him/her,imperfective,ha2wo33hst-i22hsk,hawoo'hstiihsk
158,he/she is smothering him/her,imperfective,ha2wo33hst-i22hsk,hawooh'stiihsk
158,he/she is smothering him/her,perfective,ha2wo33hst-ha2n,hawoo'hsthan
158,he/she is smothering him/her,perfective,ha2wo33hst-ha2n,hawooh'sthan
158,he/she is smothering him/her,imperative,'a2wo21hst-a2,'awoohsta
158,he/she is smothering him/her,infinitive,ha2wo21hst-o2ht,hawoohstoht
160,he/she is handling it,present,h-i23to32h,hiitoo'h
160,he/she is handling it,present,h-i23to32h,hiito'h
160,he/she is handling it,present_1sg,'-i23to32h,'iitoo'h
160,he/she is handling it,present_1sg,'-i23to32h,'iito'h
160,he/she is handling it,imperfective,h-i23to32h,hiitoo'h
160,he/she is handling it,imperfective,h-i23to32h,hiito'h
160,he/she is handling it,perfective,h-i23to32l,hiitoo'l
160,he/she is handling it,perfective,h-i23to32l,hiito'l
160,he/she is handling it,imperative,h-i23ta2,hiita
160,he/she is handling it,infinitive,h-i23ta32hst,hiitaa'hst
160,he/she is handling it,infinitive,h-i23ta32hst,hiita'hst
165,he/she is leaving it behind,present,h-i22y-a3',hiiya'
165,he/she is leaving it behind,present_1sg,'-i22y-a3','iiya'
165,he/she is leaving it behind,imperfective,h-i22y-a32hsk,hiiyaahsk
165,he/she is leaving it behind,perfective,h-i33y-,hii'y
165,he/she is leaving it behind,perfective,h-i33y-,hiiy'
165,he/she is leaving it behind,imperative,h-i23y-a2,hiiya
165,he/she is leaving it behind,infinitive,h-i23y-a32hst,hiiyaa'hst
165,he/she is leaving it behind,infinitive,h-i23y-a32hst,hiiya'hst
166,he/she is placing it on something,present,lha2-hv3hsk,lhahvh'sk
166,he/she is placing it on something,present_1sg,lha2-hv3hsk,lhahvh'sk
166,he/she is placing it on something,imperfective,lha2-hv3hsk,lhahvh'sk
166,he/she is placing it on something,perfective,lha2-nh,lhanh
166,he/she is placing it on something,imperative,lha2-hv21ka2,lhahvvka
166,he/she is placing it on something,infinitive,lh-o2ht,lhoht
182,he/she is beating him/her at a game,present,lho22-hsk,lhoohsk
182,he/she is beating him/her at a game,present_1sg,lho22-hsk,lhoohsk
182,he/she is beating him/her at a game,imperfective,lho22-hsk,lhoohsk
182,he/she is beating him/her at a game,perfective,lho22-hs,lhoohs
182,he/she is beating him/her at a game,imperative,lho23-hi2,lhoohi
182,he/she is beating him/her at a game,infinitive,lho22-hi2hst,lhoohihst
200,he/she is putting it in liquid,present,hu22-t-i3',huuti'
200,he/she is putting it in liquid,present_1sg,'u22-t-i3','uuti'
200,he/she is putting it in liquid,imperfective,hu22-t-i32hsk,huutiihsk
200,he/she is putting it in liquid,perfective,hu33-t-,huu't
200,he/she is putting it in liquid,perfective,hu33-t-,huut'
200,he/she is putting it in liquid,imperative,hu23-t-a2,huuta
200,he/she is putting it in liquid,infinitive,hu23-t-i32hst,huutii'hst
200,he/she is putting it in liquid,infinitive,hu23-t-i32hst,huuti'hst
204,he/she is hitting him/her on the mouth,present,hu22l-v33n-i2h,huulvvn'ih
204,he/she is hitting him/her on the mouth,present_1sg,'u22l-v33n-i2h,'uulvvn'ih
204,he/she is hitting him/her on the mouth,imperfective,hu22l-v33n-i2h,huulvvn'ih
204,he/she is hitting him/her on the mouth,perfective,hu22l-v23n-i32l,huulvvnii'l
204,he/she is hitting him/her on the mouth,perfective,hu22l-v23n-i32l,huulvvni'l
204,he/she is hitting him/her on the mouth,imperative,'u22l-v22n-i21ka2,'uulvvniika
204,he/she is hitting him/her on the mouth,infinitive,hu22l-v23n-i32hst,huulvvnii'hst
204,he/she is hitting him/her on the mouth,infinitive,hu22l-v23n-i32hst,huulvvni'hst
205,he/she is moving it from one place to another,present,h-v33',hvv'
205,he/she is moving it from one place to another,present_1sg,'-v33','vv'
205,he/she is moving it from one place to another,imperfective,h-v33hsk,hvv'hsk
205,he/she is moving it from one place to another,imperfective,h-v33hsk,hvvh'sk
205,he/she is moving it from one place to another,perfective,h-v33hs,hvv'hs
205,he/she is moving it from one place to another,perfective,h-v33hs,hvvh's
205,he/she is moving it from one place to another,imperative,h-v23na2,hvvna
205,he/she is moving it from one place to another,infinitive,h-v21hst,hvvhst
206,he/she is setting it down,present,-hv3hsk,hvh'sk
206,he/she is setting it down,present_1sg,-'v3hsk,'vh'sk
206,he/she is setting it down,imperfective,-hv2hsk,hvhsk
206,he/she is setting it down,perfective,-nh,nh
206,he/she is setting it down,imperative,-hv21ka2,hvvka
206,he/she is setting it down,infinitive,-ht,ht
207,he/she is finding him/her,present,wha2hth-i3h,whahthih'
207,he/she is finding him/her,present_1sg,wa2hth-i3h,wahthih'
207,he/she is finding him/her,imperfective,wha2hth-i23hsk,whahthiihsk
207,he/she is finding him/her,perfective,wha2hth-v22h,whahthvvh
207,he/she is finding him/her,imperative,wa2hth-a2,wahtha
207,he/she is finding him/her,infinitive,wha2hth-v2ht,whahthvht
208,he/she is visiting him/her,present,wha2hthv22h-i23to32h,whahthvvhiitoo'h
208,he/she is visiting him/her,present,wha2hthv22h-i23to32h,whahthvvhiito'h
208,he/she is visiting him/her,present_1sg,wa2hthv22h-i23to32h,wahthvvhiitoo'h
208,he/she is visiting him/her,present_1sg,wa2hthv22h-i23to32h,wahthvvhiito'h
208,he/she is visiting him/her,imperfective,wha2hthv22h-i23to32h,whahthvvhiitoo'h
208,he/she is visiting him/her,imperfective,wha2hthv22h-i23to32h,whahthvvhiito'h
208,he/she is visiting him/her,perfective,wha2hthv22h-i23to32l,whahthvvhiitoo'l
208,he/she is visiting him/her,perfective,wha2hthv22h-i23to32l,whahthvvhiito'l
208,he/she is visiting him/her,imperative,wa2hthv22h-i23ta2,wahthvvhiita
208,he/she is visiting him/her,infinitive,wha2hthv22h-i23ta32hst,whahthvvhiitaa'hst
208,he/she is visiting him/her,infinitive,wha2hthv22h-i23ta32hst,whahthvvhiita'hst
210,he/she is planting it,present,whi2-hsk,whihsk
210,he/she is planting it,present_1sg,wi2-hsk,wihsk
210,he/she is planting it,imperfective,whi2-hsk,whihsk
210,he/she is planting it,perfective,whi2-hs,whihs
210,he/she is planting it,imperative,whi2-,whi
210,he/she is planting it,infinitive,whi2-hst,whihst
215,he/she is calling him/her,present,yha2n-i3h,yhanih'
215,he/she is calling him/her,present_1sg,ya2n-i3h,yanih'
215,he/she is calling him/her,imperfective,yha2n-i23hsk,yhaniihsk
215,he/she is calling him/her,perfective,yha2n-v22h,yhanvvh
215,he/she is calling him/her,imperative,ya2n-a2,yana
215,he/she is calling him/her,infinitive,yha2n-ht,yhanht
216,he/she is taking it somewhere by hand,present,yh-e33k,yhee'k
216,he/she is taking it somewhere by hand,present,yh-e33k,yheek'
216,he/she is taking it somewhere by hand,present_1sg,y-e33k,yee'k
216,he/she is taking it somewhere by hand,present_1sg,y-e33k,yeek'
216,he/she is taking it somewhere by hand,imperfective,yh-e33k,yhee'k
216,he/she is taking it somewhere by hand,imperfective,yh-e33k,yheek'
216,he/she is taking it somewhere by hand,perfective,yh-v33hs,yhvv'hs
216,he/she is taking it somewhere by hand,perfective,yh-v33hs,yhvvh's
216,he/she is taking it somewhere by hand,imperative,yh-u21ka2,yhuuka
216,he/she is taking it somewhere by hand,infinitive,yh-v21hst,yhvvhst
218,he/she is quilting it,present,yhe2hka2l-hv3hsk,yhehkalhvh'sk
218,he/she is quilting it,present_1sg,ye2hka2l-hv3hsk,yehkalhvh'sk
218,he/she is quilting it,imperfective,yhe2hka2l-hv3hsk,yhehkalhvh'sk
218,he/she is quilting it,perfective,yhe2hka2l-ha3n,yhehkalhan'
218,he/she is quilting it,imperative,yhe2hka2l-hv21ka2,yhehkalhvvka
218,he/she is quilting it,infinitive,yhe2hka2l-ht,yhehkalht
219,he/she is making an incision,present,yhe23l-ho3h,yheelhoh'
219,he/she is making an incision,present_1sg,ye23l-ho3h,yeelhoh'
219,he/she is making an incision,imperfective,yhe23l-ho3h,yheelhoh'
219,he/she is making an incision,perfective,yhe23l-ha3l,yheelhal'
219,he/she is making an incision,imperative,ye22l-a2ka2,yeelaka
219,he/she is making an incision,infinitive,yhe23l-hst,yheelhst
220,he/she is imitating him/her,present,yhe22l-i33',yheelii'
220,he/she is imitating him/her,present_1sg,ye22l-i33',yeelii'
220,he/she is imitating him/her,imperfective,yhe22l-i33hsk,yheeliih'sk
220,he/she is imitating him/her,perfective,yhe22l-i33hs,yheeliih's
220,he/she is imitating him/her,imperative,ye23l-a2,yeela
220,he/she is imitating him/her,infinitive,yhe22l-i21hst,yheeliihst
222,he/she is looking for him/her,present,y-ho3h,yhoh'
222,he/she is looking for him/her,present_1sg,y-o3h,yoh'
222,he/she is looking for him/her,imperfective,y-ho2h,yhoh
222,he/she is looking for him/her,perfective,y-ha2l,yhal
222,he/she is looking for him/her,imperative,y-hka2,yhka
222,he/she is looking for him/her,infinitive,y-hst,yhst
224,it’s thundering,present,yhv22ta2kwa2l-o3',yhvvtakwalo'
224,it’s thundering,imperfective,yhv22ta2kwa3l-o32hsk,yhvvtakwal'oohsk
224,it’s thundering,perfective,yhv22ta2kwa2l-o3',yhvvtakwalo'
224,it’s thundering,infinitive,yhv22ta2kwa2l-o21hst,yhvvtakwaloohst
228,he/she is bending it,present,yhv2hkwi3t-v32hsk,yhvhkwit'vvhsk
228,he/she is bending it,present_1sg,yv2hkwi3t-v32hsk,yvhkwit'vvhsk
228,he/she is bending it,imperfective,yhv2hkwi3t-v32hsk,yhvhkwit'vvhsk
228,he/she is bending it,perfective,yhv2hkwi3t-v32n,yhvhkwit'vvn
228,he/she is bending it,imperative,yhv2hkwi2t-v2'v21ka2,yhvhkwitv'vvka
228,he/she is bending it,infinitive,yhv2hkwi2t-v21t,yhvhkwitvvt
232,he/she is capturing him/her,present,yhv23khi33-t-i2',yhvvkhiit'ii'
232,he/she is capturing him/her,present,yhv23khi33-t-i2',yhvvkhiit'i'
232,he/she is capturing him/her,present_1sg,yv23khi33-t-i2',yvvkhiit'ii'
232,he/she is capturing him/her,present_1sg,yv23khi33-t-i2',yvvkhiit'i'
232,he/she is capturing him/her,imperfective,yhv23khi33-t-i21hsk,yhvvkhiit'ii'hsk
232,he/she is capturing him/her,imperfective,yhv23khi33-t-i21hsk,yhvvkhiit'i'hsk
232,he/she is capturing him/her,perfective,yhv23khi33-t-,yhvvkhiit'
232,he/she is capturing him/her,imperative,yv22khi23-t-a2,yvvkhiita
232,he/she is capturing him/her,infinitive,yhv23khi33-t-i21hst,yhvvkhiit'ii'hst
232,he/she is capturing him/her,infinitive,yhv23khi33-t-i21hst,yhvvkhiit'i'hst
233,he/she is hitting him/her on the nose,present,yhv23hste33lu22-hv2hsk,yhvvhsteel'uuhvhsk
