corpus_id,definition,class,prediction
96,he/she is pouring a liquid into a container,ih-ohd[pres2-perf3],FullEventful
98,he/she is crying,hih-hil,FullEventful
99,he/she is getting off,sg-s-hi-hihst,FullEventful
100,he/she is bragging,sg-s-a,FullEventful
101,he/she is catching up with him/her,sg-h,FullEventful
101,he/she is catching up with him/her,sg-h[imp2],FullEventful
107,he/she is acting silly,vnh-ih-a,FullEventful
109,he/she is preparing it,ih-ohd,FullEventful
109,he/she is preparing it,ih-ohd[perf3],FullEventful
109,he/she is preparing it,ih-ohd[pres2],FullEventful
109,he/she is preparing it,ih-ohd[pres2-perf3],FullEventful
112,it is shining (refers to sun or moon),ih-ihi,FullEventful
112,it is shining (refers to sun or moon),stative,FullStative
112,it is shining (refers to sun or moon),g-ts,InfEventful
112,it is shining (refers to sun or moon),hg-hts,InfEventful
112,it is shining (refers to sun or moon),sg-s-hi-hihst,InfEventful
112,it is shining (refers to sun or moon),sg-s-hst,InfEventful
112,it is shining (refers to sun or moon),sg-h,InfEventful
112,it is shining (refers to sun or moon),ih-il,InfEventful
112,it is shining (refers to sun or moon),hih-lh,InfEventful
112,it is shining (refers to sun or moon),i-a-i,InfEventful
112,it is shining (refers to sun or moon),ih-ihi,InfEventful
112,it is shining (refers to sun or moon),oh-al,InfEventful
112,it is shining (refers to sun or moon),rev-i,InfEventful
113,he/she is breaking it (refers to a flexible object),sg-s-a[inf2],FullEventful
115,he/she is licking it,i-a-i,FullEventful
117,he/she is warming it,ih-ohd,FullEventful
117,he/she is warming it,ih-ohd[perf3],FullEventful
117,he/she is warming it,ih-ohd[pres2],FullEventful
117,he/she is warming it,ih-ohd[pres2-perf3],FullEventful
118,it’s getting warm,sg-s-hi-hihst,FullEventful
118,it’s getting warm,sg-s-hst,FullEventful
118,it’s getting warm,stative,FullStative
118,it’s getting warm,g-ts,InfEventful
118,it’s getting warm,hg-hts,InfEventful
118,it’s getting warm,sg-s-hi-hihst,InfEventful
118,it’s getting warm,sg-s-hst,InfEventful
118,it’s getting warm,sg-h,InfEventful
118,it’s getting warm,ih-il,InfEventful
118,it’s getting warm,hih-lh,InfEventful
118,it’s getting warm,i-a-i,InfEventful
118,it’s getting warm,oh-al,InfEventful
118,it’s getting warm,rev-i,InfEventful
119,it’s raining,stative,FullStative
119,it’s raining,hvsg-han,InfEventful
119,it’s raining,hvsg-hn[inf2],InfEventful
119,it’s raining,vhvsg,InfEventful
119,it’s raining,eh-a,InfEventful
119,it’s raining,ih-vh,InfEventful
119,it’s raining,vnh-ih-a,InfEventful
127,he/she is eating it (refers to a single solid food),i-a-i,FullEventful
128,he/she is picking it up,rev-gi,FullEventful
128,he/she is picking it up,rev-i,FullEventful
130,he/she is in agony,g-ts,FullEventful
133,he/she is chewing it,o,FullEventful
135,he/she is burning him/her,ih-ohd,FullEventful
135,he/she is burning him/her,ih-ohd[perf3],FullEventful
135,he/she is burning him/her,ih-ohd[pres2],FullEventful
135,he/she is burning him/her,ih-ohd[pres2-perf3],FullEventful
136,it’s burning,sg-h,FullEventful
136,it’s burning,sg-h[imp2],FullEventful
136,it’s burning,ohvsg,FullEventful
136,it’s burning,ohvsg-no-o,FullEventful
138,he/she is reading,e-a,FullEventful
140,he/she is target practicing,ih-vh,FullEventful
145,he/she is showing it to him/her,ih-ohd,FullEventful
145,he/she is showing it to him/her,ih-ohd[perf3],FullEventful
145,he/she is showing it to him/her,ih-ohd[pres2],FullEventful
145,he/she is showing it to him/her,ih-ohd[pres2-perf3],FullEventful
148,he/she is cutting it,ih-vh,FullEventful
149,he/she is chopping it up,sg-h,FullEventful
149,he/she is chopping it up,sg-h[imp2],FullEventful
152,he/she is scolding him/her,vsk,FullEventful
152,he/she is scolding him/her,vsk[imp2],FullEventful
153,he/she is washing his face,o,FullEventful
155,he/she is diverting him/her,rev-gi,FullEventful
155,he/she is diverting him/her,rev-i,FullEventful
158,he/she is smothering him/her,ih-ohd,FullEventful
158,he/she is smothering him/her,ih-ohd[perf3],FullEventful
158,he/she is smothering him/her,ih-ohd[pres2],FullEventful
158,he/she is smothering him/her,ih-ohd[pres2-perf3],FullEventful
160,he/she is handling it,oh-ol-a,FullEventful
161,he/she is killing him/her,hih-lh,FullEventful
162,he/she has possession of a vehicle,stative-h,FullStative
162,he/she has possession of a vehicle,stative-eh,FullStative
162,he/she has possession of a vehicle,stative,FullStative
162,he/she has possession of a vehicle,g-ts,InfEventful
162,he/she has possession of a vehicle,sg-s-hst,InfEventful
162,he/she has possession of a vehicle,sg-h,InfEventful
162,he/she has possession of a vehicle,eg-vs,InfEventful
162,he/she has possession of a vehicle,hih-lh,InfEventful
162,he/she has possession of a vehicle,vnh-vsk[inf4],InfEventful
162,he/she has possession of a vehicle,oh-al,InfEventful
162,he/she has possession of a vehicle,v-vhs,InfEventful
163,he/she is driving it (refers to a vehicle in motion or animal),stative,FullStative
163,he/she is driving it (refers to a vehicle in motion or animal),g-ts,InfEventful
163,he/she is driving it (refers to a vehicle in motion or animal),sg-s-hst,InfEventful
163,he/she is driving it (refers to a vehicle in motion or animal),sg-h,InfEventful
163,he/she is driving it (refers to a vehicle in motion or animal),eg-vs,InfEventful
163,he/she is driving it (refers to a vehicle in motion or animal),hih-lh,InfEventful
163,he/she is driving it (refers to a vehicle in motion or animal),vnh-vsk[inf4],InfEventful
163,he/she is driving it (refers to a vehicle in motion or animal),oh-al,InfEventful
163,he/she is driving it (refers to a vehicle in motion or animal),v-vhs,InfEventful
165,he/she is leaving it behind,a,FullEventful
166,he/she is placing it on something,hvsg-hn,FullEventful
166,he/she is placing it on something,hvsg-hn[inf2],FullEventful
166,he/she is placing it on something,hvsg-hn[inf4],FullEventful
167,he/she is taking off flying,ih-vh,FullEventful
169,he/she is making him/her fly,ih-ohd[perf3],FullEventful
169,he/she is making him/her fly,ih-ohd[pres2-perf3],FullEventful
171,he/she is having a nightmare,rev-gi,FullEventful
171,he/she is having a nightmare,rev-i,FullEventful
172,it’s taking time,oh-ol-a,FullEventful
172,it’s taking time,oh-ol[inf2],FullEventful
172,it’s taking time,oh-ol[inf3],FullEventful
172,it’s taking time,stative,FullStative
172,it’s taking time,a,InfEventful
172,it’s taking time,g-ts,InfEventful
172,it’s taking time,sg-s-hst,InfEventful
172,it’s taking time,sg-h,InfEventful
172,it’s taking time,hih-lh,InfEventful
172,it’s taking time,oh-ol-a,InfEventful
172,it’s taking time,oh-al,InfEventful
172,it’s taking time,oh-ol[inf3],InfEventful
173,he/she is measuring it,o,FullEventful
175,it’s bending,vsk,FullEventful
175,it’s bending,stative,FullStative
175,it’s bending,vsk,InfEventful
175,it’s bending,vsk-post-v,InfEventful
176,he/she is snorting,ih-ohd,FullEventful
176,he/she is snorting,ih-ohd[perf3],FullEventful
176,he/she is snorting,ih-ohd[pres2],FullEventful
176,he/she is snorting,ih-ohd[pres2-perf3],FullEventful
177,he/she is preaching,hvsg-hn[inf2],FullEventful
179,it’s shattering,sg-h[imp2],FullEventful
179,it’s shattering,vnh-vsk,FullEventful
179,it’s shattering,stative,FullStative
180,he/she is shattering it,ih-ohd,FullEventful
180,he/she is shattering it,ih-ohd[perf3],FullEventful
180,he/she is shattering it,ih-ohd[pres2],FullEventful
180,he/she is shattering it,ih-ohd[pres2-perf3],FullEventful
182,he/she is beating him/her at a game,sg-s-hi-hihst,FullEventful
182,he/she is beating him/her at a game,sg-s-hst[imp2],FullEventful
182,he/she is beating him/her at a game,sg-s-hst,FullEventful
183,he/she is combing his/her hair,o,FullEventful
185,he/she is moving (without changing location),hvsg-hn[inf2],FullEventful
185,he/she is moving (without changing location),vhvsg,FullEventful
186,he/she is changing his/her shirt,v-vhs,FullEventful
187,he/she is taking his/her shirt off,rev-e,FullEventful
189,he/she is putting on a shirt,o,FullEventful
190,he/she is giving it to him/her,eh-el,FullEventful
190,he/she is giving it to him/her,eh-el[imp2],FullEventful
191,he/she is wrestling,hih-lh,FullEventful
192,he/she is interpreting it,ih-ohd,FullEventful
192,he/she is interpreting it,ih-ohd[perf3],FullEventful
192,he/she is interpreting it,ih-ohd[pres2],FullEventful
192,he/she is interpreting it,ih-ohd[pres2-perf3],FullEventful
195,he/she is building a house,eh-eh,FullEventful
195,he/she is building a house,eh-a,FullEventful
196,he/she is leaving,rev-gi,FullEventful
196,he/she is leaving,rev-i,FullEventful
197,he/she is starting it,ih-ohd,FullEventful
197,he/she is starting it,ih-ohd[perf3],FullEventful
197,he/she is starting it,ih-ohd[pres2],FullEventful
197,he/she is starting it,ih-ohd[pres2-perf3],FullEventful
198,he/she is carrying it on his/her shoulder (refers to a long object),eg-vs,FullEventful
198,he/she is carrying it on his/her shoulder (refers to a long object),eg-vs[pres2],FullEventful
200,he/she is putting it in liquid (refers to a long object),i-a-i,FullEventful
204,he/she is hitting him/her on the mouth,ih-il,FullEventful
205,he/she is moving it from one place to another,v-vhs,FullEventful
206,he/she is setting it down,hvsg-hn,FullEventful
206,he/she is setting it down,hvsg-hn[inf2],FullEventful
207,he/she is finding him/her,ih-vh,FullEventful
207,he/she is finding him/her,ih-vh[inf2],FullEventful
208,he/she is visiting him/her,oh-ol-a,FullEventful
209,he/she is taking it somewhere,ih-vh,FullEventful
210,he/she is planting it,sg-s-hi-hihst,FullEventful
210,he/she is planting it,sg-s-hst,FullEventful
214,it’s becoming frosty (refers to the ground),hvsg-hn[inf2],FullEventful
214,it’s becoming frosty (refers to the ground),vhvsg,FullEventful
