corpus_id,definition,class,prediction
416,it’s fading,sg-h,InfEventful
416,it’s fading,hih-hil,InfEventful
416,it’s fading,oh-al,InfEventful
417,he/she is digging it,sg-s-la,FullEventful
417,he/she is digging it,sg-s-hst,FullEventful
419,he/she is finishing it,i-a-i,FullEventful
421,he/she is catching him/her (refers to a falling person or object),rev-e,FullEventful
423,it’s getting shorter,g-ts[inf3],FullEventful
424,he/she is breaking it (refers to a long object),sg-s-a[inf2],FullEventful
425,he/she is hitting him/her on the head with it (refers to a long object),ih-il,FullEventful
427,he/she is amazed,sg-s-hi-hihst,FullEventful
427,he/she is amazed,sg-s-hst[imp2],FullEventful
427,he/she is amazed,sg-s-hst,FullEventful
429,he/she is hitting him/her on the abdomen with it (refers to a long object),ih-il,FullEventful
430,he/she is placing his/her hand on him/her,i-a-i,FullEventful
431,he/she is slapping him/her,ih-il,FullEventful
432,he/she is backing up,eg-vs,FullEventful
432,he/she is backing up,eg-vs[pres2],FullEventful
436,he/she is roping him/her,i-a-i,FullEventful
437,he/she is building a fence,oh-al,FullEventful
439,he/she is waving his/her hand,rev-gi,FullEventful
439,he/she is waving his/her hand,rev-i,FullEventful
440,he/she is pressing down on him/her,ih-ohd,FullEventful
440,he/she is pressing down on him/her,ih-ohd[perf3],FullEventful
440,he/she is pressing down on him/her,ih-ohd[pres2],FullEventful
440,he/she is pressing down on him/her,ih-ohd[pres2-perf3],FullEventful
441,he/she is wounding him/her,sg-h,FullEventful
441,he/she is wounding him/her,sg-h[imp2],FullEventful
441,he/she is wounding him/her,vnh-vsk[inf4],FullEventful
444,he/she is fishing,hvsg-hn,FullEventful
444,he/she is fishing,hvsg-hn[inf2],FullEventful
445,he/she is painting it,sg-s-hst,FullEventful
445,he/she is painting it,i-a-ihsk,FullEventful
446,he/she is changing his/her pants,v-vhs,FullEventful
447,he/she is taking his/her pants off,rev-e,FullEventful
448,he/she is putting his/her pants on,i-vka,FullEventful
449,he/she is quitting,go-gots,FullEventful
452,he/she is choosing him/her,rev-e,FullEventful
453,he/she is stirring it,eh-eh,FullEventful
453,he/she is stirring it,eh-a,FullEventful
454,he/she is mixing it in,vsk,FullEventful
454,he/she is mixing it in,vsk[imp2],FullEventful
455,it smells,g-ts,FullEventful
455,it smells,stative-k,FullStative
455,it smells,stative,FullStative
458,he/she is touching him/her,hih-hil,FullEventful
459,he/she is drinking it up,sg-h,FullEventful
459,he/she is drinking it up,sg-h[imp2],FullEventful
459,he/she is drinking it up,ohvsg-no-o,FullEventful
463,he/she is holding his/her breath,ih-ohd,FullEventful
463,he/she is holding his/her breath,ih-ohd[perf3],FullEventful
463,he/she is holding his/her breath,ih-ohd[pres2],FullEventful
463,he/she is holding his/her breath,ih-ohd[pres2-perf3],FullEventful
464,he/she is mooring a boat,i-a-i,FullEventful
465,he/she is drilling a hole,sg-s-hst,FullEventful
467,it’s steaming,eg-vs,FullEventful
467,it’s steaming,eg-vs[pres2],FullEventful
467,it’s steaming,stative,FullStative
467,it’s steaming,g-ts,InfEventful
467,it’s steaming,sg-s-hst,InfEventful
467,it’s steaming,sg-h,InfEventful
467,it’s steaming,eg-vs,InfEventful
467,it’s steaming,hih-lh,InfEventful
467,it’s steaming,vnh-vsk[inf4],InfEventful
467,it’s steaming,oh-al,InfEventful
467,it’s steaming,v-vhs,InfEventful
469,it’s exploding,rev-gi,FullEventful
469,it’s exploding,rev-i,FullEventful
470,he/she is exploding it,ih-ohd,FullEventful
470,he/she is exploding it,ih-ohd[perf3],FullEventful
470,he/she is exploding it,ih-ohd[pres2],FullEventful
470,he/she is exploding it,ih-ohd[pres2-perf3],FullEventful
472,he/she is kissing him/her,vsk-post-v,FullEventful
473,he/she is combing someone’s hair,o,FullEventful
474,he/she is asking for it,hih-lh[imp2],FullEventful
475,he/she is joining,i-a-i,FullEventful
477,he/she is shaking him/her,vhvsg[imp2],FullEventful
477,he/she is shaking him/her,vnh-vsk,FullEventful
479,he/she is leading him/her,eg-vs[pres2],FullEventful
480,he/she is arguing,hih-lh,FullEventful
482,he/she is running,stative-s,FullStative
482,he/she is running,stative,FullStative
483,he/she is racing,a,FullEventful
486,he/she is loaning it to him/her,ih-ohd,FullEventful
486,he/she is loaning it to him/her,ih-ohd[perf3],FullEventful
486,he/she is loaning it to him/her,ih-ohd[pres2],FullEventful
486,he/she is loaning it to him/her,ih-ohd[pres2-perf3],FullEventful
487,he/she is borrowing him/her,sg-s-a,FullEventful
488,it’s flashing (refers to reflected light),sg-s-a[inf2],FullEventful
488,it’s flashing (refers to reflected light),stative,FullStative
488,it’s flashing (refers to reflected light),sg-s-a[inf2],InfEventful
488,it’s flashing (refers to reflected light),sg-h,InfEventful
488,it’s flashing (refers to reflected light),hih-hil,InfEventful
488,it’s flashing (refers to reflected light),oh-al,InfEventful
489,he/she is taking a bite,rev-e,FullEventful
490,he/she is lying,vsk-post-v,FullEventful
491,he/she is taking a drink (refers to alcoholic beverage),rev-gi,FullEventful
491,he/she is taking a drink (refers to alcoholic beverage),rev-i,FullEventful
493,he/she is promising,ih-ohd,FullEventful
493,he/she is promising,ih-ohd[perf3],FullEventful
493,he/she is promising,ih-ohd[pres2],FullEventful
493,he/she is promising,ih-ohd[pres2-perf3],FullEventful
494,he/she is listening to him/her,ih-ohd,FullEventful
494,he/she is listening to him/her,ih-ohd[perf3],FullEventful
494,he/she is listening to him/her,ih-ohd[pres2],FullEventful
494,he/she is listening to him/her,ih-ohd[pres2-perf3],FullEventful
495,he/she is asking him/her a question,hvsg-hn[inf2],FullEventful
495,he/she is asking him/her a question,vhvsg,FullEventful
496,he/she hears him/her,i-vka,FullEventful
497,he/she is raising him/her,ih-ohd,FullEventful
497,he/she is raising him/her,ih-ohd[perf3],FullEventful
497,he/she is raising him/her,ih-ohd[pres2],FullEventful
497,he/she is raising him/her,ih-ohd[pres2-perf3],FullEventful
498,he/she is growing,sg-s-hi-hihst,FullEventful
498,he/she is growing,sg-s-hst[imp2],FullEventful
498,he/she is growing,sg-s-hst,FullEventful
502,he/she is inside,stative-a',FullStative
502,he/she is inside,stative,FullStative
507,he/she is waking up,g-ts,FullEventful
507,he/she is waking up,g-ts[inf2],FullEventful
509,he/she is waking him/her up,ih-ohd,FullEventful
509,he/she is waking him/her up,ih-ohd[perf3],FullEventful
509,he/she is waking him/her up,ih-ohd[pres2],FullEventful
509,he/she is waking him/her up,ih-ohd[pres2-perf3],FullEventful
511,he/she is putting him/her inside (refers to somewhere large enough to move around in),ih-ohd,FullEventful
511,he/she is putting him/her inside (refers to somewhere large enough to move around in),ih-ohd[perf3],FullEventful
511,he/she is putting him/her inside (refers to somewhere large enough to move around in),ih-ohd[pres2],FullEventful
511,he/she is putting him/her inside (refers to somewhere large enough to move around in),ih-ohd[pres2-perf3],FullEventful
513,he/she is getting it (refers to a long object),ih-vh,FullEventful
515,it’s breaking,g-ts[inf3],FullEventful
516,he/she is shooting him/her,hih-lh[imp2],FullEventful
517,he/she is taking a break,ih-ohd,FullEventful
517,he/she is taking a break,ih-ohd[perf3],FullEventful
517,he/she is taking a break,ih-ohd[pres2],FullEventful
517,he/she is taking a break,ih-ohd[pres2-perf3],FullEventful
519,he/she is whittling it,hvsg-han[inf2],FullEventful
521,he/she is dying (refers to a human),sg-s-hi-hihst,FullEventful
521,he/she is dying (refers to a human),sg-s-hst[imp2],FullEventful
521,he/she is dying (refers to a human),sg-s-hst,FullEventful
522,he/she is breaking it up,ih-ohd,FullEventful
522,he/she is breaking it up,ih-ohd[perf3],FullEventful
522,he/she is breaking it up,ih-ohd[pres2],FullEventful
522,he/she is breaking it up,ih-ohd[pres2-perf3],FullEventful
523,he/she is greeting him/her,ih-il,FullEventful
524,he/she is breaking it,ih-ohd,FullEventful
524,he/she is breaking it,ih-ohd[perf3],FullEventful
524,he/she is breaking it,ih-ohd[pres2],FullEventful
524,he/she is breaking it,ih-ohd[pres2-perf3],FullEventful
526,he/she is destroying it,sg-h,FullEventful
526,he/she is destroying it,sg-h[imp2],FullEventful
526,he/she is destroying it,ohvsg,FullEventful
526,he/she is destroying it,ohvsg-no-o,FullEventful
529,he/she is entering it,hih-lh[imp2],FullEventful
530,he/she is finding it (refers to a long object),ih-vh,FullEventful
530,he/she is finding it (refers to a long object),ih-vh[inf2],FullEventful
531,he/she is taking it somewhere (refers to a long object),ih-vh,FullEventful
539,he/she is making an X,ih-ohd,FullEventful
539,he/she is making an X,ih-ohd[perf3],FullEventful
539,he/she is making an X,ih-ohd[pres2],FullEventful
539,he/she is making an X,ih-ohd[pres2-perf3],FullEventful
541,he/she is conjuring,e-aka,FullEventful
542,he/she is accepting him/her,g-ts,FullEventful
543,he/she is dodging,ih-ohd,FullEventful
543,he/she is dodging,ih-ohd[perf3],FullEventful
543,he/she is dodging,ih-ohd[pres2],FullEventful
543,he/she is dodging,ih-ohd[pres2-perf3],FullEventful
544,he/she is performing baptism,o,FullEventful
545,he/she is giving up,sg-s-hi-hihst,FullEventful
545,he/she is giving up,sg-s-hst[imp2],FullEventful
545,he/she is giving up,sg-s-hst,FullEventful
546,he/she is teaching,hvsg-hn,FullEventful
546,he/she is teaching,hvsg-hn[inf2],FullEventful
546,he/she is teaching,hvsg-hn[inf4],FullEventful
547,he/she is weeping,hih-hil,FullEventful
548,he/she is being married,ih-ohd,FullEventful
548,he/she is being married,ih-ohd[perf3],FullEventful
548,he/she is being married,ih-ohd[pres2],FullEventful
548,he/she is being married,ih-ohd[pres2-perf3],FullEventful
550,he/she is setting a price,ih-ohd,FullEventful
550,he/she is setting a price,ih-ohd[perf3],FullEventful
550,he/she is setting a price,ih-ohd[pres2],FullEventful
550,he/she is setting a price,ih-ohd[pres2-perf3],FullEventful
552,he/she is rocking,eh-eh,FullEventful
552,he/she is rocking,eh-a,FullEventful
553,he/she is drawing a picture of him/her,ih-ohd,FullEventful
553,he/she is drawing a picture of him/her,ih-ohd[perf3],FullEventful
553,he/she is drawing a picture of him/her,ih-ohd[pres2],FullEventful
553,he/she is drawing a picture of him/her,ih-ohd[pres2-perf3],FullEventful
554,he/she is conversing,eh-hehl,FullEventful
555,he/she is jumping,eg-invs,FullEventful
557,he/she is changing clothes,v-vhs,FullEventful
558,he/she is undressing,rev-e,FullEventful
559,he/she is putting on clothes,o,FullEventful
561,he/she is putting fuel into a fire (refers to solid fuel),hvsg-han,FullEventful
562,he/she is tickling him/her,i-a-i,FullEventful
564,he/she is squatting,husg,FullEventful
565,he/she is tying it,hih-lh,FullEventful
566,he/she is untying it,ih-vh,FullEventful
566,he/she is untying it,ih-vh[inf2],FullEventful
567,he/she is looking after him/her,oh-ol-a,FullEventful
568,he/she is becoming blind,g-ts,FullEventful
568,he/she is becoming blind,g-ts[inf2],FullEventful
571,he/she is making smoke,ih-ohd,FullEventful
571,he/she is making smoke,ih-ohd[perf3],FullEventful
571,he/she is making smoke,ih-ohd[pres2],FullEventful
571,he/she is making smoke,ih-ohd[pres2-perf3],FullEventful
572,he/she is blinking,sg-s-a[inf2],FullEventful
573,he/she is closing his eyes,ih-ohd,FullEventful
573,he/she is closing his eyes,ih-ohd[perf3],FullEventful
573,he/she is closing his eyes,ih-ohd[pres2],FullEventful
573,he/she is closing his eyes,ih-ohd[pres2-perf3],FullEventful
574,he/she is attacking him/her,eg-vs,FullEventful
574,he/she is attacking him/her,eg-vs[pres2],FullEventful
575,he/she is taking off his/her glasses,rev-e,FullEventful
576,he/she is putting on glasses,hvsg-han,FullEventful
577,he/she is shelling corn,ih-vh,FullEventful
577,he/she is shelling corn,ih-vh[inf2],FullEventful
578,he/she is snoring,rev-gi,FullEventful
578,he/she is snoring,rev-i,FullEventful
579,he/she is sprinkling it (with a liquid‚ powder‚ salt‚ etc.),vsk-post-v,FullEventful
582,he/she is putting on shoes,hvsg-han,FullEventful
583,he/she is changing shoes,v-vhs,FullEventful
584,he/she is taking off his/her shoes,rev-e,FullEventful
585,he/she is helping him/her up,ih-ohd,FullEventful
585,he/she is helping him/her up,ih-ohd[perf3],FullEventful
585,he/she is helping him/her up,ih-ohd[pres2],FullEventful
585,he/she is helping him/her up,ih-ohd[pres2-perf3],FullEventful
586,he/she is recuperating,ih-ohd[perf2],FullEventful
586,he/she is recuperating,ih-ohd[pres2-perf2],FullEventful
587,he/she is getting up (from sitting or from involuntarily assumed prone position),hvsg-hn,FullEventful
587,he/she is getting up (from sitting or from involuntarily assumed prone position),hvsg-hn[inf2],FullEventful
589,he/she is taking off his/her gloves,rev-e,FullEventful
590,he/she is putting on his/her gloves,i-vka,FullEventful
591,he/she is taking off his/her socks,rev-gi,FullEventful
591,he/she is taking off his/her socks,rev-i,FullEventful
592,he/she is putting on his/her socks,hih-lh,FullEventful
593,he/she is changing his/her socks,ih-vh[imperf2],FullEventful
593,he/she is changing his/her socks,ih-vh[imperf2-inf2],FullEventful
594,he/she is aiming at him/her,ih-ohd,FullEventful
594,he/she is aiming at him/her,ih-ohd[perf3],FullEventful
594,he/she is aiming at him/her,ih-ohd[pres2],FullEventful
594,he/she is aiming at him/her,ih-ohd[pres2-perf3],FullEventful
596,they are having a trial,oh-ol-a,FullEventful
597,they are meeting,sg-s-hi-hihst,FullEventful
597,they are meeting,sg-s-hst[imp2],FullEventful
597,they are meeting,sg-s-hst,FullEventful
598,they are separating,ih-vh,FullEventful
599,he/she is playing with him/her,ih-ohd,FullEventful
599,he/she is playing with him/her,ih-ohd[perf3],FullEventful
599,he/she is playing with him/her,ih-ohd[pres2],FullEventful
599,he/she is playing with him/her,ih-ohd[pres2-perf3],FullEventful
600,he/she is playing,hvsg-hn[inf2],FullEventful
601,they’re having church services,g-ts,FullEventful
603,they are adjourning,sg-s-hi-hihst,FullEventful
603,they are adjourning,sg-s-hst[imp2],FullEventful
603,they are adjourning,sg-s-hst,FullEventful
604,he/she is shooting at him/her,hih-lh[imp2],FullEventful
605,he/she is splitting it,sg-h,FullEventful
605,he/she is splitting it,sg-h-hy,FullEventful
605,he/she is splitting it,sg-h[imp2],FullEventful
606,he/she is sprinkling it (with liquid),i-a-i,FullEventful
607,he/she is counting it,hih-lh,FullEventful
608,he/she is cursing him/her,i-a-i,FullEventful
609,he/she is clapping his/her hands,ih-il,FullEventful
610,he/she is getting exhausted,sg-s-hi-hihst,FullEventful
610,he/she is getting exhausted,sg-s-hst[imp2],FullEventful
610,he/she is getting exhausted,sg-s-hst,FullEventful
611,it’s barking,sg-s-hst,FullEventful
611,it’s barking,i-a-ihsk,FullEventful
612,he/she is scheduling a time,ih-ohd,FullEventful
612,he/she is scheduling a time,ih-ohd[perf3],FullEventful
612,he/she is scheduling a time,ih-ohd[pres2],FullEventful
612,he/she is scheduling a time,ih-ohd[pres2-perf3],FullEventful
613,he/she is ironing,sg-s-la,FullEventful
613,he/she is ironing,sg-s-hst,FullEventful
618,he/she is releasing him/her,sg-s-hi-hihst,FullEventful
618,he/she is releasing him/her,sg-s-hst[imp2],FullEventful
618,he/she is releasing him/her,sg-s-hst,FullEventful
620,he/she is slamming him/her,ih-ohd,FullEventful
620,he/she is slamming him/her,ih-ohd[perf3],FullEventful
620,he/she is slamming him/her,ih-ohd[pres2],FullEventful
620,he/she is slamming him/her,ih-ohd[pres2-perf3],FullEventful
621,he/she is crossing (refers to a road‚ bridge‚ etc.),sg-s-hi-hihst,FullEventful
622,he/she is advertising it,hvsg-han,FullEventful
623,he/she is crossing it (refers to a body of water),hg-hts,FullEventful
625,he/she is explaining it (refers to a Biblical text),ih-ohd[perf2],FullEventful
625,he/she is explaining it (refers to a Biblical text),ih-ohd[pres2-perf2],FullEventful
626,he/she is deciding,ih-ohd,FullEventful
626,he/she is deciding,ih-ohd[perf3],FullEventful
626,he/she is deciding,ih-ohd[pres2],FullEventful
626,he/she is deciding,ih-ohd[pres2-perf3],FullEventful
627,he/she is washing (refers to dishes),e-a,FullEventful
628,he/she is shelling (refers to peas‚ nut meats‚ etc),rev-i,FullEventful
630,he/she is turning him/her over,eg-invs,FullEventful
631,he/she is singing,rev-gi,FullEventful
631,he/she is singing,rev-i,FullEventful
632,he/she is clawing him/her,sg-s-la,FullEventful
632,he/she is clawing him/her,sg-s-hst,FullEventful
634,he/she is washing (refers to flexible objects including clothes),o,FullEventful
722,he/she is confronted with it,sg-s-hi-hihst,FullEventful
722,he/she is confronted with it,sg-s-hst[imp2],FullEventful
722,he/she is confronted with it,sg-s-hst,FullEventful
723,he/she is called,stative,FullStative
723,he/she is called,g-ts,InfEventful
723,he/she is called,sg-s-hst,InfEventful
723,he/she is called,sg-h,InfEventful
723,he/she is called,hih-lh,InfEventful
723,he/she is called,o,InfEventful
723,he/she is called,oh-al,InfEventful
724,he/she is staggering,ih-ohd,FullEventful
724,he/she is staggering,ih-ohd[perf3],FullEventful
724,he/she is staggering,ih-ohd[pres2],FullEventful
724,he/she is staggering,ih-ohd[pres2-perf3],FullEventful
725,he/she is getting a rash,sg-s-hi-hihst,FullEventful
725,he/she is getting a rash,sg-s-hst[imp2],FullEventful
725,he/she is getting a rash,sg-s-hst,FullEventful
726,he/she has horns,stative-k,FullStative
726,he/she has horns,stative,FullStative
727,he/she is sneezing,sg-h,FullEventful
727,he/she is sneezing,sg-h[imp2],FullEventful
728,he/she is vomiting,ih-ohd,FullEventful
728,he/she is vomiting,ih-ohd[perf3],FullEventful
728,he/she is vomiting,ih-ohd[pres2],FullEventful
728,he/she is vomiting,ih-ohd[pres2-perf3],FullEventful
729,he/she is wearing glasses,stative-h,FullStative
729,he/she is wearing glasses,stative,FullStative
729,he/she is wearing glasses,hvsg-han,InfEventful
729,he/she is wearing glasses,hvsg-hn[inf2],InfEventful
729,he/she is wearing glasses,vhvsg,InfEventful
729,he/she is wearing glasses,eh-a,InfEventful
729,he/she is wearing glasses,ih-vh,InfEventful
729,he/she is wearing glasses,vnh-ih-a,InfEventful
730,he/she is wearing shoes,stative-h,FullStative
730,he/she is wearing shoes,stative,FullStative
733,he/she is wearing socks,stative-h,FullStative
733,he/she is wearing socks,stative,FullStative
735,he/she is working,eh-el,FullEventful
735,he/she is working,eh-el[imp2],FullEventful
738,he/she is releasing it (refers to involuntarily releasing),ih-ohd,FullEventful
738,he/she is releasing it (refers to involuntarily releasing),ih-ohd[perf3],FullEventful
738,he/she is releasing it (refers to involuntarily releasing),ih-ohd[pres2],FullEventful
738,he/she is releasing it (refers to involuntarily releasing),ih-ohd[pres2-perf3],FullEventful
739,he/she is tired,g-ts,FullEventful
740,he/she is releasing it (refers to voluntarily releasing),sg-s-hi-hihst,FullEventful
740,he/she is releasing it (refers to voluntarily releasing),sg-s-hst[imp2],FullEventful
740,he/she is releasing it (refers to voluntarily releasing),sg-s-hst,FullEventful
742,he/she is walking around,oh-ol-a,FullEventful
746,he/she lives,stative-h,FullStative
746,he/she lives,stative-eh,FullStative
746,he/she lives,stative,FullStative
752,he/she thinks so,i-a-i[perf2],FullEventful
752,he/she thinks so,i-a-i,FullEventful
757,he/she is straightening it,ih-ohd[perf2],FullEventful
757,he/she is straightening it,ih-ohd[pres2-perf2],FullEventful
759,it is hanging (refers to flexible object),stative-a',FullStative
759,it is hanging (refers to flexible object),stative,FullStative
764,he/she is plowing it,i-vka,FullEventful
766,he/she is removing it from a hanging position (refers to solid or flexible object),rev-e,FullEventful
767,he/she is turning it,ih-ohd,FullEventful
767,he/she is turning it,ih-ohd[perf3],FullEventful
767,he/she is turning it,ih-ohd[pres2],FullEventful
767,he/she is turning it,ih-ohd[pres2-perf3],FullEventful
769,he/she is spinning it,ih-ohd,FullEventful
769,he/she is spinning it,ih-ohd[perf3],FullEventful
769,he/she is spinning it,ih-ohd[pres2],FullEventful
769,he/she is spinning it,ih-ohd[pres2-perf3],FullEventful
770,he/she is strapping it,hih-lh,FullEventful
772,he/she is standing,stative-k,FullStative
772,he/she is standing,stative,FullStative
775,he/she is pitying him/her,g-ts,FullEventful
776,he/she is dropping him/her (refers to flexible object),ih-ohd,FullEventful
776,he/she is dropping him/her (refers to flexible object),ih-ohd[perf3],FullEventful
776,he/she is dropping him/her (refers to flexible object),ih-ohd[pres2],FullEventful
776,he/she is dropping him/her (refers to flexible object),ih-ohd[pres2-perf3],FullEventful
777,it is falling from a hanging position (refers to flexible object),sg-s-hi-hihst,FullEventful
777,it is falling from a hanging position (refers to flexible object),sg-s-hst[imp2],FullEventful
777,it is falling from a hanging position (refers to flexible object),sg-s-hst,FullEventful
784,he/she is baking it,hvsg-hn[inf2],FullEventful
788,he/she is hanging up it (refers to a flexible object),vsk,FullEventful
788,he/she is hanging up it (refers to a flexible object),vsk[imp2],FullEventful
788,he/she is hanging up it (refers to a flexible object),vsk-long,FullEventful
788,he/she is hanging up it (refers to a flexible object),vsk-long[imp2],FullEventful
788,he/she is hanging up it (refers to a flexible object),vsk-post-v,FullEventful
791,he/she is rowing,sg-s-hst[imp2],FullEventful
791,he/she is rowing,sg-s-hst,FullEventful
796,he/she is pecking it,hih-lh[imp2],FullEventful
798,he/she is putting it into a container,ih-ohd,FullEventful
798,he/she is putting it into a container,ih-ohd[perf3],FullEventful
798,he/she is putting it into a container,ih-ohd[pres2],FullEventful
798,he/she is putting it into a container,ih-ohd[pres2-perf3],FullEventful
803,he/she is sleeping,ih-vh[imperf2],FullEventful
804,he/she is gathering it,ih-ohd[perf2],FullEventful
804,he/she is gathering it,ih-ohd[pres2-perf2],FullEventful
809,he/she is piling it up,husg,FullEventful
811,he/she is putting it in a hole or a container,hvsg-han,FullEventful
812,he/she is sleepy,vnh-vsk,FullEventful
812,he/she is sleepy,vnh-vsk[inf3],FullEventful
813,he/she is taking it somewhere by hand (refers to a flexible object),eg-vs,FullEventful
813,he/she is taking it somewhere by hand (refers to a flexible object),eg-vs[pres2],FullEventful
814,he/she is holding it (refers to a flexible object),stative,FullStative
815,he/she is handling it (refers to a flexible object),oh-ol-a,FullEventful
818,he/she is eating it (refers to a flexible object),e-aka,FullEventful
820,he/she is ripping it,ih-vh,FullEventful
821,he/she is scratching him/her,sg-s-la,FullEventful
821,he/she is scratching him/her,sg-s-hst,FullEventful
823,he/she is pricking him/her,hih-lh[imp2],FullEventful
824,he/she is wringing it out,ih-ohd,FullEventful
824,he/she is wringing it out,ih-ohd[perf3],FullEventful
824,he/she is wringing it out,ih-ohd[pres2],FullEventful
824,he/she is wringing it out,ih-ohd[pres2-perf3],FullEventful
825,he/she is stinging it,sg-h,FullEventful
825,he/she is stinging it,sg-h[imp2],FullEventful
826,he/she is leaving a living thing behind,a,FullEventful
827,he/she is giving him/her a living thing,eh-el,FullEventful
827,he/she is giving him/her a living thing,eh-el[imp2],FullEventful
829,he/she is wrapping him/her,vnh-vsk,FullEventful
829,he/she is wrapping him/her,vnh-vsk[inf2],FullEventful
830,he/she is putting it in a container (refers to a long object),i-a-i,FullEventful
833,he/she is taking it out of a container (refers to a solid or flexible object),rev-e,FullEventful
834,he/she is climbing it,eg-vs,FullEventful
834,he/she is climbing it,eg-vs[pres2],FullEventful
837,he/she is burning,sg-s-hi-hihst,FullEventful
837,he/she is burning,sg-s-hst[imp2],FullEventful
837,he/she is burning,sg-s-hst,FullEventful
838,it is falling from an upright position (refers to a long object eg tree‚ pole),sg-s-hi-hihst,FullEventful
838,it is falling from an upright position (refers to a long object eg tree‚ pole),sg-s-hst[imp2],FullEventful
838,it is falling from an upright position (refers to a long object eg tree‚ pole),sg-s-hst,FullEventful
839,he/she is climbing around,oh-ol-a,FullEventful
840,it is burning (refers to forest or grass),g-ts,FullEventful
840,it is burning (refers to forest or grass),stative,FullStative
842,it is dying (refers to an animal or plant),g-ts,FullEventful
844,he/she is spanking him/her,hih-hil,FullEventful
845,he/she is hoeing it,i-vka,FullEventful
848,he/she is stopping by (where on the way somewhere),ih-ohd,FullEventful
848,he/she is stopping by (where on the way somewhere),ih-ohd[perf3],FullEventful
848,he/she is stopping by (where on the way somewhere),ih-ohd[pres2],FullEventful
848,he/she is stopping by (where on the way somewhere),ih-ohd[pres2-perf3],FullEventful
850,he/she is overtaking him/her,eh-el,FullEventful
850,he/she is overtaking him/her,eh-el[imp2],FullEventful
850,he/she is overtaking him/her,eh-el[imp3],FullEventful
852,he/she is bluffing him/her,ih-ohd,FullEventful
852,he/she is bluffing him/her,ih-ohd[perf3],FullEventful
852,he/she is bluffing him/her,ih-ohd[pres2],FullEventful
852,he/she is bluffing him/her,ih-ohd[pres2-perf3],FullEventful
853,he/she is oiling it,e-a,FullEventful
854,he/she is making him/her fall from an elevated position,ih-ohd,FullEventful
854,he/she is making him/her fall from an elevated position,ih-ohd[perf3],FullEventful
854,he/she is making him/her fall from an elevated position,ih-ohd[pres2],FullEventful
854,he/she is making him/her fall from an elevated position,ih-ohd[pres2-perf3],FullEventful
855,he/she is cheating,eh-hehl,FullEventful
856,he/she is passing by without stopping,sg-s-hi-hihst,FullEventful
856,he/she is passing by without stopping,sg-s-hst[imp2],FullEventful
856,he/she is passing by without stopping,sg-s-hst,FullEventful
857,he/she is falling from an elevated position,sg-s-hi-hihst,FullEventful
857,he/she is falling from an elevated position,sg-s-hst[imp2],FullEventful
857,he/she is falling from an elevated position,sg-s-hst,FullEventful
858,he/she is arriving,hg-hts,FullEventful
859,it’s lacking,g-ts,FullEventful
862,he/she is chopping it,sg-h,FullEventful
862,he/she is chopping it,sg-h[imp2],FullEventful
864,he/she is beating him/her up,hih-hil,FullEventful
870,he/she is putting it in a hole or a container (refers to a flexible object),vsk,FullEventful
870,he/she is putting it in a hole or a container (refers to a flexible object),vsk[imp2],FullEventful
871,he/she is selling it,eg-invs,FullEventful
873,he/she is hiring him/her,vsk,FullEventful
873,he/she is hiring him/her,vsk[imp2],FullEventful
876,he/she is finding it (refers to a flexible object),ih-vh,FullEventful
876,he/she is finding it (refers to a flexible object),ih-vh[inf2],FullEventful
877,he/she is taking it somewhere (refers to an animal‚ flexible object),ih-vh,FullEventful
879,he/she is getting it (refers to a flexible object),rev-e,FullEventful
880,he/she is changing it,v-vhs,FullEventful
882,he/she is taking it somewhere by hand (refers to a long object),eg-vs,FullEventful
882,he/she is taking it somewhere by hand (refers to a long object),eg-vs[pres2],FullEventful
883,he/she is peeling him/her,ih-vh,FullEventful
884,he/she is getting some liquid,rev-gi,FullEventful
884,he/she is getting some liquid,rev-i,FullEventful
885,he/she is taking liquid from him/her,eh-el,FullEventful
885,he/she is taking liquid from him/her,eh-el[imp2],FullEventful
885,he/she is taking liquid from him/her,eh-el[imp3],FullEventful
886,he/she is bewitching him/her,i-a-i,FullEventful
887,he/she is holding it in his/her hand (refers to a long object),stative-h,FullStative
887,he/she is holding it in his/her hand (refers to a long object),stative-eh,FullStative
887,he/she is holding it in his/her hand (refers to a long object),stative,FullStative
888,he/she is leaving some liquid,a,FullEventful
889,he/she is giving him/her some liquid,eh-el,FullEventful
889,he/she is giving him/her some liquid,eh-el[imp2],FullEventful
890,he/she is finding some liquid,ih-vh,FullEventful
890,he/she is finding some liquid,ih-vh[inf2],FullEventful
891,he/she is taking some liquid somewhere,ih-vh,FullEventful
893,he/she lives (in sense of resides now),stative,FullStative
895,it’s freezing,i-a-i,FullEventful
896,it’s hailing,sg-s-a[inf2],FullEventful
896,it’s hailing,stative,FullStative
896,it’s hailing,g-ts[inf3],InfEventful
896,it’s hailing,sg-s-a[inf2],InfEventful
896,it’s hailing,sg-h,InfEventful
896,it’s hailing,hih-hil,InfEventful
896,it’s hailing,oh-al,InfEventful
899,he/she is lying down,stative-k,FullStative
899,he/she is lying down,stative,FullStative
901,he/she is agitating liquid,eh-eh,FullEventful
901,he/she is agitating liquid,eh-a,FullEventful
902,he/she is taking a liquid somewhere by hand,eg-vs,FullEventful
902,he/she is taking a liquid somewhere by hand,eg-vs[pres2],FullEventful
903,he/she is holding some liquid,stative-h,FullStative
903,he/she is holding some liquid,stative-eh,FullStative
