corpus_id,definition,class,scope,prediction
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,eh-a,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
29,it’s beginning,hvsg-han,reconstructs,InfEventful
