corpus_id,definition,verb_root,base_root_h,base_root_g,proposed_root_id,user_approved
821,he/she is scratching him/her,tsaliko|tsaliko,tsaliko,tsaliko,tsaliko|tsaliko,
823,he/she is pricking him/her,tsayo|tsayo,tsayo,tsayo,tsayo|tsayo,
824,he/she is wringing it out,tsvwahst|tsvwahst,tsvwahst,tsvwahst,tsvwahst|tsvwahst,
825,he/she is stinging it,tsvy|tsvy,tsvy,tsvy,tsvy|tsvy,
826,he/she is leaving a living thing behind,khah|khah,khah,khah,khah|khah,
827,he/she is giving him/her a living thing,khan|khan,khan,khan,khan|khan,
829,he/she is wrapping him/her,kwhen|kwhen,kwhen,kwhen,kwhen|kwhen,
830,he/she is putting it in a container,lat|lat,lat,lat,lat|lat,
833,he/she is taking it out of a container,l|l,l,l,l|l,
837,he/she is burning,leyv|leyv,leyv,leyv,leyv|leyv,
838,it is falling from an upright position,leyv|leyv,leyv,leyv,leyv|leyv,
840,it is burning,|,,,|,
842,it is dying,liwho|liwo,liwho,liwo,liwho|liwo,
845,he/she is hoeing it,lok|lok,lok,lok,lok|lok,
848,he/she is stopping by,lohihst|lo'ihst,lohihst,lo'ihst,lohihst|lo'ihst,
850,he/she is overtaking him/her,lohihs|lo'ihs,lohihs,lo'ihs,lohihs|lo'ihs,
852,he/she is bluffing him/her,lonahst|lonahst,lonahst,lonahst,lonahst|lonahst,
853,he/she is oiling it,lon|lon,lon,lon,lon|lon,
854,he/she is making him/her fall from an elevated position,lonht|lonht,lonht,lonht,lonht|lonht,
855,he/she is cheating,lonu|lonu,lonu,lonu,lonu|lonu,
856,he/she is passing by without stopping,lo|lo,lo,lo,lo|lo,
857,he/she is falling from an elevated position,lo|lo,lo,lo,lo|lo,
859,it’s lacking,lulo|lulo,lulo,lulo,lulo|lulo,
862,he/she is chopping it,luy|luy,luy,luy,luy|luy,
864,he/she is beating him/her up,l|l,l,l,l|l,
870,he/she is putting it in a hole or a container,l|l,l,l,l|l,
871,he/she is selling it,nat|nat,nat,nat,nat|nat,
873,he/she is hiring him/her,nalh|nalh,nalh,nalh,nalh|nalh,
876,he/she is finding it,nawhth|nawhth,nawhth,nawhth,nawhth|nawhth,
877,he/she is taking it somewhere,nawit|nawit,nawit,nawit,nawit|nawit,
879,he/she is getting it,n|n,n,n,n|n,
880,he/she is changing it,netl|netl,netl,netl,netl|netl,
882,he/she is taking it somewhere by hand,n|n,n,n,n|n,
883,he/she is peeling him/her,nekal|nekal,nekal,nekal,nekal|nekal,
884,he/she is getting some liquid,ne|ne,ne,ne,ne|ne,
885,he/she is taking liquid from him/her,neki'|neki',neki',neki',neki'|neki',
886,he/she is bewitching him/her,nekut|nekut,nekut,nekut,nekut|nekut,
887,he/she is holding it in his/her hand,ne|ne,ne,ne,ne|ne,
888,he/she is leaving some liquid,neh|ne',neh,ne',neh|ne',
890,he/she is finding some liquid,newhahth|newahth,newhahth,newahth,newhahth|newahth,
891,he/she is taking some liquid somewhere,newhit|newit,newhit,newit,newhit|newit,
893,he/she lives,nel|nel,nel,nel,nel|nel,
895,it’s freezing,nehstalat|nehstalat,nehstalat,nehstalat,nehstalat|nehstalat,
896,it’s hailing,nehsoy|,nehsoy,,nehsoy|,
899,he/she is lying down,nh|nv,nh,nv,nh|nv,
901,he/she is agitating liquid,nhkwa'|nhkwa',nhkwa',nhkwa',nhkwa'|nhkwa',
902,he/she is taking a liquid somewhere by hand,nhts|nvts,nhts,nvts,nhts|nvts,
903,he/she is holding some liquid,nhtse|nvtse,nhtse,nvtse,nhtse|nvtse,
904,he/she is handling some liquid,nhts|nvts,nhts,nvts,nhts|nvts,
908,he/she is handling it,n|n,n,n,n|n,
909,he/she hates him/her,nikwat|nikwat,nikwat,nikwat,nikwat|nikwat,
910,he/she is setting up a bed,nilhat|nilhat,nilhat,nilhat,nilhat|nilhat,
913,he/she is pleading,nilat|nilat,nilat,nilat,nilat|nilat,
918,he/she is hunting,nohal|no'al,nohal,no'al,nohal|no'al,
921,it’s flooding,nohuk|,nohuk,,nohuk|,
924,it is blowing,nol|,nol,,nol|,
925,he/she is stealing it,nohs|nohs,nohs,nohs,nohs|nohs,
928,he/she is sinking,noyv|noyv,noyv,noyv,noyv|noyv,
929,he/she is pulling him/her,nhsan|nahsan,nhsan,nahsan,nhsan|nahsan,
931,he/she is dragging him/her,nhsin|nahsin,nhsin,nahsin,nhsin|nahsin,
932,he/she is exiting,nu|nu,nu,nu,nu|nu,
937,he/she is twisting him/her,nuthey|nuthey,nuthey,nuthey,nuthey|nuthey,
938,he/she is missing him/her,nvt|nvt,nvt,nvt,nvt|nvt,
940,he/she is falling from an upright position,nv|nv,nv,nv,nv|nv,
941,he/she is cleaning him/her,nvkal|nvkal,nvkal,nvkal,nvkal|nvkal,
942,he/she is hammering it,nvkwal|nvkwal,nvkwal,nvkwal,nvkwal|nvkwal,
946,he/she is tying up a leg,nvlho|nvlho,nvlho,nvlho,nvlho|nvlho,
949,he/she is tossing about,nvts|nvts,nvts,nvts,nvts|nvts,
950,he/she is giving him/her an object,nvn|nvn,n,n,n|n,
955,he/she is pushing him/her,hsato|hsato,hsato,hsato,hsato|hsato,
956,he/she is rolling him/her,hsakwale|hsakwale,hsakwale,hsakwale,hsakwale|hsakwale,
960,he/she is attaching the object behind it,hsanenat|hsanenat,hsanenat,hsanenat,hsanenat|hsanenat,
969,he/she is piling it up,hsvt|hsvt,hsvt,hsvt,hsvt|hsvt,
970,it’s hanging,|,,,|,
973,he/she is stabbing him/her,t|t,t,t,t|t,
976,he/she is hanging it up,|,,,|,
979,he/she is bathing him/her,aw|aw,aw,aw,aw|aw,
980,he/she is replying,awohil|awo'il,awohil,awo'il,awohil|awo'il,
981,he/she is lecturing him/her,wonht|wonht,wonht,wonht,wonht|wonht,
983,he/she is speaking,won|won,won,won,won|won,
986,he/she is sewing it,yew|yewi,yew,yewi,yew|yewi,
993,he/she is howling,elhu|elu,elhu,elu,elhu|elu,
1014,he/she is leading him/her by the hand,ohin|o'in,ohin,o'in,ohin|o'in,
1015,he/she is agreeing with him/her,ohiyhtan|o'iyhtan,ohiyhtan,o'iyhtan,ohiyhtan|o'iyhtan,
1017,he/she is recognizing him/her,olh|oli,olh,oli,olh|oli,
1018,he/she understands it,olh|oli,olh,oli,olh|oli,
1021,he/she is getting full,olhv|olv,olhv,olv,olhv|olv,
1022,he/she is making it,olh|olh,olh,olh,olh|olh,
1023,he/she is making it fall,ohonht|o'onht,ohonht,o'onht,ohonht|o'onht,
1024,it’s falling,oho|o'o,oho,o'o,oho|o'o,
1027,he/she is writing it,owhel|owel,owhel,owel,owhel|owel,
1030,he/she is pulling a trigger,otsan|otsan,otsan,otsan,otsan|otsan,
1038,he/she is batting it,ohst|ohst,ohst,ohst,ohst|ohst,
1040,he/she is saying to him/her,ohs|ohs,ohs,ohs,ohs|ohs,
1041,it’s swelling,othi|othi,othi,othi,othi|othi,
1043,he/she is building a fire,ot|ot,ot,ot,ot|ot,
1044,he/she is unhitching him/her,utal|utal,utal,utal,utal|utal,
1045,he/she is hitching him/her up,utal|utal,utal,utal,utal|utal,
1050,he/she is putting a handle on a tool,uhal|u'al,uhal,u'al,uhal|u'al,
1052,he/she is washing it,uhil|u'il,uhil,u'il,uhil|u'il,
1053,he/she is accusing him/her,uhihst|u'ihst,uhihst,u'ihst,uhihst|u'ihst,
1055,he/she is covering it,ulh|ulh,ulh,ulh,ulh|ulh,
1056,he/she is putting it in water,u|u,u,u,u|u,
1060,he/she is picking him/her up,uth|uth,uth,uth,uth|uth,
1061,it’s snowing,uth|uth,uth,uth,uth|uth,
1063,he/she is sifting it,vkuhst|vkuhst,vku,,vku|,
1064,it’s leaking,vku|,vku,,vku|,
1067,he/she is alive,vn|vn,vn,vn,vn|vn,
1070,he/she is hitting him/her,|,,,|,
1071,he/she is cooking it,vnhihst|vnihst,vn,vn,vn|vn,
1076,he/she is frying it,vtsal|vtsal,vtsal,vtsal,vtsal|vtsal,
1078,he/she is melting it,vnawht|vnawot,vnawht,vnawot,vnawht|vnawot,
1079,it’s melting,vnawo|vnawo,vnawo,vnawo,vnawo|vnawo,
1081,he/she is sweeping it,vnohsa|vnohsa,vnohsa,vnohsa,vnohsa|vnohsa,
1082,it’s becoming done,vn|vn,vn,vn,vn|vn,
1083,he/she is hiding it,vhskal|vhskal,vhskal,vhskal,vhskal|vhskal,
1085,he/she is hiding him/her,vhskal|vhskal,vhskal,vhskal,vhskal|vhskal,
1086,he/she is cracking it,vhskwal|vhskwal,vhskwal,vhskwal,vhskwal|vhskwal,
1087,he/she is putting it into a fire,vt|vt,vt,vt,vt|vt,
1088,he/she is soaking it,vwal|vwal,vwal,vwal,vwal|vwal,
1221,he/she is ascending an incline,nhalu|nalu,nhalu,nalu,nhalu|nalu,
1224,he/she is making him/her angry,nhalvhst|nalvhst,nhalvhst,nalvhst,nhalvhst|nalvhst,
1229,he/she is cold,nhawo|nawo,nhawo,nawo,nhawo|nawo,
1230,he/she is speaking,nhe|ne,nhe,ne,nhe|ne,
1231,he/she is prying it,nhekwat|nekwat,nhekwat,nekwat,nhekwat|nekwat,
1232,he/she is accumulating it,nhehkw|nehkw,nhehkw,nehkw,nhehkw|nehkw,
1233,it’s accumulating,nhehkwo|,nhehkwo,,nhehkwo|,
1234,he/she is mentioning it,nhe'ihst|ne'ihst,nhe'ihst,ne'ihst,nhe'ihst|ne'ihst,
1235,it’s contaminated,nhehsal|nehsal,nhehsal,nehsal,nhehsal|nehsal,
1236,he/she is contaminating it,nhehsal|nehsal,nhehsal,nehsal,nhehsal|nehsal,
1241,he/she is collecting from him/her,nhil|nil,nhil,nil,nhil|nil,
1246,he/she is telling it,nho|no,nho,no,nho|no,
1247,he/she is omitting him/her,nhoh|noh,nhoh,noh,nhoh|noh,
1249,he/she is fanning him/her,nhoy|noy,nhoy,noy,nhoy|noy,
1254,he/she is straining it,nhvhsolvhst|nvhsolvhst,nhvhsolvhst,nvhsolvhst,nhvhsolvhst|nvhsolvhst,
1256,he/she is curing him/her,nhvw|nvw,nhvw,nvw,nhvw|nvw,
1308,he/she is taking it off,vnht|vnht,vnht,vnht,vnht|vnht,
1309,he/she is putting it on,vnht|vnht,vnht,vnht,vnht|vnht,
1323,he/she has something on,vnht|vnht,vnht,vnht,vnht|vnht,
1450,he/she is in prayer,olihst|olihst,olihst,olihst,olihst|olihst,
1459,it’s wrinkled,nekoyu|,nekoyu,,nekoyu|,
1470,it’s in view,yvlat|,yvlat,,yvlat|,
1471,he/she is throwing it,|,,,|,
1476,he/she is having a birthday,ethiy|,ethiy,,ethiy|,
1478,it’s hot,ilheh|,ilheh,,ilheh|,
1480,he/she is in hiding,ihskal|ihskal,ihskal,ihskal,ihskal|ihskal,
1481,he/she is getting well,iw|,iw,,iw|,
1483,there’s an opening,lanvt|,lanvt,,lanvt|,
1485,he/she is disbelieving,lahsithv'|,lahsithv',,lahsithv'|,
1487,he/she is taking revenge,le|,le,,le|,
1489,he/she is wearing an earring,li'at|,li'at,,li'at|,
1505,he/she is standing in liquid,u|u,u,u,u|u,
1507,he/she wants it,ul|,ul,,ul|,
1508,he/she is willing,vnv'ihst|vnv'ihst,vnv'ihst,vnv'ihst,vnv'ihst|vnv'ihst,
1514,he/she is becoming warm,kanawo|,kanawo,,kanawo|,
1523,he/she is late,konhiyo|,konhiyo,,konhiyo|,
1524,it’s decaying,ko|,ko,,ko|,
1530,he/she has an object,|,,,|,
1531,he/she is yawning,halhok|,halhok,,halhok|,
1534,he/she is having trouble breathing,hawohst|'awohst,hawohst,'awohst,hawohst|'awohst,
1535,there is dew,hihsat|,hihsat,,hihsat|,
1536,he/she is lonesome,hihsohtan|,hihsohtan,,hihsohtan|,
1537,it’s lonesome,hihsoht|,hihsoht,,hihsoht|,
1544,he/she is becoming angry,nhalv|,nhalv,,nhalv|,
1545,he/she is angry,nhalv|,nhalv,,nhalv|,
1548,he/she is stubbing his/her toe,nhahskwal|,nhahskwal,,nhahskwal|,
1551,he/she has a chill,nhawahst|,nhawahst,,nhawahst|,
1554,he/she is in bed,anhi|ani,anhi,ani,anhi|ani,
1557,he/she is wearing a shirt,anhuw|,anhuw,,anhuw|,
1561,he/she is buying it,wha|,wha,,wha|,
1563,he/she is looking for it,y|y,y,y,y|y,
1569,it is cold,yhvtl|,yhvtl,,yhvtl|,
1572,he/she is getting drunk,yhvhst|,yhvhst,,yhvhst|,
1576,he/she is inside it,s|,s,,s|,
1592,it’s sticking out,akhsat|,akhsat,,akhsat|,
1593,he/she is watching him/her,akhsehst|akahsehst,akhsehst,akahsehst,akhsehst|akahsehst,
1597,it’s foggy,khvhat|,khvhat,,khvhat|,
1599,he/she is not having luck at hunting,kwhol|,kwhol,,kwhol|,
1602,he/she is losing his/her way,alena|,alena,,alena|,
1604,he/she is making a mistake,litahst|,litahst,,litahst|,
1612,he/she is whining,liyet|,liyet,,liyet|,
1613,he/she is wearing a ring,yehsuhsth|yehsuhsth,yehsuhsth,yehsuhsth,yehsuhsth|yehsuhsth,
1614,it’s cloudy,okil|,okil,,okil|,
1616,it’s happening to him,alhstanh|,alhstanh,,alhstanh|,
1618,he/she is wearing a cap,alhstul|,alhstul,,alhstul|,
1621,he/she is sticking his/her head out,alhskwalut|,alhskwalut,,alhskwalut|,
1622,he/she is wearing a hat,alhskwethuh|,alhskwethuh,,alhskwethuh|,
1623,it’s dark,hsih|,hsih,,hsih|,
1629,he/she has an object,n|n,n,n,n|n,
1639,he/she is being mean,nekuts|,nekuts,,nekuts|,
1642,he/she has a liquid,ne|ne,ne,ne,ne|ne,
1646,he/she knows it,anht|,anht,,anht|,
1677,he/she is wearing pants,ahsul|ahsul,ahsul,ahsul,ahsul|ahsul,
1683,he/she is thirsty,thatek|,thatek,,thatek|,
1684,he/she is becoming enraged,thalhawo|,thalhawo,,thalhawo|,
1693,he/she is listening to him/her,hvtahst|hvtahst,hvtahst,hvtahst,hvtahst|hvtahst,
1698,he/she is forgetting it,vkhew|,vkhew,,vkhew|,
1699,he/she is belching,khule|,khule,,khule|,
1700,he/she is shivering,naw|,naw,,naw|,
1708,he/she smells it,whsv|,whsv,,whsv|,
1709,he/she has an object,vy|,vy,,vy|,
1710,he/she is aching,ehihstan|,ehihstan,,ehihstan|,
1729,he/she is confident,ohiyu|,ohiyu,,ohiyu|,
1730,he/she is sitting,ol|,ol,,ol|,
1741,he/she is losing it,yohuhs|,yohuhs,,yohuhs|,
1754,he/she is sending on object,t|t,t,t,t|t,
1761,he/she is sending it,|,,,|,
1774,he/she is sending it,kha|kha,kha,kha,kha|kha,
1775,he/she is sending it,ne|ne,ne,ne,ne|ne,
1776,he/she is sending it,n|n,n,n,n|n,
1778,he/she is going out of sight,eli|,eli,,eli|,
