corpus_id,definition,verb_root,base_root_h,base_root_g,proposed_root_id,user_approved
175,it’s bending,hiyvhkwit|,hiyvhkwit,,hiyvhkwit|,
176,he/she is snorting,hiyvhsanawhst|yvhsanawhst,hiyvhsanawhst,yvhsanawhst,hiyvhsanawhst|yvhsanawhst,
177,he/she is preaching,htsato|tsato,htsato,tsato,htsato|tsato,
179,it’s shattering,hkhot|,hkhot,,hkhot|,
180,he/she is shattering it,hkhotht|khotht,hkhotht,khotht,hkhotht|khotht,
182,he/she is beating him/her at a game,lho|lho,lho,lho,lho|lho,
183,he/she is combing his/her hair,hthaw|thaw,hthaw,thaw,hthaw|thaw,
185,he/she is moving,hthel|thel,hthel,thel,hthel|thel,
186,he/she is changing his/her shirt,anhaw|aniw,anhaw,aniw,anhaw|aniw,
187,he/she is taking his/her shirt off,anhaw|aniw,anhaw,aniw,anhaw|aniw,
189,he/she is putting on a shirt,anhaw|aniw,anhaw,aniw,anhaw|aniw,
191,he/she is wrestling,anhe|anhe,anhe,anhe,anhe|anhe,
192,he/she is interpreting it,anhelht|anelht,anhelht,anelht,anhelht|anelht,
195,he/she is building a house,anhehsk|anehsk,anhehsk,anehsk,anhehsk|anehsk,
196,he/she is leaving,anhi|ani,anhi,ani,anhi|ani,
197,he/she is starting it,anhikihst|anikihst,anhi,ani,anhi|ani,
198,he/she is carrying it on his/her shoulder,anholhin|anolhin,anholhin,anolhin,anholhin|anolhin,
200,he/she is putting it in liquid,hut|'ut,hut,'ut,hut|'ut,
204,he/she is hitting him/her on the mouth,hul|'ul,hul,'ul,hul|'ul,
205,he/she is moving it from one place to another,h|',h,',h|',
206,he/she is setting it down,|,,,|,
207,he/she is finding him/her,whahth|wahth,whahth,wahth,whahth|wahth,
208,he/she is visiting him/her,whahthvh|wahthvh,whahth,wahth,whahth|wahth,
210,he/she is planting it,whi|wi,whi,wi,whi|wi,
215,he/she is calling him/her,yhan|yan,yhan,yan,yhan|yan,
216,he/she is taking it somewhere by hand,yh|y,yh,y,yh|y,
218,he/she is quilting it,yhehkal|yehkal,yhehkal,yehkal,yhehkal|yehkal,
219,he/she is making an incision,yhel|yel,yhel,yel,yhel|yel,
220,he/she is imitating him/her,yhel|yel,yhel,yel,yhel|yel,
222,he/she is looking for him/her,y|y,y,y,y|y,
223,he/she is swimming,ayhu'in|ayu'in,ayhu'in,ayu'in,ayhu'in|ayu'in,
224,it’s thundering,yhvtakwal|,yhvtakwal,,yhvtakwal|,
228,he/she is bending it,yhvhkwit|yvhkwit,yhvhkwit,yvhkwit,yhvhkwit|yvhkwit,
232,he/she is capturing him/her,yhvkhit|yvkhit,yhvkhit,yvkhit,yhvkhit|yvkhit,
233,he/she is hitting him/her on the nose,yhvhstelu|yvhstelu,yhvhstelu,yvhstelu,yhvhstelu|yvhstelu,
234,he/she is choking him/her,yhvhskiy|yvhskiy,yhvhskiy,yvhskiy,yhvhskiy|yvhskiy,
238,it’s hatching,sa|sa,sa,sa,sa|sa,
239,he/she is dressing up,san|san,san,san,san|san,
242,he/she is acting like him/her,sel|sel,sel,sel,sel|sel,
250,it’s blooming,sil|,sil,,sil|,
253,he/she is lighting a fire,tsihsl|tsihsl,tsihsl,tsihsl,tsihsl|tsihsl,
254,he/she is blowing,sotha|sotha,sotha,sotha,sotha|sotha,
255,he/she is turning on a light,tsvhst|tsvhst,tsvhst,tsvhst,tsvhst|tsvhst,
259,he/she is chasing him/her,kheh|kheh,kheh,kheh,kheh|kheh,
261,he/she is riding it,akhilvt|akhilvt,akhilvt,akhilvt,akhilvt|akhilvt,
263,he/she is swallowing it,khi|'ki,khi,'ki,khi|'ki,
266,he/she is shovelling it,khot|khot,khot,khot,khot|khot,
270,he/she is going down-hill,khso|kahso,khso,kahso,khso|kahso,
273,he/she knows how,khtha|katha,khtha,katha,khtha|katha,
276,he/she is turning back,akhthah|akathah,akhthah,akathah,akhthah|akathah,
277,he/she is winking,akhthahst|akathahst,akhthahst,akathahst,akhthahst|akathahst,
278,he/she is hitting him/her on the eye,khthelu|kathelu,khthelu,kathelu,khthelu|kathelu,
280,he/she is looking around,khthen|kathen,khthen,kathen,khthen|kathen,
281,he/she is peeking through,akhth|akath,akhth,akath,akhth|akath,
288,he/she is looking at him/her,akhthohst|akathohst,akhthohst,akathohst,akhthohst|akathohst,
290,he/she is going through it,khthvle|kathvle,khthvle,kathvle,khthvle|kathvle,
291,he/she is dipping liquid,khu|'ku,khu,'ku,khu|'ku,
293,he/she is paying it,akwhiy|akwiy,akwhiy,akwiy,akwhiy|akwiy,
294,he/she is paying him/her,akwhiyv'|akwiyv',akwhiyv',akwiyv',akwhiyv'|akwiyv',
296,he/she is tromping on him/her,alahsta'|alahsta',alahsta',alahsta',alahsta'|alahsta',
297,he/she is stepping on him/her,alahst|alahst,alahst,alahst,alahst|alahst,
298,he/she is playing ball,alahskal|alahskal,alahskal,alahskal,alahskal|alahskal,
300,he/she is taking a step,alahsk|alahsk,alahsk,alahsk,alahsk|alahsk,
305,he/she is placing it in an upright position,aleht|alet,ale,ale,ale|ale,
306,he/she is standing in a certain spot,ale|ale,ale,ale,ale|ale,
307,he/she is stopping,alewhihst|alewihst,alewhihst,alewihst,alewhihst|alewihst,
308,he/she is stopping him/her,alewhihstoht|alewihstoht,alewhihst,alewihst,alewhihst|alewihst,
309,he/she is starting,alen|alen,alen,alen,alen|alen,
314,he/she is thanking him/her,helitsh|'elitsh,helitsh,'elitsh,helitsh|'elitsh,
315,he/she is happy,heli|'eli,heli,'eli,heli|'eli,
317,he/she is exchanging it,'it|'it,'it,'it,'it|'it,
318,he/she is running away,th|th,th,th,th|th,
320,he/she is taking his/her ring off,yehsuhsth|yehsuhsth,yehsuhsth,yehsuhsth,yehsuhsth|yehsuhsth,
322,he/she is putting a ring on his/her finger,yehsuhst|yehsuhst,yehsuhst,yehsuhst,yehsuhst|yehsuhst,
324,he/she is spitting,altsikw|altsikw,altsikw,altsikw,altsikw|altsikw,
325,he/she is ascending,hsalat|hsalat,hsalat,hsalat,hsalat|hsalat,
327,he/she is eating a meal,hstay|hstay,hstay,hstay,hstay|hstay,
329,he/she is helping,hstel|hstel,hstel,hstel,hstel|hstel,
330,he/she is taking off his/her cap,hstul|hstul,hstul,hstul,hstul|hstul,
331,he/she is washing his/her hair,hstul|hstul,hstul,hstul,hstul|hstul,
332,he/she is putting on a cap,hstul|hstul,hstul,hstul,hstul|hstul,
334,he/she is taking a seat,hstvl|hstvl,hstvl,hstvl,hstvl|hstvl,
336,he/she is dancing,hs|hs,hs,hs,hs|hs,
337,he/she is permitting him/her,hskolhtan|hskolhtan,hskolhtan,hskolhtan,hskolhtan|hskolhtan,
338,he/she is nodding his/her head,hsku|hsku,hsku,hsku,hsku|hsku,
339,it’s ending,hskwat|hskwat,hskwat,hskwat,hskwat|hskwat,
340,he/she is sticking his/her head out,hskwalut|hskwalut,hskwalut,hskwalut,hskwalut|hskwalut,
341,he/she is taking his/her hat off,hskwethuh|hskwethuh,hskwethuh,hskwethuh,hskwethuh|hskwethuh,
344,he/she is setting a goal,hsohst|hsohst,hsohst,hsohst,hsohst|hsohst,
