root_id,h_grade,g_grade,class,stem_type,corpus_ids
''n|,''n,,stative,glottal,367
thayo|thayo,thayo,thayo,hih-lh[imp2],aspirated,474
thel|thel,thel,thel,vhvsg[imp2],aspirated,477
thoyaw|,thoyaw,,sg-s-a[inf2],con,488
thu'ihst|thu'ihst,thu'ihst,thu'ihst,ih-ohd,aspirated,493
tihs|tihs,tihs,tihs,a,con,80
tlihst|tlihst,tlihst,tlihst,ih-ohd,con,96
tli|,tli,,g-ts[inf3],con,94
tl|tl,tl,tl,ih-vh[inf2],con,95
ton|,ton,,stative-a',con,365
to|to,to,to,stative-k,con,772
tsihsl|tsihsl,tsihsl,tsihsl,hvsg-han[inf2],con,253
tsil|,tsil,,vnh-vsk,con,250
tsvhst|tsvhst,tsvhst,tsvhst,hvsg-han[inf2],con,255
t|t,t,t,eh-el[imp3],con,59
uhal|u'al,uhal,u'al,hvsg-han,vowel_u,1050
uhihst|u'ihst,uhihst,u'ihst,ih-ohd,vowel_u,1053
uh|u',uh,u',o,vowel_u,1052
ukht|ukot,ukht,ukot,ih-ohd,vowel_u,626
ulh|ulh,ulh,ulh,vsk[imp2],vowel_u,1055
utal|utal,utal,utal,rev-e,vowel_u,1044
utal|utal,utal,utal,vsk[imp2],vowel_u,1045
uth|uth,uth,uth,ih-ohd[perf2],vowel_u,1061
uth|uth,uth,uth,rev-e,vowel_u,1060
u|u,u,u,hvsg-hn,vowel_a,1505
u|u,u,u,hvsg-hn,vowel_u,1056
vhskal|vhskal,vhskal,vhskal,hvsg-han,vowel_a,79;1480
vhskal|vhskal,vhskal,vhskal,hvsg-han,vowel_v,1083
vhskal|vhskal,vhskal,vhskal,i-a-i,vowel_v,1084
vhskal|vhskal,vhskal,vhskal,vsk[imp2],vowel_v,1085
vhskwal|vhskwal,vhskwal,vhskwal,o,vowel_v,1086
vkhew|,vkhew,,sg-s-a,vowel_v,1698
vkuhst|vkuhst,vkuhst,vkuhst,ih-ohd,vowel_v,1063
vku|,vku,,sg-s-hst,vowel_v,1064
vnawht|vnawot,vnawht,vnawot,ih-ohd,vowel_v,1078
vnawo|vnawo,vnawo,vnawo,sg-s-hi-hihst,vowel_v,1079
vnel|vnel,vnel,vnel,vnh-ih-a,vowel_a,107
vnhihst|vnihst,vnhihst,vnihst,ih-ohd,vowel_v,1071
vnht|vnht,vnht,vnht,ih-ohd,vowel_v,1309
vnht|vnht,vnht,vnht,rev-e,vowel_v,1308
vnht|vnht,vnht,vnht,stative,vowel_v,1323
vnohsa|vnohsa,vnohsa,vnohsa,sg-h[imp2],vowel_v,1081
vnv|,vnv,,stative-k,vowel_v,1704
vn|vn,vn,vn,sg-s-hi-hihst,vowel_v,1082
vn|vn,vn,vn,stative-h,vowel_v,1067
vthoh|vthoh,vthoh,vthoh,rev-i,vowel_v,628
vtiy|vtiy,vtiy,vtiy,e-a,vowel_v,627
vtsal|vtsal,vtsal,vtsal,hvsg-han,vowel_v,1076
vt|vt,vt,vt,hvsg-han,vowel_v,1087
vwal|vwal,vwal,vwal,hvsg-han,vowel_v,1088
vy|,vy,,stative,vowel_v,1709
wehsolvhst|wehsolvhst,wehsolvhst,wehsolvhst,ih-ohd,vowel_a,54
whahthvh|wahthvh,whahthvh,wahthvh,oh-ol-a,con,208
whahthvh|wahthvh,whahthvh,wahthvh,oh-ol-a,vowel_a,18
whahth|wahth,whahth,wahth,ih-vh[inf2],con,207
wha|,wha,,sg-s-hi-hihst,con,1561
whi|wi,whi,wi,sg-s-hst,con,210
wonht|wonht,wonht,wonht,ih-ohd,con,981
won|won,won,won,ih-ihi,con,983
yawe|,yawe,,g-ts,con,739
ye'ihst|ye'ihst,ye'ihst,ye'ihst,ih-ohd,con,509
yehsuhsth|yehsuhsth,yehsuhsth,yehsuhsth,rev-gi,vowel_a,320
yehsuhsth|yehsuhsth,yehsuhsth,yehsuhsth,stative-k,vowel_a,1613
yehsuhst|yehsuhst,yehsuhst,yehsuhst,hvsg-han[inf2],vowel_a,322
yehsul|yehsul,yehsul,yehsul,i-vka,vowel_a,590
yehsul|yehsul,yehsul,yehsul,rev-e,vowel_a,589
ye|ye,ye,ye,g-ts[inf2],con,507
yhahst|yahst,yhahst,yahst,ih-ohd,vowel_a,19
yhan|yan,yhan,yan,ih-vh,con,215
yhehkal|yehkal,yhehkal,yehkal,hvsg-han,con,218
yhel|yel,yhel,yel,i-a-i[perf2],con,220
yhel|yel,yhel,yel,oh-al[imp2],con,219
yholu|,yholu,,stative-s,con,1564
yht|yvt,yht,yvt,ih-ohd,con,511
yhvhkwit|yvhkwit,yhvhkwit,yvhkwit,vsk,vowel_a,175
yhvhkwit|yvhkwit,yhvhkwit,yvhkwit,vsk[imp2],con,228
yhvhsanawhst|yvhsanawhst,yhvhsanawhst,yvhsanawhst,ih-ohd,vowel_a,176
yhvhskiy|yvhskiy,yhvhskiy,yvhskiy,ih-vh,con,234
yhvhstoy|,yhvhstoy,,sg-h,con,727
yhvhst|,yhvhst,,e-aka,con,1572
yhvhs|yvhs,yhvhs,yvhs,hvsg-hn,con,233
yhvkhi|yvkhi,yhvkhi,yvkhi,i-a-i,con,232
yhvk|yvk,yhvk,yvk,i-a-i,con,562
yhvtakwal|,yhvtakwal,,o,con,224
yhvtl|,yhvtl,,stative,con,1569
yh|y,yh,y,eg-vs,con,216
yh|y,yh,y,stative-eh,con,217
yohsthan|yohsthan,yohsthan,yohsthan,ohvsg,con,526
yohst|yohst,yohst,yohst,ih-ohd,con,524
yohuhs|,yohuhs,,eh-el[imp2],con,1741
yohu|yo'u,yohu,yo'u,sg-s-hi-hihst,con,521
yol|yol,yol,yol,hvsg-han[inf2],con,519
yol|yol,yol,yol,ih-il,con,523
yo|yo,yo,yo,sg-s-hi-hihst,con,618;740
yo|yo,yo,yo,sg-s-hi-hihst,vowel_a,545
yo|yo,yo,yo,stative-h,vowel_a,733
yo|yo-break,yo,yo,g-ts[inf3],con,515
yo|yo-shoot,yo,yo,hih-lh[imp2],con,516
yvlat|,yvlat,,hvsg-han,vowel_a,1470
yvwhahth|yvwahth,yvwhahth,yvwahth,ih-vh[inf2],con,530
yvwhit|yvwit,yvwhit,yvwit,ih-vh,con,531
yv|yv,yv,yv,hih-lh[imp2],con,529
y|y,y,y,ih-vh,con,513
y|y,y,y,oh-al,con,222;1563
y|y,y,y,stative-a',con,502
|-solid,,,hvsg-hn,con,206;1761
|-solid,,,rev-gi,con,128
|-solid,,,stative-h,con,1530
