root_id,h_grade,g_grade,class,stem_type,corpus_ids
''n|,''n,,stative,glottal,367
alewhihstoht|alewihstoht,alewhihstoht,alewihstoht,ih-ohd,vowel_a,308
alewhihst|alewihst,alewhihst,alewihst,ih-ohd,vowel_a,307
ale|ale,ale,ale,hvsg-hn,vowel_a,306;587
alhawitht|atlawitht,alhawitht,atlawitht,ih-ohd[perf3],vowel_a,169
alhawit|atlawit,alhawit,atlawit,ih-vh,vowel_a,167
alhihk|alihk,alhihk,alihk,eh-eh,vowel_a,552
alhilohst|atlilohst,alhilohst,atlilohst,ih-ohd,vowel_a,553
alhi|atli,alhi,atli,rev-gi,vowel_a,171
alhsih|,alhsih,,stative-k,vowel_a,1623
alhs|alihs,alhs,alihs,rev-gi,vowel_a,336
alh|atl,alh,atl,o,vowel_a,173
ali'it|ali'it,ali'it,ali'it,i-a-i,vowel_a,317
alihelitsh|ali'elitsh,alihelitsh,ali'elitsh,eh-el[imp3],vowel_a,314
aliheli|ali'eli,aliheli,ali'eli,g-ts,vowel_a,315
aliko|,aliko,,hvsg-hn[inf2],vowel_a,359
alith|alith,alith,alith,rev-i,vowel_a,318
aliyo|aliyo,aliyo,aliyo,hih-lh,vowel_a,592
aliyo|aliyo,aliyo,aliyo,ih-vh[imperf2-inf2],vowel_a,593
aliyo|aliyo,aliyo,aliyo,rev-gi,vowel_a,591
altsikw|altsikw,altsikw,altsikw,sg-h,vowel_a,324
anawhst|anawhst,anawhst,anawhst,ih-ohd,vowel_a,32
anelht|anelht,anelht,anelht,ih-ohd,vowel_a,599
anelht|anelht-attempt,anelht,anelht,ih-ohd,vowel_a,361
anelo|anelo,anelo,anelo,hvsg-hn[inf2],vowel_a,600
anel|anel,anel,anel,i-a-i,vowel_a,362
anhaw|aniw,anhaw,aniw,o,vowel_a,189;559
anhaw|aniw,anhaw,aniw,rev-e,vowel_a,187;558
anhaw|aniw,anhaw,aniw,v-vhs,vowel_a,186;557
anhehsk|anehsk,anhehsk,anehsk,eh-eh,vowel_a,195
anhelht|anelht,anhelht,anelht,ih-ohd,vowel_a,192
anhe|anhe,anhe,anhe,hih-lh,vowel_a,191
anhikihst|anikihst,anhikihst,anikihst,ih-ohd,vowel_a,197
anhi|ani-bed,anhi,ani,stative-h,vowel_a,1554
anhi|ani-leave,anhi,ani,rev-gi,vowel_a,196
anholh|anolh,anholh,anolh,eg-vs,vowel_a,198
anhtheh|anvtheh,anhtheh,anvtheh,o,vowel_a,41
anht|anvt,anht,anvt,eh-hehl,vowel_a,39
anht|anvt,anht,anvt,i-a-i,vowel_a,363
anht|anvt,anht,anvt,stative-h,vowel_a,1462;1646
anhuw|,anhuw,,stative,vowel_a,1557
atananehs|atananehs,atananehs,atananehs,vhvsg[inf2],vowel_a,30
atanhawhst|atanawhst,atanhawhst,atanawhst,ih-ohd,vowel_a,539
atanilv|atanilv,atanilv,atanilv,g-ts,vowel_a,542
atanv|atanv,atanv,atanv,sg-s-la,vowel_a,46
atawelak|atawelak,atawelak,atawelak,i-a-i,vowel_a,51
atayhon|atayon,atayhon,atayon,eh-el[imp4],vowel_a,22
atay|atay,atay,atay,hih-hil[imp2],vowel_a,21
atehohihst|ate'ohihst,atehohihst,ate'ohihst,ih-ohd,vowel_a,61
ateho|ate'o,ateho,ate'o,sg-s-hi-hihst,vowel_a,62
ateli|,ateli,,g-ts,vowel_a,1778
ateloho|atelo'o,ateloho,atelo'o,sg-s-hi-hihst,vowel_a,67
atethiy|,atethiy,,ih-vh,vowel_a,1476
athahs|,athahs,,rev-gi,vowel_a,469
athawhohst|a'tawhohst,athawhohst,a'tawhohst,ih-ohd,vowel_a,463
athinh|athinh,athinh,athinh,eg-vs[pres2],vowel_a,479
athiyo|a'tiyo,athiyo,a'tiyo,hih-lh,vowel_a,480
athohk|athohk,athohk,athohk,a,vowel_a,483
atholhst|atholhst,atholhst,atholhst,ih-ohd,vowel_a,486
athol|athol,athol,athol,sg-s-a,vowel_a,487
athu|a'tu,athu,a'tu,rev-gi,vowel_a,491
athvhihst|a'tvhihst,athvhihst,a'tvhihst,ih-ohd,vowel_a,497
athvk|athvk,athvk,athvk,i-vka,vowel_a,496
athvtahst|athvtahst,athvtahst,athvtahst,ih-ohd,vowel_a,494;1693
athvt|athvt,athvt,athvt,vhvsg,vowel_a,495
athv|a'tv,athv,a'tv,sg-s-hi-hihst,vowel_a,498
atikaleyo|,atikaleyo,,g-ts[inf3],vowel_a,75
atikaley|atikaley,atikaley,atikaley,a,vowel_a,74
atilheh|,atilheh,,stative-k,vowel_a,1478
atinvt|atinvt,atinvt,atinvt,ih-ohd,vowel_a,6;78
atitha|atitha,atitha,atitha,sg-h[imp2],vowel_a,82
atit|atit,atit,atit,ih-vh,vowel_a,73
atiw|,atiw,,sg-s-hi-hihst,vowel_a,1481
atlahsithv'|,atlahsithv',,eh-el,vowel_a,1485
atletsh|atletsh,atletsh,atletsh,eh-el[imp3],vowel_a,88
atle|,atle,,g-ts[inf2],vowel_a,1487
atli'at|,atli'at,,stative,vowel_a,1489
atloy|atloy,atloy,atloy,hih-hil,vowel_a,98;547
atlvtha|atlvtha,atlvtha,atlvtha,sg-h[imp2],vowel_a,101
atl|atl,atl,atl,rev-e,vowel_a,87
atokht|,atokht,,ih-ohd,vowel_a,724
atonht|atonht,atonht,atonht,ih-ohd,vowel_a,776
ato|ato,ato,ato,sg-s-hi-hihst,vowel_a,777
atsa'|atsa',atsa',atsa',rev-i,vowel_a,238
atsa'|atsa',atsa',atsa',stative,vowel_a,1576
atsan|atsan,atsan,atsan,vnh-vsk[inf2],vowel_a,239
atsel|atsel,atsel,atsel,vnh-vsk,vowel_a,242
atsetst|,atsetst,,stative,vowel_a,1580
atsko|atsihsko,atsko,atsihsko,vsk-post-v,vowel_a,490
atsonat|,atsonat,,stative-h,vowel_a,1585
atsotha|atsotha,atsotha,atsotha,sg-h[imp2],vowel_a,254
atst|atsihst,atst,atsihst,rev-e,vowel_a,489
atul|,atul,,ih-vh,vowel_a,1507
atvnv'ihst|atvnv'ihst,atvnv'ihst,atvnv'ihst,ih-ohd,vowel_a,109
atvnv'ihst|atvnv'ihst,atvnv'ihst,atvnv'ihst,stative,vowel_a,1508
at|at,at,at,eg-invs,vowel_a,4;1471
at|at,at,at,eg-invs[perf2],vowel_a,5
awholat|a'wolat,awholat,a'wolat,rev-e,vowel_a,1258
awohil|awo'il,awohil,awo'il,v-vhs,vowel_a,980
aw|aw,aw,aw,o,vowel_a,56;544;979
ayhu'|ayu',ayhu',ayu',eg-vs,vowel_a,223
a|a,a,a,oh-ol[inf2],vowel_a,70
burning,ali,,g-ts,vowel_a,840
ehihstan|,ehihstan,,eh-el,vowel_e,1710
elhu|elu,elhu,elu,hvsg-hn[inf3],vowel_e,993
elihsin|,elihsin,,eg-vs,vowel_e,997
el|el,el,el,i-a-i[perf2],vowel_e,752
et|et,et,et,oh-ol-a,vowel_e,742
e|e,e,e,hvsg-hn,vowel_a,63
e|e,e,e,stative-h,vowel_e,746
halhok|,halhok,,eh-eh,con,1531
halu|'alu,halu,'alu,rev-gi,con,155
hang,at,at,hvsg-han,vowel_a,976
hang,at,at,rev-e,vowel_a,766
hang,at,at,stative-a',vowel_a,759
hang,at,at,stative-h,vowel_a,970
hawohst|'awohst,hawohst,'awohst,ih-ohd,con,158;1534
hihsat|,hihsat,,stative-h,con,1535
hihsohtan|,hihsohtan,,eh-el,con,1536
hihsoht|,hihsoht,,stative,con,1537
hit,,,hih-hil[imp2],vowel_v,1070
hkhotht|khotht,hkhotht,khotht,ih-ohd,vowel_a,180
hkhot|,hkhot,,vnh-vsk,vowel_a,179
hsalat|hsalat,hsalat,hsalat,i-vka,s_stem,374
hsalat|hsalat,hsalat,hsalat,i-vka,vowel_a,325
hsat|hsat,hsat,hsat,vsk[imp2],con,373
hskanv|hskanv,hskanv,hskanv,g-ts[inf3],s_stem,405
hska|hska,hska,hska,g-ts[inf3],s_stem,400
hskin|hskin,hskin,hskin,i-a-i,s_stem,608
hskok|hskok,hskok,hskok,i-a-i,s_stem,411
hskolhtan|hskolhtan,hskolhtan,hskolhtan,eh-el,vowel_a,337
hskolv|,hskolv,,g-ts[inf3],con,416
hskon|hskon,hskon,hskon,hih-hil,s_stem,412
hsku|hsku,hsku,hsku,sg-h-hy,vowel_a,338
hskwalh|hskwalh,hskwalh,hskwalh,rev-e,s_stem,421
hskwalut|hskwalut,hskwalut,hskwalut,i-vka,vowel_a,340
hskwalut|hskwalut,hskwalut,hskwalut,stative,vowel_a,1621
hskwal|hskwal,hskwal,hskwal,g-ts[inf3],con,423
hskwal|hskwal,hskwal,hskwal,ih-il,con,425
hskwal|hskwal,hskwal,hskwal,sg-s-a[inf2],s_stem,424
hskwaniko|hskwaniko,hskwaniko,hskwaniko,sg-s-hi-hihst,s_stem,427
hskwethuh|hskwethuh,hskwethuh,hskwethuh,rev-gi,vowel_a,341
hskwethuh|hskwethuh,hskwethuh,hskwethuh,stative-k,vowel_a,1622
hskwohal|hskwohal,hskwohal,hskwohal,ih-il,s_stem,429
hskw|hskw,hskw,hskw,i-a-i,con,419
hskw|hskw,hskw,hskw,i-a-i,vowel_a,339
hslh|hslh,hslh,hslh,i-a-i,s_stem,436
hsohst|hsohst,hsohst,hsohst,ih-ohd,vowel_a,344;594
hson|hson,hson,hson,vnh-vsk[inf4],s_stem,441
hstakayht|hstakayht,hstakayht,hstakayht,ih-ohd,s_stem,377
hstakayv|,hstakayv,,hih-lh,s_stem,378
hstanh|,hstanh,,eh-el[imp2],vowel_a,1616
hstanvn|hstanvn,hstanvn,hstanvn,hvsg-han,s_stem,380
hstawat|hstawat,hstawat,hstawat,eg-vs,s_stem,381
hstayo|hstayo,hstayo,hstayo,hih-lh[imp2],s_stem,604
hstay|hstay,hstay,hstay,vhvsg,vowel_a,48;327
hstel|hstel,hstel,hstel,ih-vh,s_stem,382
hstel|hstel,hstel,hstel,ih-vh,vowel_a,329
hstik|hstik,hstik,hstik,i-a-i,s_stem,384
hstlu|hstlu,hstlu,hstlu,sg-h-hy,s_stem,605
hstoy|hstoy,hstoy,hstoy,eh-a,s_stem,388
hstul|hstul,hstul,hstul,eh-a,vowel_a,331
hstul|hstul,hstul,hstul,i-vka,vowel_a,332
hstul|hstul,hstul,hstul,rev-e,vowel_a,330
hstul|hstul,hstul,hstul,stative,vowel_a,1618
hstutl|hstutl,hstutl,hstutl,i-a-i,s_stem,606
hstu|hstu,hstu,hstu,rev-'i,s_stem,390
hstvhal|hstvhal,hstvhal,hstvhal,hvsg-han,s_stem,392
hstvl|hstvl,hstvl,hstvl,husg,vowel_a,334
hst|hst,hst,hst,o,s_stem,386
hsuli|hsuli,hsuli,hsuli,go-gots,s_stem,449
hsuwh|hsuwh,hsuwh,hsuwh,i-a-ihsk,s_stem,445
hsvhst|hsvhst,hsvhst,hsvhst,ih-ohd,s_stem,612
hsvhst|hsvhst,hsvhst,hsvhst,ih-ohd,vowel_a,345
hsv|hsv,hsv,hsv,g-ts,con,455
hsv|hsv-drink-up,hsv,hsv,ohvsg-no-o,s_stem,459
hs|hs,hs,hs,oh-ol,s_stem,383
hthat|that,hthat,that,eg-invs,vowel_a,555
hthaw|thaw,hthaw,thaw,o,vowel_a,183
hthel|thel,hthel,thel,vhvsg,vowel_a,185
htsato|tsato,htsato,tsato,hvsg-hn[inf2],vowel_a,177
hul|'ul,hul,'ul,ih-il,con,204
hu|'u,hu,'u,i-a-i,con,200
hvt|'vt,hvt,'vt,hvsg-han,con,561
h|',h,',a,con,165
h|',h,',oh-ol-a,con,160
h|',h,',v-vhs,con,205
kanawht|kanawot,kanawht,kanawot,ih-ohd,con,117
kanawo|,kanawo,,sg-s-hi-hihst,con,118;1514
kana|kana,kana,kana,i-a-i,con,115
keyu|keyu,keyu,keyu,stative-s,con,1516
keyu|keyu,keyu,keyu,stative-s,vowel_a,1451
khaneyh|kaneyh,khaneyh,kaneyh,ih-vh[inf2],aspirated,566
khane|kane,khane,kane,hih-lh,aspirated,565
khanowat|kanowat,khanowat,kanowat,oh-ol-a,aspirated,567
kheh|kheh,kheh,kheh,eg-vs,aspirated,259
khewa|'kewa,khewa,'kewa,g-ts[inf2],aspirated,568
khi|'ki,khi,'ki,sg-s-hi-hihst,con,263
khot|khot,khot,khot,rev-e,aspirated,266
khso|kahso,khso,kahso,sg-s-hi-hihst,con,270
khst|,khst,,ih-ohd,con,728
khsvhst|kahsvhst,khsvhst,kahsvhst,ih-ohd,con,571
khtha|katha,khtha,katha,stative-h,con,273
khthen|kathen,khthen,kathen,oh-ol[inf3],con,280
khthil|kathil,khthil,kathil,eg-vs,con,574
khthvle|kathvle,khthvle,kathvle,sg-s-hi-hihst,con,290
khth|kath,khth,kath,hvsg-hn,con,278
khth|kath,khth,kath,stative,con,1765
khtlh|katlh,khtlh,katlh,ih-vh[inf2],con,577
khu|'ku,khu,'ku,rev-gi,con,291
khvhat|,khvhat,,stative,con,1597
kh|kh,kh,kh,eh-eh,vowel_a,27
kihst|kihst,kihst,kihst,o,con,133
kilhiyo|kiliyo,kilhiyo,kiliyo,g-ts,con,130
koliy|koliy,koliy,koliy,e-a,con,138
konhiy|,konhiy,,g-ts,con,1523
kowhthvht|kowhthvht,kowhthvht,kowhthvht,ih-ohd,con,145
ko|,ko,,sg-s-hi-hihst,con,1524
kvhaluy|kv'aluy,kvhaluy,kv'aluy,sg-h,con,149
kvhal|kv'al,kvhal,kv'al,ih-vh,con,148
kvhskol|kvhskol,kvhskol,kvhskol,vsk[imp2],con,152
kvwalht|kvwalot,kvwalht,kvwalot,ih-ohd,con,550
kwalv|kwalv,kwalv,kwalv,oh-ol[inf2],vowel_a,76
kwenothi|,kwenothi,,sg-s-hst[imp2],con,725
kwhala|kwhala,kwhala,kwhala,rev-gi,aspirated,578
kwhol|,kwhol,,eg-vs,con,1599
k|k,k,k,i-a-i,con,127
lako|lako,lako,lako,sg-s-la,vowel_a,85
lanvt|,lanvt,,stative,vowel_a,1483
len|,len,,ih-vh,vowel_a,29
leyv|leyv,leyv,leyv,sg-s-hi-hihst,con,837;838
lha|lha,lha,lha,hvsg-hn[inf4],con,166
lhihkwat|lihkwat,lhihkwat,lihkwat,eg-invs,con,630
lhin|,lhin,,stative,con,366
lho|lho,lho,lho,sg-s-hi-hihst,con,182
lht|lot,lht,lot,ih-ohd,con,798
lh|'l,lh,'l,stative-k,con,726
lh|'l,lh,'l,vnh-vsk[inf3],con,812
litahst|,litahst,,ih-ohd,con,1604
liwho|liwo,liwho,liwo,g-ts,con,842
liyet|,liyet,,ih-ohd,con,1612
lohihst|lo'ihst,lohihst,lo'ihst,ih-ohd,con,848
lohihs|lo'ihs,lohihs,lo'ihs,eh-el[imp2],con,850
lokil|,lokil,,stative,con,1614
lok|lok,lok,lok,i-vka,con,845
lonahst|lonahst,lonahst,lonahst,ih-ohd,con,852
long,,,i-a-i,con,72;1754
lonht|lonht,lonht,lonht,ih-ohd,con,854
lonu|lonu,lonu,lonu,eh-hehl,con,855
lon|lon,lon,lon,e-a,con,853
lo|lo,lo,lo,sg-s-hi-hihst,con,856;857
lo|lo,lo,lo,sg-s-hi-hihst,vowel_a,722
lulo|lulo,lulo,lulo,g-ts,con,859
luy|luy,luy,luy,sg-h,con,862
lvkwht|lvkwot,lvkwht,lvkwot,stative,con,1627
lvtvnihst|lvtvnihst,lvtvnihst,lvtvnihst,ih-ohd,con,620
lvwhihstan|,lvwhihstan,,eh-el,con,735
l|l,l,l,hih-hil,con,864
l|l,l,l,hvsg-han,con,811
l|l,l,l,i-a-i,con,830
l|l,l,l,rev-e,con,833
l|l,l,l,vsk[imp2],con,870
nakal|,nakal,,ih-vh,con,356
nalh|nalh,nalh,nalh,vsk[imp2],con,873
natiw|natiw,natiw,natiw,sg-s-hi-hihst,con,621
nat|nat,nat,nat,eg-invs,con,871
nawhth|nawhth,nawhth,nawhth,ih-vh[inf2],con,876
nawit|nawit,nawit,nawit,ih-vh,con,877
nehsoy|,nehsoy,,sg-s-a[inf2],con,896
nehstal|nehstal,nehstal,nehstal,i-a-i,con,895
neh|ne',neh,ne',a,con,888
nekal|nekal,nekal,nekal,ih-vh,con,883
neki'|neki',neki',neki',eh-el,con,885
nekoyu|,nekoyu,,stative-s,vowel_a,1459
nekuts|,nekuts,,stative,con,1639
neku|neku,neku,neku,i-a-i,con,886
nel|nel,nel,nel,stative,con,893
netliyvhst|netliyvhst,netliyvhst,netliyvhst,ih-ohd,vowel_a,34
netl|netl,netl,netl,v-vhs,con,880
netl|netl,netl,netl,v-vhs,vowel_a,33
newhahth|newahth,newhahth,newahth,ih-vh[inf2],con,890
newhit|newit,newhit,newit,ih-vh,con,891
