corpus_id,definition,class,present,present_1sg,imperfective,perfective,imperative,infinitive,consensus_root,metathesis_involved,set_a_b,stem_type,metathesis_strategy,ka_variant,long_start,aki_1st,uwa_v,3rd_person_object,translocutive,translocutive_imp_only,partitive,distributive,distributive_fut_prog
29,it’s beginning,stative,atalenih,,atalenihsk,atalenvh,,atalen,atalenih,False,a,vowel_a,none,False,False,False,False,True,False,False,False,False,False
29,it’s beginning,stative,talenih,,talenihsk,talenvh,,talen,talenih,False,a,con,none,False,False,False,False,True,False,True,False,False,False
29,it’s beginning,stative,atalenih,,atalenihsk,atalenvh,,atalen,atalenih,False,a,vowel_a,none,False,False,False,False,True,False,True,False,False,False
30,he/she is shopping,sk-h,atananehsvhv,atananehsvhv,atananehsvhv,atananehsvn,atananehsvhvk,atananehsvhv,atananehsvhv,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
30,he/she is shopping,sk-h[imp2],atananehsvhv,atananehsvhv,atananehsvhv,atananehsvn,atananehsvhvka,atananehsvhv,atananehsvhv,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
30,he/she is shopping,hvsk-nh[inf3],atananehsv,atananehsv,atananehsv,atananehsv,atananehsv,atananehsv,atananehsv,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
30,he/she is shopping,episodic[inf2],atananehs,atananehs,atananehs,atananehs,atananehs,atananehs,atananehs,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
32,he/she is taking off running,cause,atanawhst,atanawhst,atanawhst,atanawhst,atanawhst,atanawhst,atanawhst,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
32,he/she is taking off running,cause[perf3],atanawhst,atanawhst,atanawhst,atanawhsth,atanawhst,atanawhst,atanawhst,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
32,he/she is taking off running,cause[pres2],atanawhstih,atanawhstih,atanawhst,atanawhst,atanawhst,atanawhst,atanawhstih,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
32,he/she is taking off running,cause[pres2-perf3],atanawhstih,atanawhstih,atanawhst,atanawhsth,atanawhst,atanawhst,atanawhstih,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
33,he/she is changing,v-vhs,atanetliy,atanetliy,atanetliy,atanetliy,atanetliy,atanetliy,atanetliy,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
33,he/she is changing,change-out,atanetl,atanetl,atanetl,atanetl,atanetl,atanetl,atanetl,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
34,he/she is taking turns with him/her,cause,atanetliyvhst,atanetliyvhst,atanetliyvhst,atanetliyvhst,atanetliyvhst,atanetliyvhst,atanetliyvhst,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
34,he/she is taking turns with him/her,cause[perf3],atanetliyvhst,atanetliyvhst,atanetliyvhst,atanetliyvhsth,atanetliyvhst,atanetliyvhst,atanetliyvhst,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
34,he/she is taking turns with him/her,cause[pres2],atanetliyvhstih,atanetliyvhstih,atanetliyvhst,atanetliyvhst,atanetliyvhst,atanetliyvhst,atanetliyvhstih,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
