user_approved,from_h_grade,from_g_grade,from_class,from_corpus_ids,to_h_grade,to_g_grade,to_class,to_corpus_ids,prefix_type
,atinvt,atinvt,cause,6,invt,invt,cause,78,at
,atlo,atlo,hih-lh,7,lo,lo,sk-s-hi-hihst,722;856;857,at
