corpus_id,form_name,surface,segmented
41,imperfective,atanhthehilohsko'i,a->at-anhtheh-il-ohsk-o'i
41,infinitive,utanhthehilohsti,u->at-anhtheh-il-ohst-i
41,perfective,utanhthehilo'v'i,u->at-anhtheh-il-o'-v'i
41,present,atanhthehilo'a,a->at-anhtheh-il-o'-a
41,present_1sg,katanvthehilo'a,k-at-anvtheh-il-o'-a
43,imperative,hatanhsinuka,h-ata-nhsin-uka
43,imperfective,atanhsineko'i,a->ata-nhsin-ek-o'i
43,infinitive,utanhsinvhsti,u->ata-nhsin-vhst-i
43,perfective,utanhsinvhsv'i,u->ata-nhsin-vhs-v'i
43,present,atanhsini,a->ata-nhsin-i
43,present_1sg,katanahsini,k-ata-nahsin-i
44,imperative,hatanutheyaka,h-ata-nuthey-aka
44,imperfective,atanutheyoho'i,a->ata-nuthey-oh-o'i
44,infinitive,utanutheyoti,u->ata-nuthey-ot-i
44,perfective,utanutheyolv'i,u->ata-nuthey-ol-v'i
44,present,atanutheyoha,a->ata-nuthey-oh-a
44,present_1sg,katanutheyoha,k-ata-nuthey-oh-a
46,imperative,hatanvla,h-atanv-la
46,imperfective,atanvhsko'i,a->atanv-hsk-o'i
46,infinitive,utanvhsti,u->atanv-hst-i
46,perfective,utanvhsv'i,u->atanv-hs-v'i
46,present,atanvhska,a->atanv-hsk-a
46,present_1sg,katanvhska,k-atanv-hsk-a
48,imperative,hatahstayvhvka,h-ata-hstay-vhvka
48,imperfective,atahstayvhvhsko'i,a->ata-hstay-vhvhsk-o'i
48,infinitive,utahstayhti,u->ata-hstay-ht-i
48,perfective,utahstayvnhv'i,u->ata-hstay-vnh-v'i
48,present,atahstayvhvhska,a->ata-hstay-vhvhsk-a
48,present_1sg,katahstayvhvhska,k-ata-hstay-vhvhsk-a
51,imperative,hatawelaka,h-atawelak-a
51,imperfective,atawelakihsko'i,a->atawelak-ihsk-o'i
51,infinitive,utawelakihsti,u->atawelak-ihst-i
51,perfective,utawelakv'i,u->atawelak-v'i
51,present,atawelaki'a,a->atawelak-i'-a
51,present_1sg,katawelaki'a,k-atawelak-i'-a
54,imperative,hatawehsolvhsta,h-ata-wehsolvhst-a
54,imperfective,atawehsolvhstihsko'i,a->ata-wehsolvhst-ihsk-o'i
54,infinitive,utawehsolvhstohti,u->ata-wehsolvhst-oht-i
54,perfective,utawehsolvhsthanv'i,u->ata-wehsolvhst-han-v'i
54,present,atawehsolvhstiha,a->ata-wehsolvhst-ih-a
54,present_1sg,katawehsolvhstiha,k-ata-wehsolvhst-ih-a
56,imperative,hatawotsa,h-at-aw-otsa
56,imperfective,atawohsko'i,a->at-aw-ohsk-o'i
56,infinitive,utawohsti,u->at-aw-ohst-i
56,perfective,utawo'v'i,u->at-aw-o'-v'i
56,present,atawo'a,a->at-aw-o'-a
56,present_1sg,katawo'a,k-at-aw-o'-a
59,imperative,hitihsi,hi-t-ihsi
59,imperfective,ateho'i,a-t-eh-o'i
59,infinitive,utehti,u-t-eht-i
59,perfective,utelv'i,u-t-el-v'i
59,present,ateha,a-t-eh-a
59,present_1sg,tsiteha,tsi-t-eh-a
61,imperative,hiyate'ohihsta,hiy-ate'ohihst-a
61,imperfective,atehohihstihsko'i,a->atehohihst-ihsk-o'i
61,infinitive,utehohihstohti,u->atehohihst-oht-i
61,perfective,utehohihsthanv'i,u->atehohihst-han-v'i
61,present,atehohihstiha,a->atehohihst-ih-a
61,present_1sg,tsiyate'ohihstiha,tsiy-ate'ohihst-ih-a
62,imperative,hatehohi,h-ateho-hi
62,imperfective,atehohsko'i,a->ateho-hsk-o'i
62,infinitive,utehohihsti,u->ateho-hihst-i
62,perfective,utehohsv'i,u->ateho-hs-v'i
62,present,atehohska,a->ateho-hsk-a
62,present_1sg,kate'ohska,k-ate'o-hsk-a
63,imperative,hatehvka,h-at-e-hvka
63,imperfective,atehvhsko'i,a->at-e-hvhsk-o'i
63,infinitive,utehti,u->at-e-ht-i
63,perfective,utenhv'i,u->at-e-nh-v'i
63,present,atehvhska,a->at-e-hvhsk-a
63,present_1sg,kate'vhska,k-at-e-'vhsk-a
67,imperative,hatelohohi,h-ateloho-hi
67,imperfective,atelohohsko'i,a->ateloho-hsk-o'i
67,infinitive,utelohohihsti,u->ateloho-hihst-i
67,perfective,utelohohsv'i,u->ateloho-hs-v'i
67,present,atelohohska,a->ateloho-hsk-a
67,present_1sg,katelo'ohska,k-atelo'o-hsk-a
70,imperative,hateyaka,h-a-tey-aka
70,imperfective,ateyoho'i,a->a-tey-oh-o'i
70,infinitive,uteyhsti,u->a-tey-hst-i
70,perfective,uteyolv'i,u->a-tey-ol-v'i
70,present,ateyoha,a->a-tey-oh-a
70,present_1sg,kateyoha,k-a-tey-oh-a
72,imperative,hita,hi--t-a
72,imperfective,atihsko'i,a--t-ihsk-o'i
72,infinitive,utihsti,u--t-ihst-i
72,perfective,utv'i,u--t-v'i
72,present,ati'a,a--t-i'-a
72,present_1sg,tsiti'a,tsi--t-i'-a
73,imperative,hatita,h-atit-a
73,imperfective,atitihsko'i,a->atit-ihsk-o'i
73,infinitive,utithti,u->atit-ht-i
73,perfective,utitvhv'i,u->atit-vh-v'i
73,present,atitiha,a->atit-ih-a
73,present_1sg,katiti'a,k-atit-i'-a
74,imperative,hatikaleya,h-atikaley-a
74,imperfective,atikaleyahsko'i,a->atikaley-ahsk-o'i
74,infinitive,utikaleyahsti,u->atikaley-ahst-i
74,perfective,utikaleyv'i,u->atikaley-v'i
74,present,atikaleya'a,a->atikaley-a'-a
