corpus_id,original_word,stem,structure,aspect,person,number,pronominal_set
16,atana'nv'i,atana'nv',nominal,imperfective,,,
16,atana'nv'i,tana'nv',nominal,imperfective,3rd,singular,a
16,atana'nv'i,:tana'nv',nominal,imperfective,3rd,singular,a
16,atana'nv'i,atana'nv',nominal,imperfective,3rd,singular,a
16,atana'nv'i,atana'n,verby,perfective,,,
16,atana'nv'i,tana'n,verby,perfective,3rd,singular,a
16,atana'nv'i,:tana'n,verby,perfective,3rd,singular,a
16,atana'nv'i,atana'n,verby,perfective,3rd,singular,a
16,atana'nv'i,atana'n,verby,imperfective,,,
16,atana'nv'i,tana'n,verby,imperfective,3rd,singular,a
16,atana'nv'i,:tana'n,verby,imperfective,3rd,singular,a
16,atana'nv'i,atana'n,verby,imperfective,3rd,singular,a
16,atana'nv'i,atana'nv'i,nominal,,,,
16,atana'nv'i,tana'nv'i,nominal,,3rd,singular,a
16,atana'nv'i,:tana'nv'i,nominal,,3rd,singular,a
16,atana'nv'i,atana'nv'i,nominal,,3rd,singular,a
17,atanetliyvhstihski,atanetliyvhstihsk,nominal,imperfective,,,
17,atanetliyvhstihski,tanetliyvhstihsk,nominal,imperfective,3rd,singular,a
17,atanetliyvhstihski,:tanetliyvhstihsk,nominal,imperfective,3rd,singular,a
17,atanetliyvhstihski,atanetliyvhstihsk,nominal,imperfective,3rd,singular,a
17,atanetliyvhstihski,atanetliyvhstihski,nominal,,,,
17,atanetliyvhstihski,tanetliyvhstihski,nominal,,3rd,singular,a
17,atanetliyvhstihski,:tanetliyvhstihski,nominal,,3rd,singular,a
17,atanetliyvhstihski,atanetliyvhstihski,nominal,,3rd,singular,a
18,atanelhv'i,atanelhv',nominal,imperfective,,,
18,atanelhv'i,tanelhv',nominal,imperfective,3rd,singular,a
18,atanelhv'i,:tanelhv',nominal,imperfective,3rd,singular,a
18,atanelhv'i,atanelhv',nominal,imperfective,3rd,singular,a
18,atanelhv'i,atanelh,verby,perfective,,,
18,atanelhv'i,tanelh,verby,perfective,3rd,singular,a
18,atanelhv'i,:tanelh,verby,perfective,3rd,singular,a
18,atanelhv'i,atanelh,verby,perfective,3rd,singular,a
18,atanelhv'i,atanelh,verby,imperfective,,,
18,atanelhv'i,tanelh,verby,imperfective,3rd,singular,a
18,atanelhv'i,:tanelh,verby,imperfective,3rd,singular,a
18,atanelhv'i,atanelh,verby,imperfective,3rd,singular,a
18,atanelhv'i,atanelhv'i,nominal,,,,
18,atanelhv'i,tanelhv'i,nominal,,3rd,singular,a
18,atanelhv'i,:tanelhv'i,nominal,,3rd,singular,a
18,atanelhv'i,atanelhv'i,nominal,,3rd,singular,a
19,atanelv'i,atanelv',nominal,imperfective,,,
19,atanelv'i,tanelv',nominal,imperfective,3rd,singular,a
19,atanelv'i,:tanelv',nominal,imperfective,3rd,singular,a
19,atanelv'i,atanelv',nominal,imperfective,3rd,singular,a
19,atanelv'i,atanel,verby,perfective,,,
19,atanelv'i,tanel,verby,perfective,3rd,singular,a
19,atanelv'i,:tanel,verby,perfective,3rd,singular,a
19,atanelv'i,atanel,verby,perfective,3rd,singular,a
19,atanelv'i,atanel,verby,imperfective,,,
19,atanelv'i,tanel,verby,imperfective,3rd,singular,a
19,atanelv'i,:tanel,verby,imperfective,3rd,singular,a
19,atanelv'i,atanel,verby,imperfective,3rd,singular,a
19,atanelv'i,atanelv'i,nominal,,,,
19,atanelv'i,tanelv'i,nominal,,3rd,singular,a
19,atanelv'i,:tanelv'i,nominal,,3rd,singular,a
19,atanelv'i,atanelv'i,nominal,,3rd,singular,a
20,atanhto,atanhto,nominal,,,,
20,atanhto,tanhto,nominal,,3rd,singular,a
20,atanhto,:tanhto,nominal,,3rd,singular,a
20,atanhto,atanhto,nominal,,3rd,singular,a
21,atanhthehti,atanhtheht,nominal,imperfective,,,
21,atanhthehti,tanhtheht,nominal,imperfective,3rd,singular,a
21,atanhthehti,:tanhtheht,nominal,imperfective,3rd,singular,a
21,atanhthehti,atanhtheht,nominal,imperfective,3rd,singular,a
21,atanhthehti,atanhthehti,nominal,,,,
21,atanhthehti,tanhthehti,nominal,,3rd,singular,a
21,atanhthehti,:tanhthehti,nominal,,3rd,singular,a
21,atanhthehti,atanhthehti,nominal,,3rd,singular,a
22,atahstayhti'i,atahstayhti',nominal,imperfective,,,
22,atahstayhti'i,tahstayhti',nominal,imperfective,3rd,singular,a
22,atahstayhti'i,:tahstayhti',nominal,imperfective,3rd,singular,a
22,atahstayhti'i,atahstayhti',nominal,imperfective,3rd,singular,a
22,atahstayhti'i,atahstayhti'i,nominal,,,,
22,atahstayhti'i,tahstayhti'i,nominal,,3rd,singular,a
22,atahstayhti'i,:tahstayhti'i,nominal,,3rd,singular,a
22,atahstayhti'i,atahstayhti'i,nominal,,3rd,singular,a
23,atawehi,ataweh,nominal,imperfective,,,
23,atawehi,taweh,nominal,imperfective,3rd,singular,a
23,atawehi,:taweh,nominal,imperfective,3rd,singular,a
23,atawehi,ataweh,nominal,imperfective,3rd,singular,a
23,atawehi,atawehi,nominal,,,,
23,atawehi,tawehi,nominal,,3rd,singular,a
23,atawehi,:tawehi,nominal,,3rd,singular,a
23,atawehi,atawehi,nominal,,3rd,singular,a
24,atawelakihski,atawelakihsk,nominal,imperfective,,,
24,atawelakihski,tawelakihsk,nominal,imperfective,3rd,singular,a
24,atawelakihski,:tawelakihsk,nominal,imperfective,3rd,singular,a
24,atawelakihski,atawelakihsk,nominal,imperfective,3rd,singular,a
24,atawelakihski,atawelakihski,nominal,,,,
24,atawelakihski,tawelakihski,nominal,,3rd,singular,a
24,atawelakihski,:tawelakihski,nominal,,3rd,singular,a
24,atawelakihski,atawelakihski,nominal,,3rd,singular,a
25,atawelakihski,atawelakihsk,nominal,imperfective,,,
25,atawelakihski,tawelakihsk,nominal,imperfective,3rd,singular,a
25,atawelakihski,:tawelakihsk,nominal,imperfective,3rd,singular,a
25,atawelakihski,atawelakihsk,nominal,imperfective,3rd,singular,a
25,atawelakihski,atawelakihski,nominal,,,,
25,atawelakihski,tawelakihski,nominal,,3rd,singular,a
25,atawelakihski,:tawelakihski,nominal,,3rd,singular,a
25,atawelakihski,atawelakihski,nominal,,3rd,singular,a
26,Atawi,Ataw,nominal,imperfective,,,
26,Atawi,Atawi,nominal,,,,
27,atawohsti'i,atawohsti',nominal,imperfective,,,
27,atawohsti'i,tawohsti',nominal,imperfective,3rd,singular,a
27,atawohsti'i,:tawohsti',nominal,imperfective,3rd,singular,a
27,atawohsti'i,atawohsti',nominal,imperfective,3rd,singular,a
27,atawohsti'i,atawohsti'i,nominal,,,,
27,atawohsti'i,tawohsti'i,nominal,,3rd,singular,a
27,atawohsti'i,:tawohsti'i,nominal,,3rd,singular,a
27,atawohsti'i,atawohsti'i,nominal,,3rd,singular,a
28,atayvlathvhski,atayvlathvhsk,nominal,imperfective,,,
28,atayvlathvhski,tayvlathvhsk,nominal,imperfective,3rd,singular,a
28,atayvlathvhski,:tayvlathvhsk,nominal,imperfective,3rd,singular,a
28,atayvlathvhski,atayvlathvhsk,nominal,imperfective,3rd,singular,a
28,atayvlathvhski,atayvlathvhski,nominal,,,,
28,atayvlathvhski,tayvlathvhski,nominal,,3rd,singular,a
28,atayvlathvhski,:tayvlathvhski,nominal,,3rd,singular,a
28,atayvlathvhski,atayvlathvhski,nominal,,3rd,singular,a
29,atela,atela,nominal,,,,
29,atela,tela,nominal,,3rd,singular,a
29,atela,:tela,nominal,,3rd,singular,a
29,atela,atela,nominal,,3rd,singular,a
30,ateltiyhti'i,ateltiyhti',nominal,imperfective,,,
30,ateltiyhti'i,teltiyhti',nominal,imperfective,3rd,singular,a
30,ateltiyhti'i,:teltiyhti',nominal,imperfective,3rd,singular,a
30,ateltiyhti'i,ateltiyhti',nominal,imperfective,3rd,singular,a
