corpus_id,entry_no,user_selected,definition,stative,class,post_root_morpheme,h_grade,g_grade,metathesis_involved,set_a_b,stem_type,metathesis_strategy,middle_voice,plural,ka_variant,long_start,aki_1st,uwa_v,3rd_person_object,translocutive,translocutive_imp_only,partitive,distributive,distributive_fut_prog
25,29,,it’s ripping,False,ih-vh,,atsakal,atsakal,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
25,29,,it’s ripping,False,ih-vh,,tsakal,tsakal,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
25,29,,it’s ripping,False,ih-vh,,sakal,sakal,False,a,vowel_a,none,atat,False,False,False,False,False,False,False,False,False,False,
27,31,,he/she is looking at himself/herself in a mirror,False,apl-active,,atakh,atakh,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
27,31,,he/she is looking at himself/herself in a mirror,False,apl-active,,akh,akh,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
27,31,,he/she is looking at himself/herself in a mirror,False,apl-active,,kh,kh,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
29,33,,it’s beginning,False,ih-vh,,talen,,False,a,con,none,none,False,False,False,False,False,False,False,False,False,False,
29,33,,it’s beginning,False,ih-vh,,atalen,,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
29,33,,it’s beginning,False,ih-vh,,alen,,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
29,33,,it’s beginning,False,ih-vh,,len,,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
29,33,,it’s beginning,False,ih-vh,,talen,,False,a,con,none,none,False,False,False,False,False,False,False,True,False,False,
29,33,,it’s beginning,False,ih-vh,,atalen,,False,a,vowel_a,none,none,False,False,False,False,False,False,False,True,False,False,
29,33,,it’s beginning,False,ih-vh,,alen,,False,a,vowel_a,none,at,False,False,False,False,False,False,False,True,False,False,
29,33,,it’s beginning,False,ih-vh,,len,,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,True,False,False,
29,33,,it’s beginning,False,ih-vh,,talen,,False,a,con,none,none,False,False,False,False,False,True,False,False,False,False,
29,33,,it’s beginning,False,ih-vh,,atalen,,False,a,vowel_a,none,none,False,False,False,False,False,True,False,False,False,False,
29,33,,it’s beginning,False,ih-vh,,alen,,False,a,vowel_a,none,at,False,False,False,False,False,True,False,False,False,False,
29,33,,it’s beginning,False,ih-vh,,len,,False,a,vowel_a,none,ata,False,False,False,False,False,True,False,False,False,False,
29,33,,it’s beginning,False,ih-vh,,talen,,False,a,con,none,none,False,False,False,False,False,True,False,True,False,False,
29,33,,it’s beginning,False,ih-vh,,atalen,,False,a,vowel_a,none,none,False,False,False,False,False,True,False,True,False,False,
29,33,,it’s beginning,False,ih-vh,,alen,,False,a,vowel_a,none,at,False,False,False,False,False,True,False,True,False,False,
29,33,,it’s beginning,False,ih-vh,,len,,False,a,vowel_a,none,ata,False,False,False,False,False,True,False,True,False,False,
30,34,,he/she is shopping,False,hvsk-nh[inf3],,atananehsv,atananehsv,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
30,34,,he/she is shopping,False,hvsk-nh[inf3],,ananehsv,ananehsv,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
30,34,,he/she is shopping,False,hvsk-nh[inf3],,nanehsv,nanehsv,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
30,34,,he/she is shopping,False,episodic[inf2],,atananehs,atananehs,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
30,34,,he/she is shopping,False,episodic[inf2],,ananehs,ananehs,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
30,34,,he/she is shopping,False,episodic[inf2],,nanehs,nanehs,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
32,36,,he/she is taking off running,False,cause,,atanawhst,atanawhst,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
32,36,,he/she is taking off running,False,cause,,anawhst,anawhst,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
32,36,,he/she is taking off running,False,cause,,nawhst,nawhst,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
33,37,,he/she is changing,False,v-vhs,,atanetliy,atanetliy,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
33,37,,he/she is changing,False,v-vhs,change-out,atanetl,atanetl,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
33,37,,he/she is changing,False,v-vhs,,anetliy,anetliy,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
33,37,,he/she is changing,False,v-vhs,change-out,anetl,anetl,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
33,37,,he/she is changing,False,v-vhs,,netliy,netliy,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
33,37,,he/she is changing,False,v-vhs,change-out,netl,netl,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
34,38,,he/she is taking turns with him/her,False,cause,,atanetliyvhst,atanetliyvhst,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
34,38,,he/she is taking turns with him/her,False,cause,,anetliyvhst,anetliyvhst,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
34,38,,he/she is taking turns with him/her,False,cause,,netliyvhst,netliyvhst,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
39,43,,he/she is thinking,False,apl-active-h,,atanht,atanvt,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
39,43,,he/she is thinking,False,apl-active-h,,anht,anvt,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
39,43,,he/she is thinking,False,apl-active-h,,nht,nvt,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
41,45,,he/she is pondering,False,o,,atanhthehil,atanvthehil,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
41,45,,he/she is pondering,False,o,repetitive,atanhtheh,atanvtheh,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
41,45,,he/she is pondering,False,o,,anhthehil,anvthehil,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
41,45,,he/she is pondering,False,o,repetitive,anhtheh,anvtheh,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
41,45,,he/she is pondering,False,o,,nhthehil,nvthehil,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
41,45,,he/she is pondering,False,o,repetitive,nhtheh,nvtheh,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
43,47,,he/she is crawling,False,go[pres2],,atanhsin,atanahsin,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
43,47,,he/she is crawling,False,go[pres2],,anhsin,anahsin,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
43,47,,he/she is crawling,False,go[pres2],,nhsin,nahsin,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
44,48,,it’s twisting,False,oh-ol,,atanuthey,atanuthey,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
44,48,,it’s twisting,False,oh-ol,,anuthey,anuthey,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
44,48,,it’s twisting,False,oh-ol,,nuthey,nuthey,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
46,50,,he/she is ordering it,False,sk-s-la,,atanv,atanv,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
46,50,,he/she is ordering it,False,sk-s-la,,anv,anv,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
46,50,,he/she is ordering it,False,sk-s-la,,nv,nv,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
48,52,,he/she is cooking a meal,False,hvsk-nh[inf2],,atahstayv,atahstayv,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
48,52,,he/she is cooking a meal,False,hvsk-nh[inf2],,ahstayv,ahstayv,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
48,52,,he/she is cooking a meal,False,hvsk-nh[inf2],,hstayv,hstayv,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
48,52,,he/she is cooking a meal,False,episodic,,atahstay,atahstay,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
48,52,,he/she is cooking a meal,False,episodic,,ahstay,ahstay,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
48,52,,he/she is cooking a meal,False,episodic,,hstay,hstay,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
51,55,,it’s burning,False,i-a-i,,atawelak,atawelak,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
51,55,,it’s burning,False,i-a-i,,awelak,awelak,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
51,55,,it’s burning,False,i-a-i,,welak,welak,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
54,58,,he/she is resting,False,cause,,atawehsolvhst,atawehsolvhst,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
54,58,,he/she is resting,False,cause,,awehsolvhst,awehsolvhst,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
54,58,,he/she is resting,False,cause,,wehsolvhst,wehsolvhst,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
56,60,,he/she is bathing,False,o,,ataw,ataw,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
56,60,,he/she is bathing,False,o,,aw,aw,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
56,60,,he/she is bathing,False,o,,w,w,False,a,vowel_a,none,ata,False,False,False,False,False,False,False,False,False,False,
59,63,,he/she is giving him/her it,False,apl[imp3],,t,t,False,a,con,none,none,False,False,False,False,False,False,False,False,False,False,
59,63,,he/she is giving him/her it,False,apl[imp3],,t,t,False,a,con,none,none,False,False,False,False,False,True,False,False,False,False,
61,65,,he/she is embarrassing him/her,False,cause,,atehohihst,ate'ohihst,False,a,vowel_a,none,none,False,False,False,False,False,True,False,False,False,False,
61,65,,he/she is embarrassing him/her,False,cause,,ehohihst,e'ohihst,False,a,vowel_a,none,at,False,False,False,False,False,True,False,False,False,False,
62,66,,he/she is embarrassed,False,sk-s-hi-hihst,,ateho,ate'o,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
62,66,,he/she is embarrassed,False,sk-s-hi-hihst,,eho,e'o,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
63,67,,he/she is being born,False,hvsk-nh,,ate,ate,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
63,67,,he/she is being born,False,hvsk-nh,,e,e,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
67,71,,he/she is finding it out,False,sk-s-hi-hihst,,ateloho,atelo'o,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
67,71,,he/she is finding it out,False,sk-s-hi-hihst,,eloho,elo'o,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
70,74,,he/she is going around a curve,False,oh-ol[inf2],,atey,atey,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
70,74,,he/she is going around a curve,False,oh-ol[inf2],,ey,ey,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
72,76,,he/she is laying it down,False,i-a-i,,t,t,False,a,con,none,none,False,False,False,False,False,False,False,False,False,False,
72,76,,he/she is laying it down,False,i-a-i,long[no-a],,,False,a,con,none,none,False,False,False,False,False,False,False,False,False,False,
72,76,,he/she is laying it down,False,i-a-i,,t,t,False,a,con,none,none,False,False,False,False,False,True,False,False,False,False,
72,76,,he/she is laying it down,False,i-a-i,long[no-a],,,False,a,con,none,none,False,False,False,False,False,True,False,False,False,False,
73,77,,he/she is rising,False,ih-vh,,atit,atit,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
73,77,,he/she is rising,False,ih-vh,,it,it,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
74,78,,he/she is scattering it,False,a,,atikaley,atikaley,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
74,78,,he/she is scattering it,False,a,,ikaley,ikaley,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
75,79,,it’s scattering,False,become[inf3],,tikaleyo,,False,a,con,none,none,False,False,False,False,False,False,False,False,False,False,
75,79,,it’s scattering,False,become[inf3],,atikaleyo,,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
75,79,,it’s scattering,False,become[inf3],,ikaleyo,,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
75,79,,it’s scattering,False,become[inf3],,tikaleyo,,False,a,con,none,none,False,False,False,False,False,False,False,True,False,False,
75,79,,it’s scattering,False,become[inf3],,atikaleyo,,False,a,vowel_a,none,none,False,False,False,False,False,False,False,True,False,False,
75,79,,it’s scattering,False,become[inf3],,ikaleyo,,False,a,vowel_a,none,at,False,False,False,False,False,False,False,True,False,False,
75,79,,it’s scattering,False,become[inf3],,tikaleyo,,False,a,con,none,none,False,False,False,False,False,True,False,False,False,False,
75,79,,it’s scattering,False,become[inf3],,atikaleyo,,False,a,vowel_a,none,none,False,False,False,False,False,True,False,False,False,False,
75,79,,it’s scattering,False,become[inf3],,ikaleyo,,False,a,vowel_a,none,at,False,False,False,False,False,True,False,False,False,False,
75,79,,it’s scattering,False,become[inf3],,tikaleyo,,False,a,con,none,none,False,False,False,False,False,True,False,True,False,False,
75,79,,it’s scattering,False,become[inf3],,atikaleyo,,False,a,vowel_a,none,none,False,False,False,False,False,True,False,True,False,False,
75,79,,it’s scattering,False,become[inf3],,ikaleyo,,False,a,vowel_a,none,at,False,False,False,False,False,True,False,True,False,False,
76,80,,he/she is spinning,False,oh-ol[inf2],,atikwalvtey,atikwalvtey,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
76,80,,he/she is spinning,False,oh-ol[inf2],,ikwalvtey,ikwalvtey,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
77,81,x,he/she is saying it,False,vnh-ih-a,,at,at,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
