corpus_id,entry_no,definition,prediction,present,present_1sg,imperfective,perfective,imperative,infinitive
79,83,he/she is hiding,FullEventful,atihskalhvhsk,katihskalhvhsk,atihskalhvhsk,utihskalhan,hatihskalhvka,utihskalht
80,84,he/she is leaving it behind (refers to a long object),FullEventful,atihsiya',tsitihsiya',atihsiyahsk,utihsiy,hitihsiya,utihsiyahst
82,86,he/she is drinking it,FullEventful,atithahsk,katithahsk,atithahsk,utithah,hatitha,utithahst
85,89,he/she is scratching,FullEventful,atlakohsk,katlakohsk,atlakohsk,utlakohs,hatlakola,utlakohst
87,91,he/she is turning off the road,FullEventful,atle',katle',atlehsk,utlehs,hatlaki,utlehst
88,92,he/she is taking revenge against him/her,FullEventful,atletsheh,tsiyatletsheh,atletsheh,utletshel,hiyatletshihsi,utletsheht
92,96,he/she is pouring liquid into a container,FullEventful,atli',tsitli',atlihsk,utl,hitlika,utlihst
94,98,it’s pouring into a container (refers to liquid),FullEventful,atlik,,atlik,utlits,,utliyhst
95,99,he/she is drawing a liquid out of a container,FullEventful,atlih,tsitli',atlihsk,utlvh,hitla,utlvht
96,100,he/she is pouring a liquid into a container,FullEventful,atlihstih,tsitlihstih,atlihstihsk,utlihsthan,hitlihsta,utlihstoht
98,102,he/she is crying,FullEventful,atloyhih,katloyih,atloyhih,utloyhil,hatloyhka,utloyhst
99,103,he/she is getting off,FullEventful,atloyhsk,katloyhsk,atloyhsk,utloyhs,hatlohi,utlohihst
100,104,he/she is bragging,FullEventful,atlvkwhsk,katlvkwahsk,atlvkwhsk,utlvkwhs,hatlvkwha,utlvkwhihst
101,105,he/she is catching up with him/her,FullEventful,atlvthahsk,tsiyatlvthahsk,atlvthahsk,utlvthah,hiyatlvtha,utlvthahst
106,110,he/she is doing it,FullEventful,atvneh,katvneh,atvneh,utvnel,hatvka,utvnht
107,111,he/she is acting silly,FullEventful,atvnelih,katvnelih,atvnelihsk,utvnelvnh,hatvnela,utvnelht
109,113,he/she is preparing it,FullEventful,atvnv'ihstih,katvnv'ihstih,atvnv'ihstihsk,utvnv'ihsthan,hatvnv'ihsta,utvnv'ihstoht
112,116,it is shining (refers to sun or moon),FullEventful,akalih,,akalihsk,ukalihs,,ukalihihst
113,117,he/she is breaking it (refers to a flexible object),FullEventful,akalhsk,tsikalhsk,akalhsk,ukalhs,hika'la,ukalhst
115,119,he/she is licking it,FullEventful,akanati',tsikanati',akanatihsk,ukanat,hikanata,ukanatihst
117,121,he/she is warming it,FullEventful,akanawhtih,tsikanawotih,akanawhtihsk,ukanawhthan,hikanawhta,ukanawhtoht
118,122,it’s getting warm,FullEventful,akanawohsk,,akanawohsk,ukanawohs,,ukanawohihst
119,123,it’s raining,FullEventful,akahsk,,akahsk,ukanhan,,ukanht
127,132,he/she is eating it (refers to a single solid food),FullEventful,aki',tsiki',akihsk,uk,hika,ukihst
128,133,he/she is picking it up,FullEventful,aki',tsiki',akihsk,ukihs,hiki,ukihst
130,135,he/she is in agony,FullEventful,akilhiyok,tsikiliyok,akilhiyok,ukilhiyots,hikilhiyoki,ukilhiyohst
133,138,he/she is chewing it,FullEventful,akihsto',tsikihsto',akihstohsk,ukihsto',hikihstotsa,ukihstohst
135,140,he/she is burning him/her,FullEventful,akohvhstih,tsiyakohvhstih,akohvhstihsk,ukohvhsthan,hiyakohvhsta,ukohvhstoht
136,141,it’s burning,FullEventful,akohvhsk,kakohvhsk,akohvhsk,ukonh,hakonha,ukohvhst
138,143,he/she is reading,FullEventful,akoliye',tsikoliye',akoliyehsk,ukoliye',hikoliya,ukoliyet
140,145,he/she is target practicing,FullEventful,akonih,kakonih,akonihsk,ukonvh,hakona,ukonht
143,148,he/she sees him/her,FullEventful,akowhthih,tsikowhthih,akowhthihsk,ukoh,hikowahtha,ukowhthvht
145,150,he/she is showing it to him/her,FullEventful,akowhthvhtih,tsikowhthvhtih,akowhthvhtihsk,ukowhthvhthan,hikowhthvhta,ukowhthvhtoht
148,153,he/she is cutting it,FullEventful,akvhalih,tsikv'alih,akvhalihsk,ukvhalvh,hikvhala,ukvhalht
149,154,he/she is chopping it up,FullEventful,akvhaluyhsk,tsikv'aluyhsk,akvhaluyhsk,ukvhaluyh,hikvhaluyha,ukvhaluyhst
152,157,he/she is scolding him/her,FullEventful,akvhskolvhsk,tsikvhskolvhsk,akvhskolvhsk,ukvhskolvn,hikvhskolv'vka,ukvhskolvt
153,158,he/she is washing his face,FullEventful,akvhskwo',kakvhskwo',akvhskwohsk,ukvhskwo',hakvhskwotsa,ukvhskwohst
155,161,he/she is diverting him/her,FullEventful,ahaluki',tsi'aluki',ahalukihsk,uhalukihs,hi'aluki,uhalukihst
158,164,he/she is smothering him/her,FullEventful,ahawohstih,tsi'awohstih,ahawohstihsk,uhawohsthan,hi'awohsta,uhawohstoht
160,166,he/she is handling it,FullEventful,ahitoh,tsi'itoh,ahitoh,uhitol,hihita,uhitahst
161,167,he/she is killing him/her,FullEventful,ahih,tsi'ih,ahih,ulh,hiluka,uhihst
162,168,he/she has possession of a vehicle,FullEventful,ahi'leh,tsi'ileh,ahi'leh,,,uhi'lvhst
163,169,he/she is driving it (refers to a vehicle in motion or animal),FullEventful,ahi'l,tsi'il,ahi'lihs,uhi'lvhs,,uhi'lvhst
165,171,he/she is leaving it behind,FullEventful,ahiya',tsi'iya',ahiyahsk,uhiy,hihiya,uhiyahst
166,172,he/she is placing it on something,FullEventful,alhahvhsk,tsilhahvhsk,alhahvhsk,ulhanh,hilhahvka,ulhoht
167,173,he/she is taking off flying,FullEventful,alhawitih,katlawitih,alhawitihsk,ulhawitvh,halhawita,ulhawitht
169,175,he/she is making him/her fly,FullEventful,alhawithtih,tsiyatlawithtih,alhawithtihsk,ulhawithtan,hiyatlawithta,ulhawithtoht
171,177,he/she is having a nightmare,FullEventful,alhiki',katliki',alhikihsk,ulhikihs,halhiki,ulhikihst
172,178,it’s taking time,FullEventful,alhi'ilitoh,,alhi'ilitoh,ulhi'ilitol,,ulhi'ilitahst
173,179,he/she is measuring it,FullEventful,alhilo',katlilo',alhilohsk,ulhilo',halhilotsa,ulhilohst
175,181,it’s bending,FullEventful,alhiyvhkwitvhsk,,alhiyvhkwitvhsk,ulhiyvhkwitvn,,ulhiyvhkwitvt
176,182,he/she is snorting,FullEventful,alhiyvhsanawhstih,kaliyvhsanawhstih,alhiyvhsanawhstihsk,ulhiyvhsanawhsthan,halhiyvhsanawhsta,ulhiyvhsanawhstoht
177,183,he/she is preaching,FullEventful,alhtsatohvhsk,kalitsatohvhsk,alhtsatohvhsk,ulhtsatonh,halhtsatohvka,ulhtsatht
179,185,it’s shattering,FullEventful,alhkhotvhsk,,alhkhotvhsk,ulhkhotvnh,,
180,186,he/she is shattering it,FullEventful,alhkhothtih,kalikhothtih,alhkhothtihsk,ulhkhoththan,halhkhothta,ulhkhothtoht
182,188,he/she is beating him/her at a game,FullEventful,alhohsk,tsilhohsk,alhohsk,ulhohs,hilhohi,ulhohihst
183,189,he/she is combing his/her hair,FullEventful,alhthawo',kalithawo',alhthawohsk,ulhthawo',halhthawotsa,ulhthawohst
185,191,he/she is moving (without changing location),FullEventful,alhthelvhvhsk,kalithelvhvhsk,alhthelvhvhsk,ulhthelvnh,halhthelvhvka,ulhthelht
186,192,he/she is changing his/her shirt,FullEventful,anhawa'iyv',kaniwa'iyv',anhawa'iyvhsk,unhawa'iyvhs,hanhawa'iyvna,unhawa'iyvhst
187,193,he/she is taking his/her shirt off,FullEventful,anhawe',kaniwe',anhawehsk,unhawehs,hanhawaki,unhawehst
189,195,he/she is putting on a shirt,FullEventful,anhawo',kaniwo',anhawohsk,unhawo',hanhawotsa,unhawohst
190,196,he/she is giving it to him/her,FullEventful,anheh,tsineh,anheh,unhel,hi'vhsi,unheht
191,197,he/she is wrestling,FullEventful,anhehih,kanhehih,anhehih,unhelh,hanheka,unhehst
192,198,he/she is interpreting it,FullEventful,anhelhtih,kanelhtih,anhelhtihsk,unhelhthan,hanhelhta,unhelhtoht
194,200,he/she is frolicking,FullEventful,anhetsohsk,kanetsohsk,anhetsohsk,unhetson,hanhetso'vka,unhetsot
195,201,he/she is building a house,FullEventful,anhehskeh,kanehskeh,anhehskehsk,unhehskeh,hanhehskvla,unhehskeht
196,202,he/she is leaving,FullEventful,anhiki',kaniki',anhikihsk,unhikihs,hanhiki,unhikihst
197,203,he/she is starting it,FullEventful,anhikihstih,kanikihstih,anhikihstihsk,unhikihsthan,hanhikihsta,unhikihstoht
198,204,he/she is carrying it on his/her shoulder (refers to a long object),FullEventful,anholhinek,kanolhinek,anholhinek,unholhinvhs,hanholhinuka,unholhinvhst
200,206,he/she is putting it in liquid (refers to a long object),FullEventful,ahuti',tsi'uti',ahutihsk,uhut,hihuta,uhutihst
204,210,he/she is hitting him/her on the mouth,FullEventful,ahulvnih,tsi'ulvnih,ahulvnih,uhulvnil,hi'ulvnika,uhulvnihst
205,211,he/she is moving it from one place to another,FullEventful,ahv',tsi'v',ahvhsk,uhvhs,hihvna,uhvhst
206,212,he/she is setting it down,FullEventful,ahvhsk,tsi'vhsk,ahvhsk,unh,hihvka,uht
207,213,he/she is finding him/her,FullEventful,awhahthih,tsiwahthih,awhahthihsk,uwhahthvh,hiwahtha,uwhahthvht
208,214,he/she is visiting him/her,FullEventful,awhahthvhitoh,tsiwahthvhitoh,awhahthvhitoh,uwhahthvhitol,hiwahthvhita,uwhahthvhitahst
209,215,he/she is taking it somewhere,FullEventful,awhitih,tsiwitih,awhitihsk,uwhitvh,hiwhita,uwitht
210,216,he/she is planting it,FullEventful,awhihsk,tsiwihsk,awhihsk,uwhihs,hiwhi,uwhihst
212,218,he/she is peeling it,FullEventful,ayhahkhetsk,tsiyahkhetsk,ayhahkhetsk,uyhahkhets,hiyhahkhetsa,uyhahkhetst
214,220,it’s becoming frosty (refers to the ground),FullEventful,ayhahthvhvhsk,,ayhahthvhvhsk,uyhahthvnh,,uyhahthvtht
215,221,he/she is calling him/her,FullEventful,ayhanih,tsiyanih,ayhanihsk,uyhanvh,hiyana,uyhanht
216,222,he/she is taking it somewhere by hand,FullEventful,ayhek,tsiyek,ayhek,uyhvhs,hiyhuka,uyhvhst
217,223,he/she is holding it in his/her hand,FullEventful,ayheh,tsiyeh,ayheh,ayheh,,
218,224,he/she is quilting it,FullEventful,ayhehkalhvhsk,tsiyehkalhvhsk,ayhehkalhvhsk,uyhehkalhan,hiyhehkalhvka,uyhehkalht
219,225,he/she is making an incision,FullEventful,ayhelhoh,tsiyelhoh,ayhelhoh,uyhelhal,hiyelaka,uyhelhst
220,226,he/she is imitating him/her,FullEventful,ayheli',tsiyeli',ayhelihsk,uyhelihs,hiyela,uyhelihst
222,228,he/she is looking for him/her,FullEventful,ayhoh,tsiyoh,ayhoh,uyhal,hiyhka,uyhst
223,229,he/she is swimming (refers to propelling oneself through the water),FullEventful,ayhu'inek,kayu'inek,ayhu'inek,uyhu'invhs,hayhu'inuka,uyhu'invhst
224,230,it’s thundering,FullEventful,ayhvtakwalo',,ayhvtakwalohsk,uyhvtakwalo',,uyhvtakwalohst
228,234,he/she is bending it,FullEventful,ayhvhkwitvhsk,tsiyvhkwitvhsk,ayhvhkwitvhsk,uyhvhkwitvn,hiyhvhkwitv'vka,uyhvhkwitvt
230,236,he/she is kicking him/her,FullEventful,ayhvhthe',tsiyayvhthe',ayhvhthehsk,uyhvhthehs,hiyayhthaki,uyhvhthehst
232,238,he/she is capturing him/her,FullEventful,ayhvkhiti',tsiyvkhiti',ayhvkhitihsk,uyhvkhit,hiyvkhita,uyhvkhitihst
233,239,he/she is hitting him/her on the nose,FullEventful,ayhvhsteluhvhsk,tsiyvhsteluhvhsk,ayhvhsteluhvhsk,uyhvhstelunh,hiyvhsteluhvka,uyhvhsteluht
234,240,he/she is choking him/her,FullEventful,ayhvhskiyih,tsiyvhskiyih,ayhvhskiyihsk,uyhvhskiyvh,hiyvhskiya,uyhvhskiyht
235,241,he/she is walking,FullEventful,a',ka',a'ihs,a'ihs,,
238,244,it’s hatching,FullEventful,atsa'i',katsa'i',atsa'ihsk,utsa'ihs,hatsa'i,utsa'ihst
239,245,he/she is dressing up,FullEventful,atsanvhsk,katsanvhsk,atsanvhsk,utsanvnh,hatsanvna,utsanvht
240,246,he/she is getting in (in a car‚ box‚ etc),FullEventful,atsa'vhsk,katsa'vhsk,atsa'vhsk,utsan,hatsa'vka,utsot
242,248,he/she is acting like him/her,FullEventful,atselvhsk,katselvhsk,atselvhsk,utselvnh,hatselvna,utselht
244,250,he/she is spilling it (refers to a liquid or non-liquid like salt‚ sugar),FullEventful,atsewi',katsewi',atsewihsk,utsew,hatsewa,utsewahst
250,256,it’s blooming,FullEventful,atsilvhsk,,atsilvhsk,utsilvnh,,utsilht
253,259,he/she is lighting a fire,FullEventful,atsihslhvhsk,tsitsihslhvhsk,atsihslhvhsk,utsihslhan,hitsihslhvka,utsihslhvhst
254,260,he/she is blowing,FullEventful,atsothahsk,katsothahsk,atsothahsk,utsothah,hatsotha,utsothahst
255,261,he/she is turning on a light,FullEventful,atsvhsthvhsk,tsitsvhsthvhsk,atsvhsthvhsk,utsvhsthan,hitsvhsthvka,utsvhsthvhst
259,266,he/she is chasing him/her,FullEventful,akhehek,tsikhehek,akhehek,ukhehvhs,hikhehuka,ukhehvhst
261,268,he/she is riding it (refers to anything that can be straddled),FullEventful,akhilvtih,tsiyakhilvtih,akhilvtihsk,ukhilvthan,hiyakhilvta,ukhilvtoht
263,270,he/she is swallowing it,FullEventful,akhihsk,tsi'kihsk,akhihsk,ukhihs,hikhihi,ukhihihst
266,273,he/she is shovelling it,FullEventful,akhote',tsikhote',akhotehsk,ukhotehs,hikhotaki,ukhotehst
270,277,he/she is going down-hill,FullEventful,akhsohsk,tsikahsohsk,akhsohsk,ukhsohs,hikhsohi,ukhsohihst
273,280,he/she knows how,FullEventful,akhthah,tsikathah,akhthah,,,
276,283,he/she is turning back,FullEventful,akhthahv',kakathahv',akhthahvhsk,ukhthahvhs,hakhthahvna,ukhthahvhst
277,284,he/she is winking,FullEventful,akhthahstih,kakathahstih,akhthahstihsk,ukhthahsthan,hakhthahsta,ukhthahstoht
278,285,he/she is hitting him/her on the eye,FullEventful,akhtheluhvhsk,tsikatheluhvhsk,akhtheluhvhsk,ukhthelunh,hikatheluhvka,ukhtheluht
280,287,he/she is looking around,FullEventful,akhthenoh,tsikathenoh,akhthenoh,ukhthenol,hikhthenaka,ukhthenahst
281,288,he/she is peeking through,FullEventful,akhthih,kakathih,akhthihsk,ukhthanh,hakhtha,ukhthoht
283,290,he/she is waiting for him/her,FullEventful,akhthiy,tsikathiy,akhthiy,ukhthit,hikathita,ukhthitihst
286,293,he/she is becoming wise,FullEventful,akhthohvhsk,tsikathohvhsk,akhthohvhsk,ukhthohvhs,hikhtho'vhi,ukhtho'vhihst
288,295,he/she is looking at him/her,FullEventful,akhthohst,tsiyakathohst,akhthohstihsk,ukhthohsthan,hiyakathohsta,ukhthohstoht
290,297,he/she is going through it,FullEventful,akhthvlehsk,tsikathvlehsk,akhthvlehsk,ukhthvlehs,hikhthvlehi,ukhthvlehihst
291,298,he/she is dipping liquid,FullEventful,akhuki',tsi'kuki',akhukihsk,ukhukihs,hikhuki,ukhukihst
293,300,he/she is paying it,FullEventful,akwhiyih,kakwiyih,akwhiyihsk,ukwhiyvh,hakwhiya,ukwhiyht
