corpus_id,entry_no,definition,prediction,class,post_root_morpheme,h_grade,g_grade,translocutive,translocutive_imp_only,partitive,distributive,set_a_b,stem_type,allow_h_metathesis,middle_voice,middle_voice_h_metathesis,plural,ka_variant,aki_1st,uwa_v,3rd_person_object,metathesis_involved
10,14,he/she is praying,FullEventful,ih-ohd[perf3],,atolihst,atolihst,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd[perf3],,olihst,olihst,False,False,False,False,a,vowel_a,False,atat,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd[perf3],,tolihst,tolihst,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd[pres2-perf3],,:tolihstih,:tolihstih,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd[pres2-perf3],,atatolihstih,atatolihstih,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd[pres2-perf3],,atolihstih,atolihstih,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd[pres2-perf3],,olihstih,olihstih,False,False,False,False,a,vowel_a,False,atat,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd[pres2-perf3],,tolihstih,tolihstih,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd[pres2],,:tolihstih,:tolihstih,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd[pres2],,atatolihstih,atatolihstih,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd[pres2],,atolihstih,atolihstih,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd[pres2],,olihstih,olihstih,False,False,False,False,a,vowel_a,False,atat,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd[pres2],,tolihstih,tolihstih,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
16,20,he/she is fanning himself/herself,FullEventful,eh-a,,:nhoy,:noy,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
16,20,he/she is fanning himself/herself,FullEventful,eh-a,,anhoy,anoy,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
16,20,he/she is fanning himself/herself,FullEventful,eh-a,,atanhoy,atanoy,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
16,20,he/she is fanning himself/herself,FullEventful,eh-a,,nhoy,noy,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
16,20,he/she is fanning himself/herself,FullEventful,eh-eh,,:nhoy,:noy,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
16,20,he/she is fanning himself/herself,FullEventful,eh-eh,,anhoy,anoy,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
16,20,he/she is fanning himself/herself,FullEventful,eh-eh,,atanhoy,atanoy,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
16,20,he/she is fanning himself/herself,FullEventful,eh-eh,,nhoy,noy,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
18,22,he/she is visiting,FullEventful,oh-ol-a,be-at,:whahthvh,:wahthvh,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
18,22,he/she is visiting,FullEventful,oh-ol-a,,:whahthvhit,:wahthvhit,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
18,22,he/she is visiting,FullEventful,oh-ol-a,be-at,atawhahthvh,atawahthvh,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
18,22,he/she is visiting,FullEventful,oh-ol-a,,atawhahthvhit,atawahthvhit,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
18,22,he/she is visiting,FullEventful,oh-ol-a,be-at,awhahthvh,awahthvh,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
18,22,he/she is visiting,FullEventful,oh-ol-a,,awhahthvhit,awahthvhit,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
18,22,he/she is visiting,FullEventful,oh-ol-a,be-at,whahthvh,wahthvh,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
18,22,he/she is visiting,FullEventful,oh-ol-a,,whahthvhit,wahthvhit,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
19,23,he/she is stretching,FullEventful,ih-ohd,,:yhahst,:yahst,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
19,23,he/she is stretching,FullEventful,ih-ohd,,atayhahst,atayahst,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
19,23,he/she is stretching,FullEventful,ih-ohd,,ayhahst,ayahst,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
19,23,he/she is stretching,FullEventful,ih-ohd,,yhahst,yahst,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
19,23,he/she is stretching,FullEventful,ih-ohd[perf3],,:yhahst,:yahst,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
19,23,he/she is stretching,FullEventful,ih-ohd[perf3],,atayhahst,atayahst,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
19,23,he/she is stretching,FullEventful,ih-ohd[perf3],,ayhahst,ayahst,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
19,23,he/she is stretching,FullEventful,ih-ohd[perf3],,yhahst,yahst,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
19,23,he/she is stretching,FullEventful,ih-ohd[pres2-perf3],,:yhahstih,:yahstih,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
19,23,he/she is stretching,FullEventful,ih-ohd[pres2-perf3],,atayhahstih,atayahstih,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
19,23,he/she is stretching,FullEventful,ih-ohd[pres2-perf3],,ayhahstih,ayahstih,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
19,23,he/she is stretching,FullEventful,ih-ohd[pres2-perf3],,yhahstih,yahstih,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
19,23,he/she is stretching,FullEventful,ih-ohd[pres2],,:yhahstih,:yahstih,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
19,23,he/she is stretching,FullEventful,ih-ohd[pres2],,atayhahstih,atayahstih,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
19,23,he/she is stretching,FullEventful,ih-ohd[pres2],,ayhahstih,ayahstih,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
19,23,he/she is stretching,FullEventful,ih-ohd[pres2],,yhahstih,yahstih,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
21,25,he/she is denying him/her,FullEventful,hih-hil[imp2],,:y,:y,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,True,False
21,25,he/she is denying him/her,FullEventful,hih-hil[imp2],,atay,atay,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,True,False
21,25,he/she is denying him/her,FullEventful,hih-hil[imp2],,ay,ay,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,True,False
21,25,he/she is denying him/her,FullEventful,hih-hil[imp2],,y,y,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,True,False
22,26,he/she is committing adultery,FullEventful,eh-el[imp4],,:yhon,:yon,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
22,26,he/she is committing adultery,FullEventful,eh-el[imp4],,atayhon,atayon,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
22,26,he/she is committing adultery,FullEventful,eh-el[imp4],,ayhon,ayon,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
22,26,he/she is committing adultery,FullEventful,eh-el[imp4],,yhon,yon,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
25,29,it’s ripping,FullEventful,ih-vh,,:tsakal,:tsakal,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
25,29,it’s ripping,FullEventful,ih-vh,,atatsakal,atatsakal,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
25,29,it’s ripping,FullEventful,ih-vh,,atsakal,atsakal,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
25,29,it’s ripping,FullEventful,ih-vh,,tsakal,tsakal,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
27,31,he/she is looking at himself/herself in a mirror,FullEventful,eh-a,,:kh,:kh,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
27,31,he/she is looking at himself/herself in a mirror,FullEventful,eh-a,,akh,akh,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
27,31,he/she is looking at himself/herself in a mirror,FullEventful,eh-a,,atakh,atakh,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
27,31,he/she is looking at himself/herself in a mirror,FullEventful,eh-a,,kh,kh,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
27,31,he/she is looking at himself/herself in a mirror,FullEventful,eh-eh,,:kh,:kh,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
27,31,he/she is looking at himself/herself in a mirror,FullEventful,eh-eh,,akh,akh,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
27,31,he/she is looking at himself/herself in a mirror,FullEventful,eh-eh,,atakh,atakh,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
27,31,he/she is looking at himself/herself in a mirror,FullEventful,eh-eh,,kh,kh,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,'talen,,False,False,False,False,a,glottal,False,none,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,'talen,,False,False,False,False,b,glottal,False,none,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,'talen,,False,True,False,False,a,glottal,False,none,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,'talen,,False,True,False,False,b,glottal,False,none,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,'talen,,False,False,True,False,a,glottal,False,none,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,'talen,,False,False,True,False,b,glottal,False,none,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,'talen,,False,True,True,False,a,glottal,False,none,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,'talen,,False,True,True,False,b,glottal,False,none,False,False,False,False,False,False,False
29,33,it’s beginning,InfEventful,eh-a,,'talen,,False,False,False,False,a,glottal,False,none,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,'talen,,False,False,False,False,b,glottal,False,none,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,'talen,,False,True,False,False,a,glottal,False,none,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,'talen,,False,True,False,False,b,glottal,False,none,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,'talen,,False,False,True,False,a,glottal,False,none,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,'talen,,False,False,True,False,b,glottal,False,none,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,'talen,,False,True,True,False,a,glottal,False,none,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,'talen,,False,True,True,False,b,glottal,False,none,False,False,False,False,False,True,False
29,33,it’s beginning,InfEventful,eh-a,,:len,,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
