corpus_id,entry_no,definition,singular,plural,animate
144,375,his/her husband,anineli,,
145,376,Mexico,Anihskwani'i,,
146,377,military service,aniyohski'i,,
147,378,May,Anhskvthi,,
148,379,March,Anvyhi,,
149,383,dress,ahsano,tihsano,
150,386,line,ahstanvnhv'i,tahstanvnhv'i,
151,392,something to eat (refers to something long),ahstikihsti,tihstikihsti,
152,394,crusher,ahstohski'i,tihstohski'i,
153,398,sandwich,ahstvhalhi,tihstvhalhi,
154,410,evil,ahskanhi,,
155,411,sinner,ahskana'i,anihskana'i,
156,413,man,ahskaya,anihskaya,
157,415,officer,ahskayekvhsta,anihskayekvhsta,
158,416,demon,ahskina,anihskina,
159,422,eraser,ahskolvtihsti,tihskolvtihsti,
160,425,his/her shin,ahskvtakeni,tihskvtakeni,
161,427,his/her side,ahskwakeni,tihskwakeni,
162,433,Mexican,Ahskwani,Anihskwani,
163,441,individual,ahsiyvwi,anihsiyvwiha,
164,442,his/her head,ahskholi,,
165,445,fence,ahsoyhv'i,tahsoyhv'i,
166,449,string,ahsthi,,
167,457,pants,ahsulo,tihsulo,
168,458,gravy,ahsuhsti,,
169,463,saw-mill,ahsvkwalohski'i,tihsvkwalohski'i,
170,464,bridge,ahsvhtlv'i,tahsvhtlv'i,
171,467,Nighthawk,Ahsvnoyi,Anihsvnoyi,
172,468,young woman,atha,anatha,
173,469,range,athalhawohihsti,,
174,473,hole,athalehsv'i,tathalehsv'i,
175,475,adolescent girl,athanutsa,anathanutsa,
176,478,explosive,athahskihski,tithahskihski,
177,483,dish,athelito,tithelito,
178,485,shirt,athilhti,tithilhti,
179,488,argument,athiyohsti,tithiyohsti,
180,491,candidate,athohkiyahski,tinathohkiyahski,
181,499,alcoholic beverage,athukihsti,,
182,506,young man,awina,aniwina,
183,507,adolescent boy,awinutsa,aniwinutsa,
184,508,eagle,awoha'li,,
185,512,one who distributes,ayathohihi,aniyathohihi,
186,513,chapter,ayatholhv'i,tayatholhv'i,
187,515,center,ayelhi,,
188,517,his/her body,ayelv'i,,
189,521,floor,ayotalhahv'i,tayotalhahv'i,
190,525,child,ayolhi,tiniyolhi,
191,525,child,ayolhi,tiyolhi,
192,527,death,ayohuhihsti,,
193,532,soldier,a'yohski,aniyohski,
194,539,entrance,ayvhstohti'i,tiyvhstohti'i,
195,540,person,ayvwi,yvwi,
196,540,person,ayvwi,aniyvwi,
197,541,Indian,ayvwiya'i,Aniyvwiya'i,
198,542,white person,ayvwuneka,aniyvwuneka,
199,542,white person,ayvwuneka,aniyoneka,
200,542,white person,ayoneka,aniyvwuneka,
201,542,white person,ayoneka,aniyoneka,
202,544,coal,tshinohska,,
203,545,flea,tshuhka,,
204,550,crossroads,tatanhawhstv'i nvnohi,,
205,559,oyster,takvna,,
206,561,car,takwalela,,
