corpus_id,entry_no,definition,singular,plural,animate
648,1556,hypocrite,utlonahsti,unatlonahsti,
649,1557,dewberries,utlohsinvta,,
650,1558,splinter,utlvtalvta,tsutlvtalvta,
651,1560,patient,utlvki,tsunitlvki,
652,1562,his/her sister,uto,tsuto,
653,1563,his/her father,utota,,
654,1565,Sunday,Unatotakwahskv'i,,
655,1566,Saturday,Unatotakwitena,,
656,1568,Monday,Unatotakwonhv'i,,
657,1570,his/her grandfather,ututu,,
658,1572,his/her uncle,ututsi,tsutuki,
659,1575,leaf,ukaloka,tsukaloka,
660,1576,soup,ukama,,
661,1579,Democrat,Ukanawa,Unikanawa,
662,1581,page,ukanhta'tv'i,,
663,1583,possessive,ukeyunha'i,unikeyunha'i,
664,1584,feather,ukitalhi,tsukitalhi,
665,1586,dawn,ukitsteyi,,
666,1592,hoot owl,ukukhu,unikukhu,
667,1595,king,ukvwiyuhi,unikvwiyuhi,
668,1598,bell,uhalvni,tsuhalvni,
669,1599,his/her lip,uhaneka'lv'i,tuhaneka'lv'i,
670,1606,his/her aunt,ulhoki,tsulhoki,
671,1609,island,unhalutv'i,tunhalutv'i,
672,1612,root,unhahstetla,tsunhahstetla,
673,1613,its root,unhahstetlv'i,tunhahstetlv'i,
674,1615,possum grape,unhahsuka,uninhahsuka,
675,1616,his/her toenail,unhahsuhkalhv'i,tunhahsuhkalhv'i,
676,1618,his/her shirt,unhawo,tsunhawo,
677,1619,his/her scar,unhelvhsv'i,tunhelvhsv'i,
678,1621,stump,unhilhkv'i,tunhilhkv'i,
679,1622,one dollar,unhohsta,,
680,1624,rainbow,unhvkwholathv'i,tunhvkwholathv'i,
681,1625,corner,unhvhsiyv'i,tunhvhsiyv'i,
682,1628,his/her husband,uyhehi,,
683,1631,horn,uyhona,tsuyhona,
684,1632,cold,uyhvtla,,
685,1634,Republican,uyhvtla,Uniyhvtla,
686,1640,drunkard,uyhvhstehski,tsuniyhvhstehski,
687,1643,wheat,utsalehsti,,
688,1647,possum,utsetsti,unatsetsti,
689,1648,his/her mother,utsi,,
690,1649,cotton,utsilv'i,,
691,1650,worm,utsiya,unitsiya,
692,1652,rattlesnake,utsonathi,unatsonathi,
693,1655,dry place,ukhayhotv'i,tsukhayhotv'i,
694,1656,his/her face,ukhathv'i,,
695,1657,valley,ukhetaliyv'i,tukhetaliyv'i,
696,1660,goat,ukhsotsaneta,unakhsotsaneta,
697,1661,diamondback rattler,ukhsuthi,unakhsuthi,
698,1662,grain,ukhtha,unikhtha,
699,1666,his/her foot,ulahsihteni,tsulahsihteni,
700,1667,his/her shoe,ulahsulo,tsulahsulo,
701,1671,fall,ulikohvhsti,,
702,1674,fat,ulitsohita,,
703,1675,intestine,ulikhsi,tsulikhsi,
704,1677,his/her grandmother (refers to maternal),ulihsi,,
705,1681,cloud,ulokili,,
706,1692,poison ivy,ulvta,,
707,1694,glass,ulvhsa'ti,tsulvhsa'ti,
708,1696,chain,unatatehsvta,tsunatatehsvta,
709,1697,ball field,unalahskalhti'i,tsunalahskalhti'i,
710,1699,his/her friend,unali'i,tsuli'i,
711,1700,his/her girl friend,unalikhti,,
712,1703,his/her skin,uneka'lv'i,,
713,1707,blanket,unekvha'i,tsunekvha'i,
714,1709,creator,Unelhanvhi,unelhanvhi,
715,1710,ice,unehstala,,
716,1711,snow,unhtsi,,
717,1713,his/her grandparent,unihsi,tsunihsi,
718,1714,sheep,unotena,uninotena,
719,1716,wind,unole,,
720,1717,January,Unolvthana,,
721,1718,milk,unvti,,
722,1719,brain,unvtsita,,
723,1722,her dress,uhsano,tsuhsano,
724,1723,cave,uhstakalv'i,tuhstakalv'i,
725,1725,his/her wife,uhstayvhvhski,,
726,1726,baby,uhsti,tsunhsti,
727,1728,trail,uhsti kanvnhv'i,tsuhsti tekanvnhv'i,
728,1729,his/her scalp,uhstineka'lv'i,,
729,1735,his/her abdomen,uhskwolhi',,
730,1738,head,uhskha,tsuhskha,
731,1739,peak (refers to object),uhskholi,tsuhskholi,
732,1741,his/her hair (refers to head of hair),uhsthihkv'i,,
733,1742,his/her claw,uhsuhkalhv'i,tuhsuhkalhv'i,
734,1744,his/her pants,uhsulo,tsuhsulo,
735,1745,shotgun,uhsvtena,tsuhsvtena,
736,1746,conduit,uhsvtoni,tsuhsvtoni,
737,1748,night,uhsv'i,,
738,1753,steam,uthanolvta,,
739,1754,leftovers,uthiyvnhv'i,,
740,1755,his/her ankle,utskwalvthv'i,,
741,1755,his/her ankle,tutskwalvthv'i,,
742,1758,hope,uthuki,,
743,1760,old chap,uthvhihsti,tsunathvhihsti,
744,1761,old man,uthvhsonhv'i,tsunathvhsonhv'i,
745,1762,bush,uwa'ilhv'i,tuwa'ilhv'i,
746,1763,scales,uwatsihskalhv'i,,
747,1768,wool,uwa'ni,,
748,1769,limb (refers to a tree),uwanikalhv'i,tuwanikalhv'i,
749,1779,egg,uwetsi,tsuwetsi,
750,1780,his/her offspring,uwetsi,tsuwetsi,
751,1781,his/her son (refers to a child),uwetsi atshutsa,tsuwetsi anitshutsa,
752,1782,his/her daughter (refers to an adult),uwetsi akeyha,tsuwetsi anikeyha,
753,1783,his/her daughter (refers to a child),uwetsi akeyhutsa,tsuwetsi anikeyhutsa,
754,1784,his/her son (refers to an adult),uwetsi ahskaya,tsuwetsi anihskaya,
755,1786,liver,uwela,tsuwela,
756,1790,creek,uweyv'i,tuweyv'i,
757,1794,foam,uwokilhi,,
758,1797,bluff,uwolha'v'i,tuwolha'v'i,
759,1800,his/her hand,uwoyeni,tsuwoyeni,
760,1802,reason,uyelhti,,
761,1812,pond,vtali,,
762,1813,disease,vyhuki,,
763,1816,locust,vle,,
764,1819,December,Vhskiyhi,,
765,1822,dragonfly,watatuka,,
766,1825,bee,watulihsi,,
767,1826,blood vessel,watuna,tsuwatuna,
768,1827,cow,wahka,,
769,1828,beef,wahka hawiya,,
770,1829,owl,wahuhi,,
771,1831,wolf,wayha,wahaya,
772,1832,clock,watsi,,
773,1833,saliva,watsila,,
774,1835,hummingbird,walela,,
775,1836,frog,walohsi,,
776,1837,hickory tree,wane'i,,
777,1839,moth,wahsolha,,
778,1840,Washington,Wahsvta'na,,
779,1841,Washington (refers to the place),Wahsvtano'i,,
780,1843,cat,wehsa,,
781,1848,pigeon,woyi,woya,
782,1850,west,wutelikv'i,,
783,1851,rest of,wuwakhtv'i,wunvkhtv'i,
784,1855,buffalo,yanhsa,,
785,1857,if,yiki,,
786,1860,bear,yona,,
787,1861,white person,yoneka,aniyoneka,
788,1861,white person,yoneka,aniyvwuneka,
789,1861,white person,yvwuneka,aniyoneka,
790,1861,white person,yvwuneka,aniyvwuneka,
791,1863,fork,yvki,,
792,1864,cannibal,yvwakihski,aniyvwakihski,
