corpus_id,definition,present,present_1sg,imperfective,perfective,imperative,infinitive
914,he/she is burying him/her,'n-i22hs-i3h,n-i22hs-i3h,'n-i22hs-i23hsk,n-i33hs-a2nh,n-i23hs-a2,n-i23hs-o3ht
918,he/she is hunting,no22ha2l-i23t-o32h,no2'a2l-i23t-o32h,no22ha2l-i23t-o32h,no22ha2l-i23t-o32l,no22ha2l-i23t-a2,no22ha2l-i23t-a32hst
921,it’s flooding,no22hu23k-i3',,no22hu23k-i32hsk,no22hu23k-a32n,,no22hu23k-o32t
924,it is blowing (refers to wind),no22l-v33'v2hsk,,no22l-v33'v2hsk,no22l-v33n,,no22l-v21t
925,he/she is stealing it,no22hs-ki33',no21hs-ki33',no22hs-ki33hsk,no22hs-ki33hs,no23hs-ki2,no22hs-ki21hst
928,he/she is sinking,no23yv32-k,no23yv32-k,no23yv32-k,no23yv32-ts,no22yv21-ki2,no23yv3-'i2hst
929,he/she is pulling him/her,nhsa2n-e33',na21hsa2n-e33',nhsa2n-e33hsk,nhsa2n-e33hs,na21hsa2n-a2ki2,nhsa2n-e21hst
931,he/she is dragging him/her,nhsi23n-e32k,na21hsi23n-e32k,nhsi23n-e32k,nhsi23n-v32hs,na21hsi22n-u21ka2,nhsi23n-v32hst
932,he/she is exiting,nu22-ko33k,nu22-ko33k,nu22-ko33k,nu22-ko33ts,nu22-ko2'i2,nu22-ko21hst
937,he/she is twisting him/her,nu33the22y-o3h,nu33the22y-o3h,nu33the22y-o3h,nu33the22y-o32l,nu21the22y-a2ka2,nu21the23y-a32hst
938,he/she is missing him/her (refers to as a target),nv23-t-i3',nv23-t-i3',nv23-t-i32hsk,nv33-t-,nv23-t-a2,nv23-t-i32hst
940,he/she is falling from an upright position,nv33-k,nv33-k,nv33-k,nv33-ts,nv21-ki2,nv2-'i3hst
941,he/she is cleaning him/her,nv22ka2l-i3h,nv22ka2l-i33',nv22ka2l-i23hsk,nv22ka2l-v22h,nv22ka2l-a2,nv22ka2l-ht
942,he/she is hammering it,nv22kwa2l-o33',nv22kwa2l-o33',nv22kwa2l-o33hsk,nv22kwa2l-o33',nv22kwa2l-o23tsa2,nv22kwa2l-o21hst
946,he/she is tying up a leg,nv33lho22-hi3h,nv33lho22-hi3h,nv33lho22-hi2h,nv33lho22-lh,nv21lho23-ka2,nv21lho23-hst
949,he/she is tossing about,nv33ts-i22t-o33h,nv33ts-i22t-o33h,nv33ts-i22t-o33h,nv33ts-i22t-o33l,nv21ts-i23t-a2,nv21ts-i23t-a32hst
950,he/she is giving him/her an object (refers to a flexible object),nv33n-e2h,nv33n-e2h,nv33n-e22h,nv33n-e22l,nv21-hsi2,nv21n-e3ht
955,he/she is pushing him/her,hsa2to32-hsk,hsa2to32-hsk,hsa2to32-hsk,hsa2to32-yh,hsa2to21-yha2,hsa2to21-hst
956,he/she is rolling him/her,hsa2kwa2le23-hi3h,hsa2kwa2le23-hi3h,hsa2kwa2le23-hi3h,hsa2kwa2le23-lh,hsa2kwa2le23-ka2,hsa2kwa2le23-hst
960,he/she is attaching the object behind it (refers to a flexible object),hsa2ne23na3t-v2hsk,hsa2ne23na3t-v2hsk,hsa2ne23na3t-v2hsk,hsa2ne23na3t-v21n,hsa2ne22na2t-v21ka2,hsa2ne23na3t-v21t
969,he/she is piling it up,hsv22t-hv3hsk,hsv22t-hv3hsk,hsv22t-hv3hsk,hsv22t-ha3n,hsv22t-hv21ka2,hsv23t-ht
973,he/she is stabbing him/her,t-hi3h,t-hi3h,t-hi3h,t-hi2lh,t-hi2ka2,t-hi2hst
981,he/she is lecturing him/her,wo3nht-i3h,wo3nht-i3h,wo3nht-i23hsk,wo3nht-ha2n,wo21nht-a2,wo21nht-o3ht
983,he/she is speaking,wo33n-i2h,wo33n-i2h,wo33n-i22hsk,wo33n-i22hs,wo21n-i23hi2,wo21n-i23hi3hst
986,he/she is sewing it,ye2w-hsk,ye22wi21-hsk,ye2w-hsk,ye2w-hs,ye23w-a2,ye2w-hst
993,he/she is howling,e22lhu2-hv3hsk,e21lu2-hv3hsk,e22lhu2-hv3hsk,e22lhu2-nh,e22lhu2-hv21ka2,e22lhu2-hv3hst
1014,he/she is leading him/her by the hand,o22hi23n-e32k,o2'i23n-e32k,o22hi23n-e32k,o22hi23n-v32hs,o2'i22n-u21ka2,o22hi23n-v32hst
1015,he/she is agreeing with him/her,o22hi2yhta32n-e2h,o2'i2yhta32n-e2h,o22hi2yhta32n-e22h,o22hi2yhta32n-e22l,o2'i2yhta21-hsi2,o22hi2yhta21n-e3ht
1017,he/she is recognizing him/her,o2lh-k,o22li21-k,o2lh-k,o2lh-ts,o22li21-ki2,o22lh-i3hst
1018,he/she understands it,o2lh-k,o22li21-k,o2lh-k,o2lh-ts,o2lh-ki2,o22lh-i3hst
1021,he/she is getting full,o22lhv3-hsk,o21lv3-hsk,o22lhv3-hsk,o22lhv3-hs,o22lhv2-hi2,o22lhv3-hi3hst
1022,he/she is making it,o22lh-v22hsk,o21lh-v22hsk,o22lh-v22hsk,o22lh-v22nh,o22lh-v23na2,o22lh-v2nht
1023,he/she is making it fall (refers to a round‚ long object),o22ho2nht-i3h,o2'o2nht-i3h,o22ho2nht-i23hsk,o22ho2nht-ha3n,o22ho2nht-a2,o22ho2nht-o3ht
1024,it’s falling (refers to a round‚ long object),o22ho2-hsk,o2'o2-hsk,o22ho2-hsk,o22ho2-hs,o22ho2-hi2,o22ho2-hi2hst
1027,he/she is writing it,o22whe23l-i3',o21we23l-i3',o22whe23l-i32hsk,o22whe23l-a32n,o22whe22l-v21ka2,o22whe23l-o32t
1030,he/she is pulling a trigger,o32tsa2n-e33',o32tsa2n-e33',o32tsa2n-e33hsk,o32tsa2n-e33hs,o21tsa2n-a2ki2,o21tsa2n-e21hst
1038,he/she is batting it,o22hst-v33n-i2h,o21hst-v33n-i2h,o22hst-v33n-i2h,o22hst-v23n-i32l,o22hst-v22n-i21ka2,o22hst-v23n-i32hst
1040,he/she is saying to him/her,o21hs-e3h,o21hs-e3h,o21hs-e3h,o21hs-e23l,o21-hsi2,o21hs-e3ht
1041,it’s swelling,o22thi2-hsk,o21thi2-hsk,o22thi2-hsk,o22thi2-hs,o22thi2-hi2,o22thi2-hi2hst
1043,he/she is building a fire,o23t-hv3hsk,o33t-v2hsk,o23t-hv3hsk,o23t-ha3n,o22t-hv21ka2,o23t-ht
1044,he/she is unhitching him/her,u22ta2l-e33',u22ta2l-e33',u22ta2l-e33hsk,u22ta2l-e33hs,u22ta2l-a2ki2,u22ta2l-e21hst
1045,he/she is hitching him/her up,u22ta2l-v32hsk,u22ta2l-v32hsk,u22ta2l-v32hsk,u22ta2l-v32n,u22ta2l-v2'v21ka2,u22ta2l-v21t
1050,he/she is putting a handle on a tool,u22ha2l-hv3hsk,u2'a2l-hv3hsk,u22ha2l-hv3hsk,u22ha2l-ha3n,u22ha2l-hv21ka2,u22ha2l-ht
1052,he/she is washing it,u22h-i22l-o33',u2'-i22l-o33',u22h-i22l-o33hsk,u22h-i22l-o33',u22h-i22l-o23tsa2,u22h-i22l-o21hst
1053,he/she is accusing him/her,u22hi23hst-i3h,u2'i23hst-i3h,u22hi23hst-i33hsk,u22hi23hst-ha3n,u2'i23hst-a2,u22hi23hst-o3ht
1055,he/she is covering it,u33lh-v2hsk,u33lh-v2hsk,u33lh-v2hsk,u33lh-v21n,u21lh-v2'v21ka2,u21lh-v21t
1056,he/she is putting it in water,u22-hv3hsk,u2-'v3hsk,u22-hv22hsk,u22-nh,u22-hv21ka2,u2-ht
1060,he/she is picking him/her up,u22th-e33',u21th-e33',u22th-e33hsk,u22th-e33hs,u21th-a2ki2,u22th-e21hst
1061,it’s snowing,u22th-i3h,,u22th-i23hsk,u22th-a2nh,,u22th-o2ht
1063,he/she is sifting it,v22ku23hst-i3h,v22ku21hst-i3h,v22ku23hst-i33hsk,ku23hst-ha3n,v22ku23hst-a2,ku23hst-o3ht
1064,it’s leaking,v22ku23-hsk,,v22ku23-hsk,ku23-hs,,ku23-hst
1067,he/she is alive,v22n-h,v21n-,v22n-h,,v22n-he33hsti2,
1070,he/she is hitting him/her,-v22n-hi3h,-v21n-i3h,-v22n-hi3h,u21wa22-v3n-hi33l,-v22n-i21ka2,u2wa2-v2n-hst
1071,he/she is cooking it (refers to a specific food),v22nhi2hst-i3h,v21ni2hst-i3h,v22nhi2hst-i23hsk,nhi2hst-ha3n,v22nhi2hst-a2,nhi2hst-o3ht
1076,he/she is frying it,v22tsa2l-hv3hsk,v21tsa2l-hv3hsk,v22tsa2l-hv3hsk,v22tsa2l-ha3n,v22tsa2l-hv21ka2,v22tsa2l-ht
1078,he/she is melting it,v22na2wht-i3h,v22na2wo21t-i3h,v22na2wht-i23hsk,na2wht-ha3n,v22na2wht-a2,na2wht-o3ht
1079,it’s melting,v22na2wo22-hsk,v22na2wo21-hsk,v22na2wo22-hsk,na2wo22-hs,v22na2wo23-hi2,na2wo22-hi2hst
1081,he/she is sweeping it,v22no22hsa3-hsk,v22no21hsa2-hsk,v22no22hsa2-hsk,no22hsa2-h,v22no23hsa2-,no22hsa2-hst
1082,it’s becoming done (refers to by cooking),v2n-hsk,,v2n-hsk,n-hs,v23n-hi2,n-hi3hst
1083,he/she is hiding it,v22hska2l-hv3hsk,v21hska2l-hv3hsk,v22hska2l-hv3hsk,hska2l-ha3n,v22hska2l-hv21ka2,hska2l-ht
1085,he/she is hiding him/her (refers to a flexible object),v22hska3l-v32hsk,v21hska2l-v32hsk,v22hska2l-v32hsk,hska2l-v32n,v21hska2l-v2'v21ka2,hska2l-v21t
1086,he/she is cracking it,v22hskwa2l-o33',v21hskwa2l-o33',v22hskwa2l-o33hsk,hskwa2l-o33',v22hskwa2l-o23tsa2,hskwa2l-o21hst
1087,he/she is putting it into a fire,v22t-hv3hsk,v21t-v3hsk,v22t-hv3hsk,v22t-ha3n,v22t-hv21ka2,v22t-ht
1088,he/she is soaking it (refers to a flexible object),v33wa2l-hv3hsk,v33wa2l-hv3hsk,v33wa2l-hv3hsk,v33wa2l-ha3n,v21wa2l-hv21ka2,v21wa3l-ht
1221,he/she is ascending an incline,na2lu22-hsk,na2lu22-hsk,na22lu22-hsk,nha2lu22-hs,nha2lu23-hi2,nha2lu22-hi2hst
1224,he/she is making him/her angry,na23lv33hst-i2h,na23lv33hst-i2h,na23lv33hst-i22hsk,nha23lv33hst-ha2n,na22lv22hst-a2,nha23lv33hst-o2ht
1229,he/she is cold,na2wo32-k,na2wo32-k,na2wo32-k,nha2wo32-ts,nha2wo21-ki2,nha2wo2-hst
1230,he/she is speaking,ne33-k,ne33-k,ne33-k,nhe33-ts,nhe21-ki2,nhe2-hst
1231,he/she is prying it,ne33kwa2t-i3h,ne33kwa2t-i3h,ne33kwa2t-i23hsk,nhe33kwa2t-v22h,nhe21kwa2t-a2,nhe21kwa3t-ht
1232,he/she is accumulating it,ne2hkw-o33',ne2hkw-o33',ne2hkw-o33hsk,nhe2hkw-o33',nhe2hkw-o23tsa2,nhe2hkw-o21hst
1233,it’s accumulating,ne2hkwo33-k,,ne2hkwo33-k,nhe2hkwo33-ts,nhe2hkwo21-ki2,nhe2hkwo2-'i3hst
1234,he/she is mentioning it,ne33'i2hst-i3h,ne33'i2hst-i3h,ne33'i2hst-i23hsk,nhe33'i2hst-ha3n,nhe2'i2hst-a2,nhe2'i2hst-o3ht
1235,it’s contaminated (refers to contaminated by visible foreign matter),ne33hsa2l-h,,ne33hsa2l-h,,,
1236,he/she is contaminating it (refers to contaminated by visible foreign matter),ne33hsa2l-hv3hsk,ne33hsa2l-hv3hsk,ne33hsa2l-hv3hsk,nhe33hsa2l-ha3n,nhe21hsa2l-hv21ka2,nhe21hsa3l-ht
1241,he/she is collecting from him/her,ni2l-hv3hsk,ni2l-hv3hsk,ni2l-hv3hsk,nhi2l-ha3n,ni2l-hv21ka2,nhi2l-ht
1246,he/she is telling it,no22-he3h,no22-he3h,no22-he23hsk,nho22-he23lh,nho22-hv23la2,nho22-he2ht
1247,he/she is omitting him/her,no23h-i33y-a2',no23h-i33y-a2',no23h-i33y-a21hsk,nho23h-i33y-,no22h-i23y-a2,nho23h-i33y-a21hst
1249,he/she is fanning him/her,no33y-e2h,no33y-e2h,no33y-e22hsk,nho33y-e22h,no22y-v23la2,nho22y-e3ht
1254,he/she is straining it,nv33hso22lv23hst-i3h,nv33hso22lv23hst-i3h,nv33hso22lv23hst-i33hsk,nhv33hso22lv23hst-ha3n,nhv21hso22lv23hst-a2,nhv21hso23lv33hst-o2ht
1256,he/she is curing him/her,nv23w-i3',nv23w-i3',nv23w-i32hsk,nhv23w-a32n,nv22w-v21ka2,nhv23w-o32t
1514,he/she is becoming warm,ka22na2wo22-hsk,ka22na2wo22-hsk,ka22na2wo22-hsk,ka22na2wo22-hs,ka22na2wo23-hi2,ka22na2wo22-hi2hst
1523,he/she is late,ko22nhi23yo32-k,ko22nhi23yo32-k,ko22nhi23yo32-k,ko22nhi23yo32-ts,ko22nhi22yo21-ki2,ko22nhi23yo3-hst
1524,it’s decaying,ko22-hsk,ko22-hsk,ko22-hsk,ko22-hs,ko23-hi2,ko22-hi2hst
1530,he/she has an object (refers to a solid object),-h,-h,-h,-h,-he33hsti2,
1531,he/she is yawning,ha2lho33k-e2h,ha2lho33k-e2h,ha2lho33k-e22hsk,ha2lho33k-e22h,ha2lho21k-v23la2,ha2lho21k-e3ht
1534,he/she is having trouble breathing,ha2wo33hst-i2h,ha2wo33hst-i2h,ha2wo33hst-i22hsk,ha2wo33hst-ha2n,ha2wo21hst-a2,ha2wo21hst-o3ht
1535,there is dew,hi33hsa2t-h,hi33hsa2t-h,hi33hsa2t-h,hi33hsa2t-h,hi33hsa2t-he33hsti2,
1536,he/she is lonesome,hi22hso2hta32n-e2h,hi22hso2hta32n-e2h,hi22hso2hta32n-e22h,hi22hso2hta32n-e22l,hi22hso2hta21-hsi2,hi22hso2hta21n-e3ht
1537,it’s lonesome,hi22hso3ht-,,hi22hso2ht-,hi22hso2ht-,,
1544,he/she is becoming angry,nha23lv32-k,na23lv32-k,nha23lv32-k,nha23lv32-ts,na22lv21-ki2,nha23lv3-'i2hst
1545,he/she is angry,nha23lv3-h,na23lv3-h,nha23lv32-hs,nha23lv32-hs,na23lv32-hse33hsti2,
1548,he/she is stubbing his/her toe,nha32hskwa2l-o33',na32hskwa2l-o33',nha32hskwa2l-o33hsk,nha32hskwa2l-o33',na21hskwa2l-o23tsa2,nha21hskwa2l-o21hst
1551,he/she has a chill,nha2wa32hst-i2h,na2wa32hst-i2h,nha2wa32hst-i22hsk,nha2wa32hst-ha2n,na2wa21hst-a2,nha2wa21hst-o3ht
1561,he/she is buying it,wha2-hsk,wa3-hsk,wha2-hsk,wha2-hs,wa2-hi2,wha3-hi3hst
1563,he/she is looking for it,y-ho2h,y-ho3h,y-ho2h,y-ha2l,y-hka2,y-hst
1569,it is cold (refers to weather),yhv22tl-,,yhv22tl-,yhv22tl-,,
1572,he/she is getting drunk,yhv2hst-e33',yv2hst-e33',yhv2hst-e33hsk,yhv2hst-a33',yv2hst-a2ka2,yhv2hst-e21hst
1597,it’s foggy,khv2ha3t-,khv2ha3t-,khv2ha2t-,khv2ha2t-,khv2ha2t-e33hsti2,
1599,he/she is not having luck at hunting,kwho23l-e32k,kwho23l-e32k,kwho23l-e32k,kwho23l-v32hs,kwho22l-u21ka2,kwho23l-v32hst
1604,he/she is making a mistake,li23ta32hst-i2h,li23ta32hst-i2h,li23ta32hst-i22hsk,li23ta32hst-ha2n,li22ta21hst-a2,li23ta32hst-o2ht
1612,he/she is whining,li23ye32t-i2h,li23ye32t-i2h,li23ye32t-i22hsk,li23ye32t-ha2n,li22ye21t-a2,li23ye32t-o2ht
1629,he/she has an object (refers to a flexible object),n-a3',n-a3',n-a3',n-a3',n-a3'e33hsti2,
1639,he/she is being mean,ne23ku32ts-,ne23ku32ts-,ne23ku32ts-,ne23ku32ts-,ne23ku32ts-e33hsti2,
1642,he/she has a liquid,ne3-h,ne3-h,ne22-h,ne22-h,ne22-he33hsti2,ne2-ht
1683,he/she is thirsty,tha2te22k-i33',tha2te22k-i33',tha2te22k-i33hsk,tha2te22k-a32n,tha2te22k-v21ka2,tha2te23k-o32t
1684,he/she is becoming enraged,tha2lha2wo22-hsk,tha2lha2wo22-hsk,tha2lha2wo22-hsk,tha2lha2wo22-hs,tha2lha2wo23-hi2,tha2lha2wo22-hi2hst
1699,he/she is belching,khu23le32-k,khu23le32-k,khu23le32-k,khu23le32-ts,khu22le21-ki2,khu23le3-'i2hst
1700,he/she is shivering,na22w-i3',na22w-i3',na22w-i32hsk,na22w-,na23w-a2,na23w-i32hst
1708,he/she smells it,whsv32-k,whsv32-k,whsv32-k,whsv32-ts,whsv21-ki2,whsv2-hst
1709,he/she has an object (refers to a long object),y-,v23y-,y-,y-,v23y-e32hsti2,
1710,he/she is aching,e22hi2hsta32n-e2h,e22hi2hsta32n-e2h,e22hi2hsta32n-e22h,e22hi2hsta32n-e22l,e22hi2hsta21-hsi2,e22hi21hsta3n-e2ht
1729,he/she is confident,o22hi2yu3-h,o22hi2yu3-h,o22hi2yu33-hs,o22hi2yu33-hs,o22hi2yu33-hse33hsti2,
1730,he/she is sitting,o23l-h,o23l-h,o23l-h,o23l-h,o23l-he32hsti2,
1741,he/she is losing it,yo22hu23hs-e3h,yo22hu23hs-e3h,yo22hu23hs-e33h,yo22hu23hs-e33l,yo22hu23-hsi2,yo22hu23hs-e3ht
