corpus_id,entry_no,definition,prediction,class,post_root_morpheme,present,present_1sg,imperfective,perfective,imperative,infinitive
42,46,he/she is making noise,FullEventful,cause[pres2-perf3],,atanoyhvlhihstih,katanoyvlihstih,atanoyhvlhihst,utanoyhvlhihsth,hatanoyhvlhihst,utanoyhvlhihst
43,47,he/she is crawling,FullEventful,go[pres2],,atanhsin,katanahsin,atanhsin,utanhsin,hatanhsin,utanhsin
44,48,it’s twisting,FullEventful,oh-ol,,atanuthey,katanuthey,atanuthey,utanuthey,hatanuthey,utanuthey
45,49,he/she is moving from one place to another,FullEventful,v-vhs,,atan,kata'n,ata'n,uta'n,hata'n,uta'n
46,50,he/she is ordering it,FullEventful,sg-s-la,,atanv,katanv,atanv,utanv,hatanv,utanv
46,50,he/she is ordering it,FullEventful,sg-s-hst,,atanv,katanv,atanv,utanv,hatanvla,utanv
48,52,he/she is cooking a meal,FullEventful,hvsk-nh[inf2],,atahstayv,katahstayv,atahstayv,utahstayv,hatahstayv,utahstay
48,52,he/she is cooking a meal,FullEventful,episodic,,atahstay,katahstay,atahstay,utahstay,hatahstay,utahstay
51,55,it’s burning (refers to flames),FullEventful,i-a-i,,atawelak,katawelak,atawelak,utawelak,hatawelak,utawelak
54,58,he/she is resting,FullEventful,cause,,atawehsolvhst,katawehsolvhst,atawehsolvhst,utawehsolvhst,hatawehsolvhst,utawehsolvhst
54,58,he/she is resting,FullEventful,cause[perf3],,atawehsolvhst,katawehsolvhst,atawehsolvhst,utawehsolvhsth,hatawehsolvhst,utawehsolvhst
54,58,he/she is resting,FullEventful,cause[pres2],,atawehsolvhstih,katawehsolvhstih,atawehsolvhst,utawehsolvhst,hatawehsolvhst,utawehsolvhst
54,58,he/she is resting,FullEventful,cause[pres2-perf3],,atawehsolvhstih,katawehsolvhstih,atawehsolvhst,utawehsolvhsth,hatawehsolvhst,utawehsolvhst
56,60,he/she is bathing,FullEventful,o,,ataw,kataw,ataw,utaw,hataw,utaw
59,63,he/she is giving him/her it (refers to a long object),FullEventful,apl,,at,tsit,at,ut,hiti,ut
59,63,he/she is giving him/her it (refers to a long object),FullEventful,apl[imp2],,at,tsit,at,ut,hiti,ut
59,63,he/she is giving him/her it (refers to a long object),FullEventful,apl[imp3],,at,tsit,at,ut,hit,ut
60,64,he/she is learning,FullEventful,a,,atelhohkw,katelohkw,atelhohkw,utelhohkwa',hatelhohkw,utelhohkw
61,65,he/she is embarrassing him/her,FullEventful,cause,,atehohihst,tsiyate'ohihst,atehohihst,utehohihst,hiyate'ohihst,utehohihst
61,65,he/she is embarrassing him/her,FullEventful,cause[perf3],,atehohihst,tsiyate'ohihst,atehohihst,utehohihsth,hiyate'ohihst,utehohihst
61,65,he/she is embarrassing him/her,FullEventful,cause[pres2],,atehohihstih,tsiyate'ohihstih,atehohihst,utehohihst,hiyate'ohihst,utehohihst
61,65,he/she is embarrassing him/her,FullEventful,cause[pres2-perf3],,atehohihstih,tsiyate'ohihstih,atehohihst,utehohihsth,hiyate'ohihst,utehohihst
62,66,he/she is embarrassed,FullEventful,sg-s-hi-hihst,,ateho,kate'o,ateho,uteho,hateho,uteho
62,66,he/she is embarrassed,FullEventful,sg-s-hst[imp2],,ateho,kate'o,ateho,uteho,hateho,utehohi
62,66,he/she is embarrassed,FullEventful,sg-s-hst,,ateho,kate'o,ateho,uteho,hatehohi,utehohi
63,67,he/she is being born,FullEventful,hvsk-nh,,ate,kate,ate,ute,hate,ute
63,67,he/she is being born,FullEventful,hvsk-nh[inf2],,ate,kate,ate,ute,hate,ute
67,71,he/she is finding it out,FullEventful,sg-s-hi-hihst,,ateloho,katelo'o,ateloho,uteloho,hateloho,uteloho
67,71,he/she is finding it out,FullEventful,sg-s-hst[imp2],,ateloho,katelo'o,ateloho,uteloho,hateloho,utelohohi
67,71,he/she is finding it out,FullEventful,sg-s-hst,,ateloho,katelo'o,ateloho,uteloho,hatelohohi,utelohohi
70,74,he/she is going around a curve,FullEventful,oh-ol[inf2],,atey,katey,atey,utey,hatey,utey
72,76,he/she is laying it down (refers to a long object),FullEventful,i-a-i,,at,tsit,at,ut,hit,ut
73,77,he/she is rising (from a prone position),FullEventful,ih-vh,,atit,katit,atit,utit,hatit,utit
74,78,he/she is scattering it,FullEventful,a,,atikaley,katikaley,atikaley,utikaley,hatikaley,utikaley
75,79,it’s scattering,FullEventful,g-ts[inf3],,atikaleyo,,atikaleyo,utikaleyo,,utikaleyo
