corpus_id,entry_no,definition,prediction,class,post_root_morpheme,present,present_1sg,imperfective,perfective,imperative,infinitive
172,178,it’s taking time,InfEventful,oh-ol[inf3],,,,,,,ulhi'ilit
173,179,he/she is measuring it,FullEventful,o,,alhil,katlil,alhil,ulhil,halhil,ulhil
175,181,it’s bending,FullEventful,vsk,,alhiyvhkwit,,alhiyvhkwit,ulhiyvhkwit,,ulhiyvhkwit
175,181,it’s bending,FullStative,stative,,alhiyvhkwitvhsk,,alhiyvhkwitvhsk,ulhiyvhkwitvn,,
175,181,it’s bending,InfEventful,vsk,,,,,,,ulhiyvhkwit
175,181,it’s bending,InfEventful,vsk-post-v,,,,,,,ulhiyvhkwitv
176,182,he/she is snorting,FullEventful,cause,,alhiyvhsanawhst,kaliyvhsanawhst,alhiyvhsanawhst,ulhiyvhsanawhst,halhiyvhsanawhst,ulhiyvhsanawhst
176,182,he/she is snorting,FullEventful,cause[perf3],,alhiyvhsanawhst,kaliyvhsanawhst,alhiyvhsanawhst,ulhiyvhsanawhsth,halhiyvhsanawhst,ulhiyvhsanawhst
176,182,he/she is snorting,FullEventful,cause[pres2],,alhiyvhsanawhstih,kaliyvhsanawhstih,alhiyvhsanawhst,ulhiyvhsanawhst,halhiyvhsanawhst,ulhiyvhsanawhst
176,182,he/she is snorting,FullEventful,cause[pres2-perf3],,alhiyvhsanawhstih,kaliyvhsanawhstih,alhiyvhsanawhst,ulhiyvhsanawhsth,halhiyvhsanawhst,ulhiyvhsanawhst
177,183,he/she is preaching,FullEventful,hvsk-nh[inf2],,alhtsato,kalitsato,alhtsato,ulhtsato,halhtsato,ulhtsat
179,185,it’s shattering,FullEventful,sk-h[imp2],,alhkhotv,,alhkhotv,ulhkhotvn,,
179,185,it’s shattering,FullEventful,vnh-vsk,,alhkhot,,alhkhot,ulhkhot,,
179,185,it’s shattering,FullStative,stative,,alhkhotvhsk,,alhkhotvhsk,ulhkhotvnh,,
180,186,he/she is shattering it,FullEventful,cause,,alhkhotht,kalikhotht,alhkhotht,ulhkhotht,halhkhotht,ulhkhotht
180,186,he/she is shattering it,FullEventful,cause[perf3],,alhkhotht,kalikhotht,alhkhotht,ulhkhothth,halhkhotht,ulhkhotht
180,186,he/she is shattering it,FullEventful,cause[pres2],,alhkhothtih,kalikhothtih,alhkhotht,ulhkhotht,halhkhotht,ulhkhotht
180,186,he/she is shattering it,FullEventful,cause[pres2-perf3],,alhkhothtih,kalikhothtih,alhkhotht,ulhkhothth,halhkhotht,ulhkhotht
182,188,he/she is beating him/her at a game,FullEventful,sg-s-hi-hihst,,alho,tsilho,alho,ulho,hilho,ulho
182,188,he/she is beating him/her at a game,FullEventful,sg-s-hst[imp2],,alho,tsilho,alho,ulho,hilho,ulhohi
182,188,he/she is beating him/her at a game,FullEventful,sg-s-hst,,alho,tsilho,alho,ulho,hilhohi,ulhohi
183,189,he/she is combing his/her hair,FullEventful,o,,alhthaw,kalithaw,alhthaw,ulhthaw,halhthaw,ulhthaw
185,191,he/she is moving (without changing location),FullEventful,hvsk-nh[inf2],,alhthelv,kalithelv,alhthelv,ulhthelv,halhthelv,ulhthel
185,191,he/she is moving (without changing location),FullEventful,episodic,,alhthel,kalithel,alhthel,ulhthel,halhthel,ulhthel
186,192,he/she is changing his/her shirt,FullEventful,v-vhs,,anhawa'iy,kaniwa'iy,anhawa'iy,unhawa'iy,hanhawa'iy,unhawa'iy
187,193,he/she is taking his/her shirt off,FullEventful,rev-e,,anhaw,kaniw,anhaw,unhaw,hanhaw,unhaw
189,195,he/she is putting on a shirt,FullEventful,o,,anhaw,kaniw,anhaw,unhaw,hanhaw,unhaw
190,196,he/she is giving it to him/her,FullEventful,apl,,anh,tsin,anh,unh,hi'v,unh
190,196,he/she is giving it to him/her,FullEventful,apl[imp2],,anh,tsin,anh,unh,hi'v,unh
191,197,he/she is wrestling,FullEventful,hih-lh,,anhe,kanhe,anhe,unhe,hanhe,unhe
192,198,he/she is interpreting it,FullEventful,cause,,anhelht,kanelht,anhelht,unhelht,hanhelht,unhelht
192,198,he/she is interpreting it,FullEventful,cause[perf3],,anhelht,kanelht,anhelht,unhelhth,hanhelht,unhelht
192,198,he/she is interpreting it,FullEventful,cause[pres2],,anhelhtih,kanelhtih,anhelht,unhelht,hanhelht,unhelht
192,198,he/she is interpreting it,FullEventful,cause[pres2-perf3],,anhelhtih,kanelhtih,anhelht,unhelhth,hanhelht,unhelht
195,201,he/she is building a house,FullEventful,apl-active,,anhehsk,kanehsk,anhehsk,unhehsk,hanhehsk,unhehsk
195,201,he/she is building a house,FullEventful,apl-active-a,,anhehsk,kanehsk,anhehsk,unhehsk,hanhehskvl,unhehske
196,202,he/she is leaving,FullEventful,rev-gi,,anhi,kani,anhi,unhi,hanhi,unhi
196,202,he/she is leaving,FullEventful,rev-i,,anhik,kanik,anhik,unhik,hanhik,unhik
197,203,he/she is starting it,FullEventful,cause,,anhikihst,kanikihst,anhikihst,unhikihst,hanhikihst,unhikihst
197,203,he/she is starting it,FullEventful,cause[perf3],,anhikihst,kanikihst,anhikihst,unhikihsth,hanhikihst,unhikihst
197,203,he/she is starting it,FullEventful,cause[pres2],,anhikihstih,kanikihstih,anhikihst,unhikihst,hanhikihst,unhikihst
197,203,he/she is starting it,FullEventful,cause[pres2-perf3],,anhikihstih,kanikihstih,anhikihst,unhikihsth,hanhikihst,unhikihst
198,204,he/she is carrying it on his/her shoulder (refers to a long object),FullEventful,go,,anholhin,kanolhin,anholhin,unholhin,hanholhin,unholhin
198,204,he/she is carrying it on his/her shoulder (refers to a long object),FullEventful,go[pres2],,anholhinek,kanolhinek,anholhin,unholhin,hanholhin,unholhin
200,206,he/she is putting it in liquid (refers to a long object),FullEventful,i-a-i,,ahut,tsi'ut,ahut,uhut,hihut,uhut
204,210,he/she is hitting him/her on the mouth,FullEventful,ih-il,,ahulvn,tsi'ulvn,ahulvn,uhulvn,hi'ulvn,uhulvn
205,211,he/she is moving it from one place to another,FullEventful,v-vhs,,ah,tsi',ah,uh,hih,uh
206,212,he/she is setting it down,FullEventful,hvsk-nh,,a,tsi,a,u,hi,u
206,212,he/she is setting it down,FullEventful,hvsk-nh[inf2],,a,tsi,a,u,hi,u
207,213,he/she is finding him/her,FullEventful,ih-vh,,awhahth,tsiwahth,awhahth,uwhahth,hiwahth,uwhahthv
207,213,he/she is finding him/her,FullEventful,ih-vh[inf2],,awhahth,tsiwahth,awhahth,uwhahth,hiwahth,uwhahth
208,214,he/she is visiting him/her,FullEventful,be-at,,awhahthvhit,tsiwahthvhit,awhahthvhit,uwhahthvhit,hiwahthvhit,uwhahthvhit
209,215,he/she is taking it somewhere,FullEventful,ih-vh,,awhit,tsiwit,awhit,uwhit,hiwhit,uwit
210,216,he/she is planting it,FullEventful,sg-s-hi-hihst,,awhi,tsiwi,awhi,uwhi,hiw,uw
210,216,he/she is planting it,FullEventful,sg-s-hst,,awhi,tsiwi,awhi,uwhi,hiwhi,uwhi
214,220,it’s becoming frosty (refers to the ground),FullEventful,hvsk-nh[inf2],,ayhahthv,,ayhahthv,uyhahthv,,uyhahthvt
214,220,it’s becoming frosty (refers to the ground),FullEventful,episodic,,ayhahth,,ayhahth,uyhahth,,uyhahthvt
214,220,it’s becoming frosty (refers to the ground),FullEventful,vnh-vsk,,ayhahthvh,,ayhahthvh,uyhahth,,uyhahthvt
214,220,it’s becoming frosty (refers to the ground),FullStative,stative,,ayhahthvhvhsk,,ayhahthvhvhsk,uyhahthvnh,,
214,220,it’s becoming frosty (refers to the ground),InfEventful,hvsk-han,,,,,,,uyhahthvt
214,220,it’s becoming frosty (refers to the ground),InfEventful,hvsk-nh[inf2],,,,,,,uyhahthvt
214,220,it’s becoming frosty (refers to the ground),InfEventful,episodic,,,,,,,uyhahthvt
214,220,it’s becoming frosty (refers to the ground),InfEventful,apl-active-a,,,,,,,uyhahthvt
214,220,it’s becoming frosty (refers to the ground),InfEventful,ih-vh,,,,,,,uyhahthvt
214,220,it’s becoming frosty (refers to the ground),InfEventful,vnh-ih-a,,,,,,,uyhahthvt
215,221,he/she is calling him/her,FullEventful,ih-vh,,ayhan,tsiyan,ayhan,uyhan,hiyan,uyhan
216,222,he/she is taking it somewhere by hand,FullEventful,go,,ayh,tsiy,ayh,uyh,hiyh,uyh
216,222,he/she is taking it somewhere by hand,FullEventful,go[pres2],,ayhek,tsiyek,ayh,uyh,hiyh,uyh
217,223,he/she is holding it in his/her hand,FullStative,stative-h,,ayhe,tsiye,ayhe,ayhe,,
217,223,he/she is holding it in his/her hand,FullStative,stative-eh,,ayh,tsiy,ayh,ayh,,
217,223,he/she is holding it in his/her hand,FullStative,stative,,ayheh,tsiyeh,ayheh,ayheh,,
218,224,he/she is quilting it,FullEventful,hvsk-han,,ayhehkal,tsiyehkal,ayhehkal,uyhehkal,hiyhehkal,uyhehkal
219,225,he/she is making an incision,FullEventful,oh-al,,ayhel,tsiyel,ayhel,uyhel,hiyela,uyhel
219,225,he/she is making an incision,FullEventful,oh-al[imp2],,ayhel,tsiyel,ayhel,uyhel,hiyel,uyhel
220,226,he/she is imitating him/her,FullEventful,i-a-i[perf2],,ayhel,tsiyel,ayhel,uyhel,hiyel,uyhel
220,226,he/she is imitating him/her,FullEventful,i-a-i,,ayhel,tsiyel,ayhel,uyhelihs,hiyel,uyhel
222,228,he/she is looking for him/her,FullEventful,oh-al,,ay,tsiy,ay,uy,hiy,uy
223,229,he/she is swimming (refers to propelling oneself through the water),FullEventful,go,,ayhu'in,kayu'in,ayhu'in,uyhu'in,hayhu'in,uyhu'in
223,229,he/she is swimming (refers to propelling oneself through the water),FullEventful,go[pres2],,ayhu'inek,kayu'inek,ayhu'in,uyhu'in,hayhu'in,uyhu'in
224,230,it’s thundering,FullEventful,o,,ayhvtakwal,,ayhvtakwal,uyhvtakwal,,uyhvtakwal
224,230,it’s thundering,FullStative,stative,,ayhvtakwalo',,ayhvtakwalohsk,uyhvtakwalo',,
224,230,it’s thundering,InfEventful,g-ts,,,,,,,uyhvtakwalo
224,230,it’s thundering,InfEventful,sg-s-hst,,,,,,,uyhvtakwalo
224,230,it’s thundering,InfEventful,sk-h,,,,,,,uyhvtakwalo
224,230,it’s thundering,InfEventful,hih-lh,,,,,,,uyhvtakwalo
224,230,it’s thundering,InfEventful,o,,,,,,,uyhvtakwal
224,230,it’s thundering,InfEventful,oh-al,,,,,,,uyhvtakwalo
228,234,he/she is bending it,FullEventful,vsk,,ayhvhkwit,tsiyvhkwit,ayhvhkwit,uyhvhkwit,hiyhvhkwitv',uyhvhkwit
228,234,he/she is bending it,FullEventful,vsk[imp2],,ayhvhkwit,tsiyvhkwit,ayhvhkwit,uyhvhkwit,hiyhvhkwit,uyhvhkwit
230,236,he/she is kicking him/her,FullEventful,rev-e,,ayhvhth,tsiyayvhth,ayhvhth,uyhvhth,hiyayhth,uyhvhth
232,238,he/she is capturing him/her,FullEventful,i-a-i,,ayhvkhit,tsiyvkhit,ayhvkhit,uyhvkhit,hiyvkhit,uyhvkhit
233,239,he/she is hitting him/her on the nose,FullEventful,hvsk-nh,,ayhvhstelu,tsiyvhstelu,ayhvhstelu,uyhvhstelu,hiyvhstelu,uyhvhstelu
233,239,he/she is hitting him/her on the nose,FullEventful,hvsk-nh[inf2],,ayhvhstelu,tsiyvhstelu,ayhvhstelu,uyhvhstelu,hiyvhstelu,uyhvhstelu
234,240,he/she is choking him/her,FullEventful,ih-vh,,ayhvhskiy,tsiyvhskiy,ayhvhskiy,uyhvhskiy,hiyvhskiy,uyhvhskiy
235,241,he/she is walking,FullStative,stative,,a',ka',a'ihs,a'ihs,,
238,244,it’s hatching,FullEventful,rev-i,,atsa',katsa',atsa',utsa',hatsa',utsa'
238,244,it’s hatching,FullEventful,rev-'i,,atsa,katsa,atsa,utsa,hatsa,utsa
239,245,he/she is dressing up,FullEventful,vnh-vsk,,atsan,katsan,atsan,utsan,hatsan,utsanv
239,245,he/she is dressing up,FullEventful,vnh-vsk[inf2],,atsan,katsan,atsan,utsan,hatsan,utsan
240,246,he/she is getting in (in a car‚ box‚ etc),FullEventful,vsk-post-v,,atsa,katsa,atsa,utsa,hatsa,utso
242,248,he/she is acting like him/her,FullEventful,vnh-vsk,,atsel,katsel,atsel,utsel,hatsel,utsel
250,256,it’s blooming,FullEventful,vnh-vsk,,atsil,,atsil,utsil,,utsil
250,256,it’s blooming,FullStative,stative,,atsilvhsk,,atsilvhsk,utsilvnh,,
250,256,it’s blooming,InfEventful,hvsk-han,,,,,,,utsil
250,256,it’s blooming,InfEventful,hvsk-nh[inf2],,,,,,,utsil
250,256,it’s blooming,InfEventful,episodic,,,,,,,utsil
250,256,it’s blooming,InfEventful,apl-active-a,,,,,,,utsil
250,256,it’s blooming,InfEventful,ih-vh,,,,,,,utsil
250,256,it’s blooming,InfEventful,vnh-ih-a,,,,,,,utsil
253,259,he/she is lighting a fire,FullEventful,hvsk-han[inf2],,atsihsl,tsitsihsl,atsihsl,utsihsl,hitsihsl,utsihsl
254,260,he/she is blowing,FullEventful,sk-h,,atsotha,katsotha,atsotha,utsotha,hatsot,utsotha
254,260,he/she is blowing,FullEventful,sk-h[imp2],,atsotha,katsotha,atsotha,utsotha,hatsotha,utsotha
255,261,he/she is turning on a light,FullEventful,hvsk-han[inf2],,atsvhst,tsitsvhst,atsvhst,utsvhst,hitsvhst,utsvhst
259,266,he/she is chasing him/her,FullEventful,go,,akheh,tsikheh,akheh,ukheh,hikheh,ukheh
259,266,he/she is chasing him/her,FullEventful,go[pres2],,akhehek,tsikhehek,akheh,ukheh,hikheh,ukheh
261,268,he/she is riding it (refers to anything that can be straddled),FullEventful,cause,,akhilvt,tsiyakhilvt,akhilvt,ukhilvt,hiyakhilvt,ukhilvt
261,268,he/she is riding it (refers to anything that can be straddled),FullEventful,cause[perf3],,akhilvt,tsiyakhilvt,akhilvt,ukhilvth,hiyakhilvt,ukhilvt
261,268,he/she is riding it (refers to anything that can be straddled),FullEventful,cause[pres2],,akhilvtih,tsiyakhilvtih,akhilvt,ukhilvt,hiyakhilvt,ukhilvt
261,268,he/she is riding it (refers to anything that can be straddled),FullEventful,cause[pres2-perf3],,akhilvtih,tsiyakhilvtih,akhilvt,ukhilvth,hiyakhilvt,ukhilvt
263,270,he/she is swallowing it,FullEventful,sg-s-hi-hihst,,akhi,tsi'ki,akhi,ukhi,hikhi,ukhi
263,270,he/she is swallowing it,FullEventful,sg-s-hst[imp2],,akhi,tsi'ki,akhi,ukhi,hikhi,ukhihi
263,270,he/she is swallowing it,FullEventful,sg-s-hst,,akhi,tsi'ki,akhi,ukhi,hikhihi,ukhihi
266,273,he/she is shovelling it,FullEventful,rev-e,,akhot,tsikhot,akhot,ukhot,hikhot,ukhot
270,277,he/she is going down-hill,FullEventful,sg-s-hi-hihst,,akhso,tsikahso,akhso,ukhso,hikhso,ukhso
270,277,he/she is going down-hill,FullEventful,sg-s-hst[imp2],,akhso,tsikahso,akhso,ukhso,hikhso,ukhsohi
270,277,he/she is going down-hill,FullEventful,sg-s-hst,,akhso,tsikahso,akhso,ukhso,hikhsohi,ukhsohi
273,280,he/she knows how,FullStative,stative-h,,akhtha,tsikatha,akhtha,,,
273,280,he/she knows how,FullStative,stative,,akhthah,tsikathah,akhthah,,,
276,283,he/she is turning back,FullEventful,v-vhs,,akhthah,kakathah,akhthah,ukhthah,hakhthah,ukhthah
277,284,he/she is winking,FullEventful,cause,,akhthahst,kakathahst,akhthahst,ukhthahst,hakhthahst,ukhthahst
277,284,he/she is winking,FullEventful,cause[perf3],,akhthahst,kakathahst,akhthahst,ukhthahsth,hakhthahst,ukhthahst
277,284,he/she is winking,FullEventful,cause[pres2],,akhthahstih,kakathahstih,akhthahst,ukhthahst,hakhthahst,ukhthahst
277,284,he/she is winking,FullEventful,cause[pres2-perf3],,akhthahstih,kakathahstih,akhthahst,ukhthahsth,hakhthahst,ukhthahst
278,285,he/she is hitting him/her on the eye,FullEventful,hvsk-nh,,akhthelu,tsikathelu,akhthelu,ukhthelu,hikathelu,ukhthelu
278,285,he/she is hitting him/her on the eye,FullEventful,hvsk-nh[inf2],,akhthelu,tsikathelu,akhthelu,ukhthelu,hikathelu,ukhthelu
280,287,he/she is looking around,FullEventful,be-at,,akhthen,tsikathen,akhthen,ukhthen,hikhthenak,ukhthen
280,287,he/she is looking around,FullEventful,oh-ol[inf2],,akhthen,tsikathen,akhthen,ukhthen,hikhthen,ukhthena
280,287,he/she is looking around,FullEventful,oh-ol[inf3],,akhthen,tsikathen,akhthen,ukhthen,hikhthen,ukhthen
281,288,he/she is peeking through,FullEventful,cause[perf2],,akhth,kakath,akhth,ukhth,hakhth,ukhth
281,288,he/she is peeking through,FullEventful,cause[pres2-perf2],,akhthih,kakathih,akhth,ukhth,hakhth,ukhth
286,293,he/she is becoming wise,FullEventful,sg-s-hi-hihst,,akhthohv,tsikathohv,akhthohv,ukhthohv,hikhtho'v,ukhtho'v
286,293,he/she is becoming wise,FullEventful,sg-s-hst[imp2],,akhthohv,tsikathohv,akhthohv,ukhthohv,hikhtho'v,ukhtho'vhi
286,293,he/she is becoming wise,FullEventful,sg-s-hst,,akhthohv,tsikathohv,akhthohv,ukhthohv,hikhtho'vhi,ukhtho'vhi
288,295,he/she is looking at him/her,FullEventful,cause[pres2],,akhthohst,tsiyakathohst,akhthohst,ukhthohst,hiyakathohst,ukhthohst
288,295,he/she is looking at him/her,FullEventful,cause[pres2-perf3],,akhthohst,tsiyakathohst,akhthohst,ukhthohsth,hiyakathohst,ukhthohst
290,297,he/she is going through it,FullEventful,sg-s-hi-hihst,,akhthvle,tsikathvle,akhthvle,ukhthvle,hikhthvle,ukhthvle
290,297,he/she is going through it,FullEventful,sg-s-hst[imp2],,akhthvle,tsikathvle,akhthvle,ukhthvle,hikhthvle,ukhthvlehi
290,297,he/she is going through it,FullEventful,sg-s-hst,,akhthvle,tsikathvle,akhthvle,ukhthvle,hikhthvlehi,ukhthvlehi
291,298,he/she is dipping liquid,FullEventful,rev-gi,,akhu,tsi'ku,akhu,ukhu,hikhu,ukhu
291,298,he/she is dipping liquid,FullEventful,rev-i,,akhuk,tsi'kuk,akhuk,ukhuk,hikhuk,ukhuk
293,300,he/she is paying it,FullEventful,ih-vh,,akwhiy,kakwiy,akwhiy,ukwhiy,hakwhiy,ukwhiy
294,301,he/she is paying him/her,FullEventful,apl,,akwhiyv',tsiyakwiyv',akwhiyv',ukwhiyv',hiyakwiyv,ukwhiyv'
294,301,he/she is paying him/her,FullEventful,apl[imp2],,akwhiyv',tsiyakwiyv',akwhiyv',ukwhiyv',hiyakwiyv,ukwhiyv'
296,303,he/she is tromping on him/her,FullEventful,apl-active-',,alahsta',tsiyalahsta',alahsta',ulahsta',hiyalahsta',ulahsta'
297,304,he/she is stepping on him/her,FullEventful,vsk,,alahst,tsiyalahst,alahst,ulahst,hiyalahstv',ulahst
297,304,he/she is stepping on him/her,FullEventful,vsk[imp2],,alahst,tsiyalahst,alahst,ulahst,hiyalahst,ulahst
298,305,he/she is playing ball,FullEventful,ih-vh,,alahskal,kalahskal,alahskal,ulahskal,halahskal,ulahskal
300,307,he/she is taking a step,FullEventful,v-vhs,,alahsk,kalahsk,alahsk,ulahsk,halahsk,ulahsk
305,312,he/she is placing it in an upright position (refers to a long object),FullEventful,cause,,aleht,kalet,aleht,uleht,haleht,uleht
305,312,he/she is placing it in an upright position (refers to a long object),FullEventful,cause[perf3],,aleht,kalet,aleht,ulehth,haleht,uleht
305,312,he/she is placing it in an upright position (refers to a long object),FullEventful,cause[pres2],,alehtih,kaletih,aleht,uleht,haleht,uleht
305,312,he/she is placing it in an upright position (refers to a long object),FullEventful,cause[pres2-perf3],,alehtih,kaletih,aleht,ulehth,haleht,uleht
306,313,he/she is standing in a certain spot,FullEventful,hvsk-nh,,ale,kale,ale,ule,hale,ule
306,313,he/she is standing in a certain spot,FullEventful,hvsk-nh[inf2],,ale,kale,ale,ule,hale,ule
307,314,he/she is stopping,FullEventful,cause,,alewhihst,kalewihst,alewhihst,ulewhihst,halewhihst,ulewhihst
307,314,he/she is stopping,FullEventful,cause[perf3],,alewhihst,kalewihst,alewhihst,ulewhihsth,halewhihst,ulewhihst
307,314,he/she is stopping,FullEventful,cause[pres2],,alewhihstih,kalewihstih,alewhihst,ulewhihst,halewhihst,ulewhihst
307,314,he/she is stopping,FullEventful,cause[pres2-perf3],,alewhihstih,kalewihstih,alewhihst,ulewhihsth,halewhihst,ulewhihst
308,315,he/she is stopping him/her,FullEventful,cause,,alewhihstoht,tsiyalewihstoht,alewhihstoht,ulewhihstoht,hiyalewihstoht,ulewhihstoht
308,315,he/she is stopping him/her,FullEventful,cause[perf3],,alewhihstoht,tsiyalewihstoht,alewhihstoht,ulewhihstohth,hiyalewihstoht,ulewhihstoht
308,315,he/she is stopping him/her,FullEventful,cause[pres2],,alewhihstohtih,tsiyalewihstohtih,alewhihstoht,ulewhihstoht,hiyalewihstoht,ulewhihstoht
308,315,he/she is stopping him/her,FullEventful,cause[pres2-perf3],,alewhihstohtih,tsiyalewihstohtih,alewhihstoht,ulewhihstohth,hiyalewihstoht,ulewhihstoht
309,316,he/she is starting,FullEventful,ih-vh,,alen,kalen,alen,ulen,halen,ulen
311,318,it’s boiling,FullEventful,ih-vh,,alitl,,alitl,ulitl,,ulil
311,318,it’s boiling,FullStative,stative,,alitlih,,alitlihsk,ulitlvh,,
311,318,it’s boiling,InfEventful,hvsk-han,,,,,,,ulil
311,318,it’s boiling,InfEventful,hvsk-nh[inf2],,,,,,,ulil
311,318,it’s boiling,InfEventful,episodic,,,,,,,ulil
311,318,it’s boiling,InfEventful,apl-active-a,,,,,,,ulil
311,318,it’s boiling,InfEventful,ih-vh,,,,,,,ulil
311,318,it’s boiling,InfEventful,vnh-ih-a,,,,,,,ulil
314,321,he/she is thanking him/her,FullEventful,apl,,alihelitsh,tsiyali'elitsh,alihelitsh,ulihelitsh,hiyali'elitshi,ulihelitsh
314,321,he/she is thanking him/her,FullEventful,apl[imp2],,alihelitsh,tsiyali'elitsh,alihelitsh,ulihelitsh,hiyali'elitshi,ulihelitsh
314,321,he/she is thanking him/her,FullEventful,apl[imp3],,alihelitsh,tsiyali'elitsh,alihelitsh,ulihelitsh,hiyali'elitsh,ulihelitsh
315,322,he/she is happy,FullEventful,g-ts,,aliheli,kali'eli,aliheli,uliheli,haliheli,uliheli
317,324,he/she is exchanging it,FullEventful,i-a-i,,ali'it,kali'it,ali'it,uli'it,hali'it,uli'it
318,325,he/she is running away,FullEventful,rev-i,,alith,kalith,alith,ulith,halith,ulith
320,327,he/she is taking his/her ring off,FullEventful,rev-gi,,aliyehsuhsth,kaliyehsuhsth,aliyehsuhsth,uliyehsuhsth,haliyehsuhsth,uliyehsuhsth
320,327,he/she is taking his/her ring off,FullEventful,rev-i,,aliyehsuhsthk,kaliyehsuhsthk,aliyehsuhsthk,uliyehsuhsthk,haliyehsuhsthk,uliyehsuhsthk
322,329,he/she is putting a ring on his/her finger,FullEventful,hvsk-han[inf2],,aliyehsuhst,kaliyehsuhst,aliyehsuhst,uliyehsuhst,haliyehsuhst,uliyehsuhst
324,331,he/she is spitting,FullEventful,sk-h,,altsikw,kaltsikw,altsikw,ultsikw,haltsikw,ultsikw
324,331,he/she is spitting,FullEventful,sk-h[imp2],,altsikw,kaltsikw,altsikw,ultsikw,haltsikwha,ultsikw
325,332,he/she is ascending,FullEventful,i-vka,,alhsalat,kalihsalat,alhsalat,ulhsalat,halhsalat,ulhsalat
327,334,he/she is eating a meal,FullEventful,hvsk-nh[inf2],,alhstayv,kalihstayv,alhstayv,ulhstayv,halhstayv,ulhstay
327,334,he/she is eating a meal,FullEventful,episodic,,alhstay,kalihstay,alhstay,ulhstay,halhstay,ulhstay
329,336,he/she is helping,FullEventful,ih-vh,,alhstel,kalihstel,alhstel,ulhstel,halhstel,ulhstel
330,337,he/she is taking off his/her cap,FullEventful,rev-e,,alhstul,kalihstul,alhstul,ulhstul,halhstul,ulhstul
331,338,he/she is washing his/her hair,FullEventful,apl-active-a,,alhstul,kalihstul,alhstul,ulhstul,halhstul,ulhstul
332,339,he/she is putting on a cap,FullEventful,i-vka,,alhstul,kalihstul,alhstul,ulhstul,halhstul,ulhstul
334,341,he/she is taking a seat,FullEventful,husk,,alhstvl,kalihstvl,alhstvl,ulhstvl,halhstvl,ulhstvl
336,343,he/she is dancing,FullEventful,rev-gi,,alhs,kalihs,alhs,ulhs,halhs,ulhs
336,343,he/she is dancing,FullEventful,rev-i,,alhsk,kalihsk,alhsk,ulhsk,halhsk,ulhsk
337,344,he/she is permitting him/her,FullEventful,apl,,alhskolhtan,tsiyalihskolhtan,alhskolhtan,ulhskolhtan,hiyalihskolhta,ulhskolhtan
337,344,he/she is permitting him/her,FullEventful,apl[imp2],,alhskolhtan,tsiyalihskolhtan,alhskolhtan,ulhskolhtan,hiyalihskolhta,ulhskolhtan
338,345,he/she is nodding his/her head,FullEventful,sk-h,,alhsku,kalihsku,alhsku,ulhskuy,halhskuy,ulhsku
338,345,he/she is nodding his/her head,FullEventful,sk-h-yh,,alhsku,kalihsku,alhsku,ulhsku,halhsku,ulhsku
338,345,he/she is nodding his/her head,FullEventful,sk-h[imp2],,alhsku,kalihsku,alhsku,ulhskuy,halhskuyha,ulhsku
339,346,it’s ending,FullEventful,i-a-i,,alhskwat,,alhskwat,ulhskwat,,ulhskwat
339,346,it’s ending,FullStative,stative,,alhskwati',,alhskwatihsk,ulhskwat,,
339,346,it’s ending,InfEventful,g-ts,,,,,,,ulhskwati
339,346,it’s ending,InfEventful,sg-s-hst,,,,,,,ulhskwati
339,346,it’s ending,InfEventful,sk-h,,,,,,,ulhskwati
339,346,it’s ending,InfEventful,ih-il,,,,,,,ulhskwat
339,346,it’s ending,InfEventful,hih-lh,,,,,,,ulhskwati
339,346,it’s ending,InfEventful,i-a-i,,,,,,,ulhskwat
339,346,it’s ending,InfEventful,oh-al,,,,,,,ulhskwati
339,346,it’s ending,InfEventful,rev-i,,,,,,,ulhskwat
340,347,he/she is sticking his/her head out,FullEventful,i-vka,,alhskwalut,kalihskwalut,alhskwalut,ulhskwalut,halhskwalut,ulhskwalut
341,348,he/she is taking his/her hat off,FullEventful,rev-gi,,alhskwethuh,kalihskwethuh,alhskwethuh,ulhskwethuh,halhskwethuh,ulhskwethuh
341,348,he/she is taking his/her hat off,FullEventful,rev-i,,alhskwethuhk,kalihskwethuhk,alhskwethuhk,ulhskwethuhk,halhskwethuhk,ulhskwethuhk
342,349,he/she is putting his/her hat on,FullEventful,sk-h,,alhskwethuhv,kalihskwethuhv,alhskwethuhv,ulhskwethun,halhskwethuhvk,ulhskwethu
342,349,he/she is putting his/her hat on,FullEventful,sk-h[imp2],,alhskwethuhv,kalihskwethuhv,alhskwethuhv,ulhskwethun,halhskwethuhvka,ulhskwethu
344,351,he/she is setting a goal,FullEventful,cause,,alhsohst,kalihsohst,alhsohst,ulhsohst,halhsohst,ulhsohst
344,351,he/she is setting a goal,FullEventful,cause[perf3],,alhsohst,kalihsohst,alhsohst,ulhsohsth,halhsohst,ulhsohst
344,351,he/she is setting a goal,FullEventful,cause[pres2],,alhsohstih,kalihsohstih,alhsohst,ulhsohst,halhsohst,ulhsohst
344,351,he/she is setting a goal,FullEventful,cause[pres2-perf3],,alhsohstih,kalihsohstih,alhsohst,ulhsohsth,halhsohst,ulhsohst
345,352,he/she is smelling it (refers to sniffing),FullEventful,cause,,alhsvhst,kalihsvhst,alhsvhst,ulhsvhst,halhsvhst,ulhsvhst
345,352,he/she is smelling it (refers to sniffing),FullEventful,cause[perf3],,alhsvhst,kalihsvhst,alhsvhst,ulhsvhsth,halhsvhst,ulhsvhst
