definition,3rd present,1st present,3rd completive past,3rd incompletive habitual,2nd imperative,3rd infinitive,
he's carrying a long object on his shoulder,a1hno.2hli23ne32ga,ga1no.2hli23ne32ga,u2hno.2hli23nv32svi,a1hno.2hli23ne32go3?i,ha2hno.2hli2nu1ga,u2hno.2hli23nv32sdi,
"1. he's dragging him, it 2. he's towing it",gan2si23ne32ga,ji2na1si23ne32ga,un1si23nv32sv23?i,gan2si23ne32go3?i,hi2na1si2nu1ga,un2si23nv32sdi,
he's happy/thankful,a1li2he23li32ga,ga.2li.2?e23li32ga,u1li2he23li32jv23?i,a1li2he23li32go3?i,ha.2li2he2li1gi,u2li2he2li.3sdi,
he's pitying him,ga2do23li32ga,ji2ya2do23li32ga,u1wa2do23li32jv23?i,ga2do23li32go3?i,hi2ya2do2li1gi,u.2wa2do2li.3sdi,
"1. it's pouring into a container (liquid), 2. it's filling",a1dli32ga,-----,u1dli32jv23?i,a1dli32go3?i,-----,u2dliy1sdi,
1. it's getting shorter 2. he's getting short on,a1sgwa.2lo32ga,ji1sgwa.2lo32ga,u1sgwa.2lo32jv23?i,a1sgwa.2lo32go3?i,hi.2sgwa.2lo1gi,u2sgwa.2loy1sdi,
1. it's lacking 2. it's missing,ga.2lu23lo32ga,ji.2lu23lo32ga,u1lu23lo32jv23?i,ga.2lu23lo32go3?i,hi.2lu2lo1gi,u2lu23lo32sdi,
he's cold,ka.2na.2wo32ga,ji1na.2wo32ga,u1hna.2wo32jv23?i,ka.2na.2wo32go3?i,hi.2hna.2wo1gi,u2hna.2wo.2sdi,
it's scattering,a1di2ga.2le23yo32ga,-----,u1di2ga.2le23yo32jv23?i,a1di2ga.2le23yo32go3?i,-----,u2di2ga.2le23yoy32sdi,
"he's in agony, pain",a1gi2hli23yo32ga,ji.2gi1li23yo32ga,u1gi2hli23yo32jv23?i,a1gi2hli23yo32go3?i,hi.2gi2hli2yo1gi,u2gi2hli23yo3sdi,
he's late,u1go2hni23yo32ga,a1gi.2go2hni23yo32ga,u1go2hni23yo32jv23?i,u1go2hni23yo32go3?i,ja.2go2hni2yo1gi,u2go2hni23yo.3sdi,
he's becoming angry,u1hna23lv32ga,a1ki.2na23lv32ga,u1hna23lv32jv23?i,u1hna23lv32go3?i,cha.2na2lv1gi,u2hna23lv.3?i.2sdi,
it's fading,a1sgo23lv32ga,-----,u1sgo23lv32jv23?i,a1sgo23lv32go3?i,-----,u2sgo23lvy32sdi,
"he's committing a crime, sin",a1sga.2nv32ga,ji1sga.2nv32ga,u1sga.2nv32jv23?i,a1sga.2nv32go3?i,hi.2sga.2nv1gi,u2sga.2nvy1sdi,
he smells it,u1waw2sv32ga,a1giw2sv32ga,u1waw2sv32jv23?i,u1waw2sv32go3?i,jaw2sv1gi,u.2waw2sv.2sdi,
"1. he, it's sinking  2. he, it is being buried",ga.2no23yv32ga,ji.2no23yv32ga,u1no23yv32jv23?i,ga.2no23yv32go3?i,hi.2no2yv1gi,u2no23yv.3?i.2sdi,
he's whistling,ga2svnh2ga,ji1svnh2ga,u1wa2svnh2jv23?i,ga2svnh2go3?i,hi2svnh2gi,u.2wa2svn2sdi,
he's arriving,ga.?3luh2ga,ji.?3luh2ga,u1luh3jv23?i,ga.?3luh2go3?i,hi.?2luh2gi,u2lu.3hi.3sdi,
he's returning,i23ga.?3luh2ga,i23ji.?3lu2ga,v.3?u2luh3jv23?i,i23ga.?3luh2go.3?i,ji23hi.?3luh2gi,v.3?u2lu.3hi.3sdi,
"he's biting him, it",a1sgahl2ga,ji1sgahl2ga,u1sgahl2jv23?i,a1sgahl2go3?i,hi1sga.2la,u2sgal2sdi,
he's recognizing him,gohl2ga,ji2yo2li1ga,u1wohl2jv23?i,goh2lgo3?i,hi2yo2li1gi,u.2wo2hli.3sdi,
he understands it,gohl2ga,go2li1ga,u1wohl2jv23?i,gohl2go3?i,hohl2gi,u.2wo2hli.3sdi,
he's putting his hat on,al1sgwe3tu.2hv.3ga,ga.2li1sgwe3tu.3hv.3sga,ul1sgwe3tu.2hnv23?i,al1sgwe3tu.2hv.3sgo.3?i,hal2sgwe1tu.2hv1ga,ul2sgwe1tu.3sdi,
he's going,e3ga,ge3ga,u1we2nv3sv23?i,e3go3?i,he1na,u.2we2nv1sdi,
1. he's throwing it 2. he's pitching (ball),u1de3ga,a1gwa.2de3ga,u1di23nv32sv23?i,u1de3go3?i,ja.2du1ga,u2di23nv32di,
it's bouncing,a1da.2de3ga,ga.2da.2de3ga,u1da.2di23nv32sv23?i,a1da.2de3go3?i,ha.2da.2du1ga,u2da.2di23nv32di,
he's limping,a1da.2de3ga,ga.2da.2de3ga,u1da.2de3sv23?i,a1da2de3go3?i,ha.2da.2du1ga,u2da.2di23nv32di,
he's selling it,ga.2na.2de3ga,ji.2na.2de3ga,u1na.2di23nv32sv23?i,ga.2na.2de3go3?i,hi2na2du1ga,u2na2di23nv32di,
he's jumping,dahl1ta.2de3ga,de2ga.3li1ta.2de3ga,duhl1ta.2di23nv32sv23?i,dahl1ta.2de3go3?i,tahl3ta.2du1ga,juhl2ta.2di23nv32di,
"he's following him, it",a1sda32wa.2de3ga,ji1sda32wa.2de3ga,u1sda32wa.2dv3sv23?i,a1sda32wa.2de3go3?i,hi1sda1wa.2du1ga,u2sda1wa.2dv1sdi,
"he's turning, it over",de2ka.3lih2gwa.2de3ga,de2ji32lih2gwa.2de3ga,du1hlih2gwa.2di23nv32sv23?i,de2ka.3lih2gwa.2de3go3?i,ti32lih2gwa.2du32ga,ju2hlih2gwa.2di23nv32di,
he's parting with him (in death),kde3ga,ji2yv1de3ga,uwh1de3jv23i,kde3go3?i,hi2yv1de1gi,uwh2de2?i.3sdi,
he's taking a liquid somewhere by hand,ganh2je3ga,ji.2nv1je3ga,unh1jv3sv23?i,ganh2je3go3?i,hinh2ju1ga,unh2jv1sdi,
he's taking revenge,u1dle3ga,a1gwa.2dle3ga,u1dle3jv23?i,u1dle3go3?i,ja.2dle1gi,u2dle.2?i.3sdi,
1. he's speaking  2. he's answering,ka.2ne3ga,ji1ne3ga,u1hne3jv23?i,ka.2ne3go3?i,hi.2hne1gi,u2hne.2sdi,
he's taking a long object somewhere by hand,ga2ne3ga,ji2ne3ga,u1wa2nv3sv23?i,ga2ne3go3?i,hi2nu1ga,u.2wa2nv1sdi,
he's swimming (propelling himself through water),a1hyu.3?i2ne3ga,ga1yu.3?i2ne3ga,u1hyu.3?i2nv3sv23?i,a1hyu.3?i2ne3go3?i,ha2hyu.2?i2nu1ga,u2hyu.2?i23nv32sdi,
he's backing up,a3si2ne3ga,ga3si2ne3ga,u3si2nv3sv23?i,a3si2ne3go3?i,ha1si2nu1ga,u1si23nv32sdi,
he's taking a flexible object somewhere by hand,ga.2hne3ga,ji.?2ne3ga,u1hnv3sv23?i,ga.2hne3go3?i,hi.2hnu1ga,u2hnv1sdi,
he's tired,du1ya.2we3ga,da1gi2ya.2we3ga,du1ya.2we3jv23?i,du1ya.2we3go3?i,di.2ja.3ya.3we1gi,ju2ya.2we1sdi,
he's waking up,a1ye3ga,ji.2ye3ga,u1ye3jv23?i,a1ye3go3?i,hi.2ye1gi,u2ye.2?i.2sdi,
he's taking it somewhere by hand,a1hye3ga,ji1ye3ga,u1hyv3sv23?i,a1hye3go3?i,hi.2hyu1ga,u2hyv1sdi,
he's crossing it (a body of water),de2ga3soh3ga,de2ji32soh3ga,du1wa2soh3jv3?i,de2ga3soh3go.3?i,ti2soh3gi,ju.2wa2so.3hi.3sdi,
"he's yelling, howling, meowing, etc",u1we2hluh3ga,a1gwe2hluh3ga,u1we2hlu.2hnv23?i,u1we2hluh2go3?i,he2hlu.3hv1ga,u2we2hlu.2hv.3sdi,
it is sounding,u1no2hyvh3ga,a1gi.2no2hyvh3ga,u1no2hyvl2sv23?i,u1no2hyvh2go3?i,ja.2no2hyv23la,u2no2hyv2hli.2sdi,
"it's crowing, (rooster)",ayh3ga,gayh3ga,u3yvl2sv23?i,ayh3go3?i,ha1yv23la,u1yv23hli.3sdi,
it (forest or grass) is burning,ga.2li3ga,,u1li3jv23?i,ga.2li3go3?i,,,
he's quitting,a1su2li.2go3ga,ji1su2li.2go3ga,u1su2li.2go3jv23?i,a1su2li.2go3go3?i,hi.2su2li.2go.2?i,u2su2li.2go.2sdi,
he's exiting,ga.2nu2go3ga,ji.2nu2go3ga,u1nu2go3jv23?i,ga.2nu2go3go3?i,hi.2nu2go2?i,u2nu2go1sdi,
"it's accumulating, it's increasing",ka.2neh2gwo3ga,,u1hneh2gwo3jv23?i,ka.2neh2gwo3go3?i,hi.2hneh2gwo1gi,u2hneh2gwo.2?i.3sdi,
"it (animal, plant) is dying",ga.2li2hwo3ga,ji.2li1wo3ga,u1li2hwo3jv23?i,ga.2li2hwo3go3?i,hi.2li2hwo1gi,u2li2hwo1sdi,
1. it's breaking  2. he's becoming spoiled,a1yo3ga,ji.2yo3ga,u1yo3jv23?i,a1yo3go3?i,hi.2yo1gi,u2yo1sdi,
"he's accepting him, it",da1da.2ni2lv3ga,de2ji3ya.2da.2ni2lv3ga,du1da.2ni2lv3jv23?i,da1da.2ni2lv3go3?i,ti2ya.3da.2ni2lv1gi,ju2da.2ni2lvs1di,
he's falling from an upright  position,ga.2nv3ga,ji.2nv3ga,u1nv3jv23?i,ga.2nv3go23?i,hi.2nv1gi,u2nv.2?i.3sdi,
"he's blowing, he's blowing on it",a1jo3ta.2sga,ga.2jo3ta.2sga,u1jo3ta.2hv23?i,a1jo3ta.2sgo3?i,ha.2jo1ta,u2jo1ta.3sdi,
he's buying it,u1hwa.2sga,a1ki.2wa.3sga,u1hwa.2sv3?i,u1hwa.2sgo.3?i,cha.2wa.2hi,u2hwa.3hi.3sdi,
he's swallowing it,a1ki.2sga,ji.?2gi.2sga,u1ki.2sv23?i,a1ki.2sgo3?i,hi.2ki.2hi,u2ki.2hi.2sdi,
it's swelling,go2ti.2sga,go1ti.2sga,u1wo2ti.2sv23?i,go2ti.2sgo3?i,ho2ti.2hi,u.2wo2ti.2hi.2sdi,
he's getting a rash,du1gwe2no3ti.2sga,da1gi.2gwe2no3ti.2sga,du1gwe2no3ti.2sv23?i,du1gwe2no3ti.2sgo3?i,di.2ja.3gwe3no1ti.2hi,ju2gwe2no1ti.3sdi,
he's planting it,a1hwi.2sga,ji1wi.2sga,u1hwi.2sv23?i,a1hwi.2sgo3?i,hi.2hwi,u2hwi.2sdi,
"it's (round, long) falling",go2ho.2sga,go.2?o.2sga,u1wo2ho.2sv23?i,go2ho.2sgo3?i,ho2ho.2hi,u.2wo2ho.2hi.2sdi,
he's piling it up,ga3hlu.2sga,ji3hlu.2sga,u1wa3hlu.2nv23?i,ga3hlu.2sgo3?i,hi1hlu1ga,u.2wa1hlu.3sdi,
"He is getting in a car, box, etc",a1ja.3?v.2sga,ga.2ja.3v.2sga,u1ja32nv23?i,a1ja.3?v.2sgo3?i,ha.2ja.2?v1ga,,
he's kissing her,a1ta.2we23do.3?v.2sga,ji1da.2we23do.3?v.2sga,u1ta.2we23do32nv23?i,a1ta.2we23do.3?v.2sgo3?i,hi2da.2we2do.2?v1ga,u2ta.2we23do32di,
he's shaking a flexible object,kja.2gv.3?v.2sga,ji2yv1ja.2gv.3?v.2sga,uwh1ja.2gv32nv23?i,kja.2gv.3?v.2sgo3?i,hi2yv1ja.2gv1hya,uwh2ja.2gv1di,
he's sending; taking it (flexible),wi.2ga.3nv.3?v.2sga,wi.2ji.3nv.3?v.2sga,wu1nv3nv23?i,wi.2ga.3nv.3?v.2sgo3?i,hwi.2nv.3?v1ga,wu1nv1di,
he's lying,a.2tsgo3?v.2sga,ga.2ji1sgo3?v.2sga,u1tsgo3nv23?i,a1tsgo3?v.2sgo3?i,ha.2tsgo.3?v1ga,u2tsgo1di,
"he's sprinkling it (with a liquid, powder, salt, etc.)",da1kwa.2yo3?v.2sga,de2ji32kwa.2yo3?v.2sga,du1kwa.2yo3nv23?i,da1kwa.2yo3v.2sgo3?i,ti.2kwa.3yo.2?v1ga,ju2kwa.2yo1di,
he's hanging up a flexible object,ga.2dv3?v.2sga,ji2ya.2dv3?v.2sga,u1dv3nv23?i,ga.2dv3?v.2sgo3?i,ha.2dv.2?v1ga,u2dv1di,
He's putting it (flexible object) into a fire,kdv3?v.2sga,gv1dv3?v.2sga,uwh1dv3nv23?i,kdv3?v.2sgo3?i,hvh2dv.2?v1ga,uwh2dv1di,
it (wind) is blowing,ga.2no2lv3?v.2sga,-----,u1no2lv3nv23?i,ga.2no2lv3?v.2sgo3?i,-----,u2no2lv1di,
"he's attaching it (flexible), behind it",ga3sa.2ne23na.3dv.2sga,ji3sa.2ne23na.3dv.2sga,u1wa3sa.2ne23na3dv1nv23?i,ga3sa.2ne23na.3dv2sgo3?i,hi1sa.2ne2na.2dv1ga,u.2wa1sa.2ne23na.3dv1di,
he's stepping on him/it,a1la32sdv.2sga,ji2ya.2la32sdv.2sga,u1la32sdv1nv23?i,a1la32sdv.2sgo3?i,hi2ya.2la1sdv.2?v1ga,u2la1sdv1di,
he's becoming wise,a1kto32hv.2sga,ji.2ga1to32hv.2sga,u1kto32hv.2sv23?i,a1kto32hv.2sgo3?i,hi.2kto.2?v.2hi,u2kto.2?v.3hi.3sdi,
1. he's closing it  2. he's jailing him,a1sdu32hv.2sga,ji1sdu32hv.2sga,u1sdu32hnv23?i,a1sdu32hv.2sgo3?i,hi1sdu1hv1ga,u2sdu1di,
he's hitting him on the nose,a1hyv23sde3lu2hv.2sga,ji1yv23sde3lu2hv.2sga,u1hyv23sde3lu2hnv23?i,a1hyv23sde3lu2hv.2sgo3?i,hi1yv2sde2lu2hv1ga,u2hyv23sde3luh2di,
"he's sending, taking it (animate)",wi2ga23ka.3hv.2sga,wi.2ji23ya32ka.2hv.2sga,wu1wa2ka.2nv23i,wi.2ga23ka.3hv.2sgo3?i,hwi23ya32ka.2hv32ga,wu1wa2koh2di,
"he, it's burning",a1go.3hv.2sga,ga.3go.2hv.3sga,u1go.2hnv23?i,a1go.3hv.2sgo3?i,ha.2go.2hna,u2go.3hv.3sdi,
"he's sending, taking it (liquid)",wi.2ga.2ne3hv.2sga,wi.2ji.2ne.3?v2sga,wu1ne2hnv23?i,wi.2ga.3ne3hv.2sgo3?i,hwi.2ne3hv1ga,wu1neh2di,
"1. he's asking him a question., 2. he's asking a question",a1tv23dv3hv.2sga,ji2ya1tv23dv3hv2sga,u1tv23dv3hnv23?i,a1tv23dv3hv.2sgo3?i,hi2ya1tv2dv2hv1ga,u2tv23tdi,
he's hiring him,ga.2na32hlv.2sga,ji2na32hlv.2sga,u1na32hlv1nv23?i,ga.2na32hlv.2sgo3?i,hi2na1hlv.2?v1ga,u2na1hlv1di,
he's sandwiching it,a1sdv23ha.3hlv.2sga,ji1sdv23ha.3hlv.2sga,u1sdv23ha.3hla.2nv23?i,a1sdv23ha.3hlv.2sgo3?i,hi.2sdv2ha.2hlv1ga,u2sdv23hahl3di,
1. he's covering it 2. he's putting a lid on it,gu3hlv.2sga,gu3hlv.2sga,u1wu3hlv1nv23?i,gu3hlv.2sgo3?i,hu1hlv.2?v1ga,u.2wu1hlv1di,
"light a fire, match",a1ji3slv.2sga,ji.2ji3slv2sga,u1ji3sla.2nv23?i,a1ji3slv2sgo3?i,hi.2ji1slv1ga,u2ji1slv.3sdi,
"he, it's growing",a1tv.2sga,ga.?2dv.2sga,u1tv.2sv23?i,a1tv.2sgo3?i,ha.2tv.2hi,u2tv.2hi.2sdi,
he's enduring it (idiom),de2ge3tv.2sga,de2ge.?3dv.2sga,du1we2ti.3nv3?i,de2ge3tv.3sgo3?i,te2tv32ga,ju.2we2tdi,
"he's hiding him, it (flexible)",gv2sga.3lv.32sga,ji2yv1sga.2lv32sga,u1wa2sga.2lv32nv23?i,gv2sga.2lv32sgo3?i,hi2yv1sga.2lv.2?v1ga,u.2wa2sga.2lv1di,
"1.  he's breaking a flexible object, 2. He's cutting a flexible object",a1gal32sga,ji.2gal32sga,u1gal32sv23?i,a1gal32sgo3?i,hi.2ga.?2la,u2gal1sdi,
he's breaking a long object,a1sgwal32sga,ji1sgwal32sga,u1sgwal32sv23?i,a1sgwal32sgo3?i,hi.2sgwa.2la,u2sgwal1sdi,
"he's pushing him, it",ga2sa.2do32sga,ji2ya1sa.2do32sga,u1wa2sa.2do32hyv23?i,ga2sa.2do32sgo3?i,hi2ya1sa.2do1hya,u.2wa2sa.2do1sdi,
he's falling from an elevated position,ga.2lo32sga,ji.2lo32sga,u1lo32sv23?i,ga.2lo32sgo3?i,hi.2lo1hi,u2lo1hi.3sdi,
he's nodding his head,al1sgu32sga,ga.2li1sgu32sga,ul1sgu32hyv23?i,al1sgu32sgo3?i,hal2sgu1hya,ul2sgu1sdi,
he's splitting it,da1sdlu32sga,de2ji32sdlu32sga,du1sdlu32hyv23?i,da1sdlu32sgo3?i,ti2sdlu32hya,ju2sdlu1sdi,
he's setting a trap,a1sa.2dv32sga,ji1sa.2dv32sga,u1sa.2dv32nv23?i,a1sa.2dv32sgo3?i,hi.2sa.2dv.2?v1ga,u2sa.2dv1di,
1. he's bending it  2. she's hemming it,a1hyvh2gwi.3dv32sga,ji1yvh2gwi.3dv32sga,u1hyvh2gwi.3dv32nv23?i,a1hyvh2gwi.3dv.32sgo3?i,hi.2hyvh2gwi.2dv.2?v1ga,u2hyvh2gwi.2dv1di,
"1. he's hitching him, it up 2. he's hooking it up 3. he's plugging it in",gu2da.2lv32sga,ji2yu2da.2lv32sga,u1wu2da.2lv32nv23?i,gu2da.2lv32sgo3?i,hi2yu2da.2lv.2?v1ga,u.2wu2da.2lv1di,
he's scolding him,a1gv2sgo23lv32sga,ji2gv1sgo23lv32sga,u1gv2sgo23lv32nv23?i,a1gv2sgo23lv32sgo3?i,hi2gv1sgo2lv.2?v1ga,u2gv2sgo23lv32di,
he's blinking,da1kta.2naw32sga,de2ga.3ga1ta.2naw32sga,du1kta.2naw32sv23?i,da1kta.2naw32sgo3?i,ta.3kta.2na1hwa,ju2kta.2naw1sdi,
it's flashing (reflected light),a1to23yaw32sga,-----,u1to23yaw32sv23?i,a1to23yaw32sgo3?i,-----,u2to23yaw32sdi,
he's getting well,u1diw32sga,a1gwa.2diw32sga,u1diw32sv23?i,u1diw32sgo3?i,ja.2di1hwi,u2di1hwi.3sdi,
he's sneezing,du1hyv23sdoy32sga,da1ki.2yv23sdoy32sga,du1hyv23sdo32hyv23?i,du1hyv23sdoy32sgo3?i,di.2cha.3yv3sdo1hya,ju2hyv23sdo32ysdi,
he's chopping it,ga.2luy32sga,ji.2luy32sga,u1lu32hyv23?i,ga.2luy32sgo3?i,hi.2lu1hya,u2luy1sdi,
he's chopping it up,a1gv2ha.3luy32sga,ji.2gv.2?a.2luy32sga,u1gv2ha.2lu32hyv23?i,a1gv2ha.2luy32sgo3?i,hi.2gv2ha.2lu1hya,u2gv2ha.2luy1sdi,
it's raining,a1ga2sga,-----,u1ga2hna.2nv3?i,a1ga2sgo3?i,-----,u2ganh2di,
he's drilling a hole,a1ta.2le2sga,ji1ta.2le2sga,u1ta.2le2sv23?i,a1ta.2le2sgo3?i,hi.2ta.2la.2ga,u2ta.2le2sdi,
he/it is going through it,a1ktv3le2sga,ji.2ga1tv3le2sga,u1ktv3le2sv23?i,a1ktv3le2sgo3?i,hi.2ktv2le23hi,u2ktv2le23hi.3sdi,
he's getting exhausted,da3sta.2ye2sga,de2ga32sta.2ye2sga,du3sta.2ye2sv23?i,da3sta.2ye2sgo3?i,ta3sta.2ye23hi,ju1sta.2ye23hi.3sdi,
they are adjourning,da1ni2ye2li2sga,do1ji2ye2li2sga,du1ni2ye2li2sv23?i,da1ni2ye2li2sgo3?i,di1ji23ye3li2hi,ju2ni2ye2li2hi.2sdi,
"he's borrowing him, it",a1tol2sga,ji2ya1tol2sga,u1tol2sv23?i,a1tol2sgo3?i,hi2ya1to23la,u2to2hli.3sdi,
1. it's becoming done (by cooking) 2. it's ripening,gvn2sga,-----,u1wan2sv23?i,gvn2sgo3?i,hv23hni,u.2wa2hni.3sdi,
1. it's decaying  2. it's spoiling,u1go2sga,a1gi.2go2sga,u1go2sv23?i,u1go2sgo3?i,ja.2go23hi,u2go2hi.2sdi,
he's finding it out,a1de2lo.2ho2sga,ga.2de2lo.2?o2sga,u1de2lo.2ho2sv23?i,a1de1lo.2ho2sgo3?i,ha.2de2lo.2ho23hi,u2de2lo.2ho2hi.3sdi,
he's confronted with it,du1dlo2sga,da1gwa.2dlo2sga,du1dlo2sv23?i,du1dlo2sgo3?i,di.2ja.3dlo3hi,ju2dlo2hi.2sdi,
1. they are meeting 2. they are meeting someone,da1na.2dlo2sga,do1ja.2dlo2sga,du1na.2dlo2sv23?i,da1na.2dlo2sgo3?i,di1ja.2dlo3hi,ju2na.2dlo2hi.2sdi,
"it (fire, light) is going out",kdlo2sga,-----,uwh1dlo2sv23?i,kdlo2sgo3?i,hvh2dlo23hi,uwh2dlo2hi.2sdi,
he's beating him at a game,a1hlo2sga,ji1hlo2sga,u1hlo2sv23?i,a1hlo2sgo3?i,hi1hlo23hi,u2hlo2hi.2sdi,
he's becoming enraged,u1ta.2hla.2wo2sga,ak1ta.2hla.2wo2sga,u1ta.2hla.2wo2sv23?i,u1ta.2hla.2wo2sgo3?i,tsta.2hla.2wo23hi,u2ta.2hla.2wo2hi.2sdi,
it's getting warm,a1ga2na.2wo2sga,-----,u1ga2na.2wo2sv23?i,a1ga2na.2wo2sgo3?i,-----,u2ga2na.2wo2hi.2sdi,
1. he's becoming warm  2. he's warming himself,u1ga2na.2wo2sga,a1gi.2ga2na.2wo2sga,u1ga2na.2wo2sv23?i,u1ga2na.2wo2sgo3?i,ja.2ga2na.2wo23hi,u2ga2na.2wo2hi.2sdi,
it's melting,gv2na.2wo2sga,gv2na.2wo1sga,u1wa2na.2wo2sv23?i,gv2na.2wo2sgo3?i,hv2na.2wo23hi,u.2wa2na.2wo2hi.2sdi,
"he's dying, (human)",a1yo2hu2sga,ji.2yo.2?u2sga,u1yo2hu2sv23?i,a1yo2hu2sgo3?i,hi.2yo2hu23hi,u2yo2hu2hi.2sdi,
he's ascending an incline,ka.2na.2lu2sga,ji1na.2lu2sga,u1hna.2lu2sv23?i,ka.2na2lu2sgo3?i,hi.2hna.2lu23hi,u2hna.2lu2hi.2sdi,
it's shattering,ahl1ko2dv2sga,-----,uhl1ko2dv2hnv23?i,ahl1ko2dv2sgo3?i,-----,-----,
he's acting like him,a1je2lv2sga,ga.2je2lv1sga,u1je2lv2hnv23?i,a1je2lv2sgo3?i,ha.2je2lv23na,u2jehl2di,
it's blooming,a1ji2lv2sga,,u1ji2lv2hnv23?i,a1ji2lv2sgo3?i,,u2jihl2di,
he's making it,go1hlv2sga,go1hlv2sga,u1wo2hlv2hnv23?i,go2hlv2sgo3?i,ho2hlv23na,u.2wo2hlvnh2di,n
"he's sleepy, he's going to sleep",ga.2hlv2sga,ji.?2lv2sga,u1hlv2hnv23?i,ga.2hlv2sgo3?i,hi.2hlv23na,u2hlvnh2di,n
he's dressing up,a1ja.2nv2sga,ga.2ja.2nv1sga,u1ja.2nv2hnv23?i,a1ja.2nv2sgo3?i,ha.2ja.2nv23na,u2ja.2nvh2di,
"he's wrapping him, it",ga2kwe2nv2sga,ji2ya1kwe2nv2sga,u1wa2kwe2nv2hnv23?i,ga2kwe2nv2sgo3?i,hi2ya1kwe2nv23na,u.2wa2kwe2nvh2di,
"he's wounding him, it",a1so2nv2sga,ji1so2nv2sga,u1so2nv2hnv23?i,a1so2nv2sgo3?i,hi1so2nv23na,u2so2nv2sdi,
he's burning,ga.2le3yv2sga,ji.2le3yv2sga,u1le3yv2sv23?i,ga.2le3yv2sgo3?i,hi.2le1yv23hi,u2le1yv23hi.3sdi,
he's forgetting,u1wa2kew2sga,a1gwv2kew2sga,u1wa2kew2sv23?i,u1wa2kew2sgo3?i,wi.2jv23ke3wa,u.2wa2ke2hwi.3sdi,
he's sewing it,ga2yew2sga,ji2ye2wi1sga,u1wa2yew2sv23?i,ga2yew2sgo3?i,hi2ye23wa,u.2wa2yew2sdi,
he's getting off,a1dloy2sga,ga.2dloys3ga,u1dloy3sv23?i,a1dloy3sgo3?i,ha.2dlo1hi,u2dlo1hi.3sdi,
he's drinking it,a1di2ta.3sga,ga.2di1ta.3sga,u1di2ta.2hv23?i,a1di2ta.2sgo3?i,ha.2di23ta,u2di2ta.2sdi,
"he's catching up with him, it",a1dlv2ta.3sga,ji2ya.2dlv1ta.3sga,u1dlv2ta.2hv23?i,a1dlv2ta.2sgo3?i,hi2ya.2dlv1ta,u2dlv2ta.2sdi,
he's coughing,u1si.2hwa.3sga,ak1si.2hwa.3sga,u1si.2hwa.2hv23?i,u1si.2hwa.2sgo3?i,tsi.2hwa.2hi,u2si.2hwa.2hi.2sdi,
it's barking,da1su.2hwi.3sga,de2ga32su.2hwi.3sga,du2su.2hwi.2sv23?i,da1su.2hwi.2sgo3?i,ta.2su.3hwa,ju2su.2hwi.2sdi,
he's painting it,a1su23hwi.3sga,ji1su23hwi.3sga,u1su23hwi.3sv23?i,a1su23hwi.3sgo3?i,hi.2su23hwa,u2su23hwi.3sdi,
it (a flexible object) is falling from a hanging position,ga.2do.3sga,ga.2do.3sga,u1do.3sv23?i,ga.2do.3sgo3?i,ha.2do1hi,u2do1hi.3sdi,
he's frolicking,a1hne2jo.3sga,ga1ne2jo.3sga,u1hne2jo3nv23?i,a1hne2jo.3sgo3?i,ha2hne2jo.2?v1ga,u2hne2jo2di,
he's going down hill,a1kso.3sga,ji.2ga1so.3sga,u1kso.3sv23?i,a1kso.3sgo3?i,hi.2kso1hi,u2kso1hi.2sdi,
he's releasing him,da1yo.3sga,de2ji3yo.3sga,du1yo.3sv23?i,da1yo.3sgo3?i,ti3yo.2hi,ju2yo.3hi.3sdi,
"He's releasing it, (voluntarily)",du1yo.3sga,da1gi.3yo.2sga,du1yo.3sv23?i,du1yo.3sgo3?i,di.2ja.3yo.2hi,ju2yo.3hi.3sdi,
he's giving up,da1da2yo.3sga,de2ga.3da2yo.3sga,du1da2yo.3sv23?i,da1da2yo.2sgo3?i,ta.2da3yo.2hi,ju2da2yo.3hi.3sdi,
he's squatting,da3ji.2hlu.3sga,de2ga32ji.2hlu.3sga,du3ji.2hlu.3nv3?i,da3ji.2hlu.3sgo.3?i,ta3ji.2hlu32ga,ju1ji.2hlu.3sdi,
he's taking a seat,al1sdv2hlu.3sga,ga.2li1sdv2hlu.3sga,ul1sdv2hlu.3nv3?i,al1sdv2hlu.3sgo.3?i,hal2sdv2hlu1ga,ul2sdv2hlu.3sdi,
he's setting it down,a1hv.3sga,ji.2?v.3sga,u1hnv23?i,a1hv.2sgo3?i,hi.2hv1ga,u2hdi,
he's placing it on something,a1hla.2hv.3sga,ji1hla.2hv.3sga,u1hla.2hv23?sga,a1hla.2hv.3sgo.3?i,hi.2hla.2hv1ga,u2hloh2di,
he's sending it (solid),wa.2hv.3sga,wi.2ji.3?v.3sga,wu1hnv23?i,wa.2hv.3sgo3?i,hwi.2hv32ga,wuh1di,
"he, it's howling, screaming, yelling, etc",ge2hlu.2hv.3sga,ge1lu.2hv.3sga,u1we2hlu.2hnv23?i,ge2hlu.2hv.3sgo.3?i,he2hlu.2hv1ga,u.2we2hlu.2hv.3sdi,
"1. he, it's using it up 2. he's drinking, eating it up",a1sv.2hv.3sga,ji1sv.2hv.3sga,u1sv.2hnv3?i,a1sv.2hv.3sgo3?i,hi.2sv.2hna,u2sv.3hv.3sdi,
he's being born,a1de2hv.3sga,ga.2de.2?v.3sga,u1de2hnv23?i,a1de2hv.2sgo3?i,ha2de2hv1ga,u2deh2di,
