class,strictness,match_count,present_rate,imperfective_rate,perfective_rate,imperative_rate,infinitive_rate
Xa1*,strict,0,0.0,0.0,0.0,0.0,0.0
Xa2*,loose,0,0.0,0.0,0.0,0.0,0.0
Xa2*,strict,0,0.0,0.0,0.0,0.0,0.0
XIa*,loose,0,0.0,0.0,0.0,0.0,0.0
XIa*,strict,0,0.0,0.0,0.0,0.0,0.0
XIb*,loose,0,0.0,0.0,0.0,0.0,0.0
XIb*,strict,0,0.0,0.0,0.0,0.0,0.0
episodic1,loose,0,0.0,0.0,0.0,0.0,0.0
episodic1,strict,0,0.0,0.0,0.0,0.0,0.0
episodic2,loose,0,0.0,0.0,0.0,0.0,0.0
episodic2,strict,0,0.0,0.0,0.0,0.0,0.0
finding,loose,0,0.0,0.0,0.0,0.0,0.0
finding,strict,0,0.0,0.0,0.0,0.0,0.0
losing_way,loose,0,0.0,0.0,0.0,0.0,0.0
losing_way,strict,0,0.0,0.0,0.0,0.0,0.0
pushing,loose,0,0.0,0.0,0.0,0.0,0.0
pushing,strict,0,0.0,0.0,0.0,0.0,0.0
quitting,loose,0,0.0,0.0,0.0,0.0,0.0
quitting,strict,0,0.0,0.0,0.0,0.0,0.0
scatter,loose,0,0.0,0.0,0.0,0.0,0.0
scatter,strict,0,0.0,0.0,0.0,0.0,0.0
wash_hair,loose,0,0.0,0.0,0.0,0.0,0.0
wash_hair,strict,0,0.0,0.0,0.0,0.0,0.0
terminative,loose,0,0.0,0.0,0.0,0.0,0.0
terminative,strict,0,0.0,0.0,0.0,0.0,0.0
twist,loose,0,0.0,0.0,0.0,0.0,0.0
twist,strict,0,0.0,0.0,0.0,0.0,0.0
scared,loose,0,0.0,0.0,0.0,0.0,0.0
scared,strict,0,0.0,0.0,0.0,0.0,0.0
hate,loose,0,0.0,0.0,0.0,0.0,0.0
hate,strict,0,0.0,0.0,0.0,0.0,0.0
act_like,loose,0,0.0,0.0,0.0,0.0,0.0
act_like,strict,0,0.0,0.0,0.0,0.0,0.0
dressing_up,loose,0,0.0,0.0,0.0,0.0,0.0
dressing_up,strict,0,0.0,0.0,0.0,0.0,0.0
silly,loose,0,0.0,0.0,0.0,0.0,0.0
silly,strict,0,0.0,0.0,0.0,0.0,0.0
