corpus_id,entry_no,definition,prediction,class,post_root_morpheme,present,present_1sg,imperfective,perfective,imperative,infinitive
548,558,he/she is being married,FullEventful,ih-ohd[perf3],,takatshvhst,tvkwatshvhst,takatshvhst,takatshvhsth,witetsatshvhst,tsakatshvhst
548,558,he/she is being married,FullEventful,ih-ohd[pres2],,takatshvhstih,tvkwatshvhstih,takatshvhst,takatshvhst,witetsatshvhst,tsakatshvhst
548,558,he/she is being married,FullEventful,ih-ohd[pres2-perf3],,takatshvhstih,tvkwatshvhstih,takatshvhst,takatshvhsth,witetsatshvhst,tsakatshvhst
564,574,he/she is squatting,FullEventful,husg,,tatsil,tekatsil,tatsil,tutsil,thatsil,tsukil
596,606,they are having a trial,FullEventful,oh-ol-a,,tanatahi'lit,totsatahi'lit,tanatahi'lit,tunatahi'lit,titsatahi'lit,tsunatahi'lit
597,607,they are meeting,FullEventful,sg-s-hi-hihst,,tanatlo,totsatlo,tanatlo,tunatlo,titsatlo,tsunatlo
597,607,they are meeting,FullEventful,sg-s-hst[imp2],,tanatlo,totsatlo,tanatlo,tunatlo,titsatlo,tsunatlohi
597,607,they are meeting,FullEventful,sg-s-hst,,tanatlo,totsatlo,tanatlo,tunatlo,titsatlohi,tsunatlohi
598,608,they are separating,FullEventful,ih-vh,,tanakalen,tohstakalen,tanakalen,tunakalen,tihstakalen,tsunakalen
601,611,they’re having church services,FullEventful,g-ts,,tanilawi,totsilawi,tanilawi,tunilawi,titsilawi,tsunilawi
603,613,they are adjourning,FullEventful,sg-s-hi-hihst,,taniyeli,totsiyeli,taniyeli,tuniyeli,titsiyeli,tsuniyeli
603,613,they are adjourning,FullEventful,sg-s-hst[imp2],,taniyeli,totsiyeli,taniyeli,tuniyeli,titsiyeli,tsuniyelihi
603,613,they are adjourning,FullEventful,sg-s-hst,,taniyeli,totsiyeli,taniyeli,tuniyeli,titsiyelihi,tsuniyelihi
613,623,he/she is ironing,FullEventful,sg-s-la,,tathe,tetsithe,tathe,tuthe,thithv,tsuthe
613,623,he/she is ironing,FullEventful,sg-s-hst,,tathe,tetsithe,tathe,tuthe,thithvla,tsuthe
634,645,he/she is washing (refers to flexible objects including clothes),FullEventful,o,,tekhkil,tekvkil,tekhkil,tuhkil,thvhkil,tsuhkil
788,818,he/she is hanging up it (refers to a flexible object),FullEventful,vsk,,katv',tsiyatv',katv',ut,hatv',ut
788,818,he/she is hanging up it (refers to a flexible object),FullEventful,vsk[imp2],,katv',tsiyatv',katv',ut,hat,ut
788,818,he/she is hanging up it (refers to a flexible object),FullEventful,vsk-long,,kat,tsiyat,kat,ut,hatv',ut
788,818,he/she is hanging up it (refers to a flexible object),FullEventful,vsk-long[imp2],,kat,tsiyat,kat,ut,hat,ut
788,818,he/she is hanging up it (refers to a flexible object),FullEventful,vsk-post-v,,katv,tsiyatv,katv,utv,hatv,utv
840,870,it is burning (refers to forest or grass),FullStative,stative,,kalik,,kalik,ulits,,
844,874,he/she is spanking him/her,FullEventful,hih-hil,,kali'vn,tsili'vn,kal'vn,uli'vn,hili'vn,uli'vn
889,919,he/she is giving him/her some liquid,FullEventful,eh-el,,kanenh,tsinen,kanenh,unenh,hine'v,unenh
889,919,he/she is giving him/her some liquid,FullEventful,eh-el[imp2],,kanenh,tsinen,kanenh,unenh,hine'v,unenh
896,926,it’s hailing,FullStative,stative,,kanehsoyhsk,,kanehsoyhsk,unehsoyhs,,
915,945,he/she is leaving it (refers to flexible object),FullEventful,a,,ka'nih,tsi'niy,ka'niy,uniy,hiniy,uniy
916,946,he/she is catching him/her,FullEventful,ih-vh,,ka'niy,tsiniy,kaniy,uniy,hiniy,uniy
921,951,it’s flooding,FullStative,stative,,kanohuki',,kanohukihsk,unohukan,,
922,952,he/she is causing it to sound,FullEventful,ih-ohd,,kanoyhvlhihst,tsinoyvlihst,kanoyhvlhihst,unoyhvlhihst,hinoyhvlhihst,unoyhvlhihst
922,952,he/she is causing it to sound,FullEventful,ih-ohd[perf3],,kanoyhvlhihst,tsinoyvlihst,kanoyhvlhihst,unoyhvlhihsth,hinoyhvlhihst,unoyhvlhihst
922,952,he/she is causing it to sound,FullEventful,ih-ohd[pres2],,kanoyhvlhihstih,tsinoyvlihstih,kanoyhvlhihst,unoyhvlhihst,hinoyhvlhihst,unoyhvlhihst
