class,form,expected_ending,matches,total,percentage
i-a-i,present,i',11,16,68.8
i-a-i,imperfective,i'hsk,10,16,62.5
i-a-i,perfective,',10,16,62.5
i-a-i,imperative,a,16,16,100.0
i-a-i,infinitive,i'hst,15,16,93.8
