definition
"1. he's advertising it  2. he's announcing it"
"he's contaminating it (with visible foreign matter)"
"he's drawing a line"
"he's frying it"
"he's hiding"
"he's hiding it"
"he's putting a handle on a tool"
"he's putting it in a hole or a container"
"he's putting on shoes"
"he's quilting it"
"he's sandwiching it"
"he's soaking it (flexible object)"
