verb,present,imperfective,perfective,imperative,infinitive
he's splitting it,tastlusk,tastlusk,tustluyh,thistluyha,tsustlust
he's squatting,tatsilhusk,tatsilhusk,tutsilhun,thatsilhuka,tsutsilhust
"he's stabbing him, it",kathih,kathih,uwathilh,hiyathika,uwathist
he's stinging it,katsvysk,katsvysk,uwatsvyh,hiyatsvyha,uwatsvyst
he's straightening it,katshinosih,katshinosisk,uwatshinosanh,hitshinosa,uwatshinosoht
he's strapping it,katlohih,katlohih,uwatlolh,hitloka,uwatlost
he's sweeping it,kvnosask,kvnosask,uwanosah,hvnosa,uwanosast
he's taking a seat,alstvlhusk,alstvlhusk,ulstvlhun,halstvlhuka,ulstvlhust
"he's trimming it, (boy's hair, grass, hedge, but not paper, cloth)",astoyeh,astoyesk,ustoyeh,histoya,ustoyht
"he's tying him, it up",kalhvih,kalhvih,ulhvl,hiyalvtsa,ulhvst
he's tying it,takhanehih,takhanehih,tukhanelh,thikhaneka,tsukhanest
he's waiting for him/it,akhthiy,akhthiy,ukhthit,hikathita,ukhthitist
he's washing his hair,alstuleh,alstulesk,ulstuleh,halstula,ulstulht
he's wearing shoes,tulasulh,tulasulh,tulasulh,tetsalasulhesti,
he's weeping,tatloyhih,tatloyhih,tutloyhil,tsutloysti,thatloyhka
"he's wounding him, it",asonvsk,asonvsk,usonvnh,hisonvna,usonvst
"he's wrapping him, it",kakwhenvsk,kakwhenvsk,uwakwhenvnh,hiyakwhenvna,uwakwhenvht
he's wrestling,anhehih,anhehih,unhelh,hanheka,unhest
"he's yelling, howling, meowing, etc",uwelhuhk,uwelhuhk,uwelhunh,helhuhvka,uwelhuhvst
"he, it's burning",akohvsk,akohvsk,ukonh,hakonha,ukohvst
"he, it's destroying it",ayosthanohvsk,ayosthanohvsk,uyosthanonh,hiyosthanonha,uyosthanohvst
"he, it's howling, screaming, yelling, etc",kelhuhvsk,kelhuhvsk,uwelhunh,helhuhvka,uwelhuhvst
"he, it's moving (without changing location)",alhthelvhvsk,alhthelvhvsk,ulhthelvnh,halhthelvhvka,ulhthelht
it (weather) is cold,uyhvtl,uyhvtl,uyhvtl,,
it is sounding,unoyhvhk,unoyhvhk,unoyhvls,tsanoyhvla,unoyhvlhist
it's (sun or moon) shining,akalih,akalisk,ukalis,,ukalihist
it's (the ground) becoming frosty,ayhahthvhvsk,ayhahthvhvsk,uyhahthvnh,,uyhahthvtht
it's blooming,atsilvsk,atsilvsk,utsilvnh,,utsilht
"it's crowing, (rooster)",ayhk,ayhk,uyvls,hayvla,uyvlhist
it's rattling,utsonath,utsonath,utsonath,hatsonathvka,utsonatht
it's shattering,alhkhotvsk,alhkhotvsk,ulhkhotvnh,,
it's snowing,kuthih,kuthisk,uwuthanh,,uwuthoht
it's twisting,atanutheyoh,atanutheyoh,utanutheyol,hatanutheyaka,utanutheyot
she's cooking a meal,atastayvhvsk,atastayvhvsk,utastayvnh,hatastayvhvka,utastayht
there's an opening,utlanvt,utlanvt,utlanvt,,
they are gathering,anatalhisih,anatalhisisk,unatalhisanh,itsatalhisa,unatalhisoht
