corpus_id,prediction,definition,furthest_corpus
583,FullEventful,he/she is changing shoes,3.validated
584,FullEventful,he/she is taking off his/her shoes,3.validated
585,FullEventful,he/she is helping him/her up,3.validated
586,FullEventful,he/she is recuperating,3.validated
587,FullEventful,he/she is getting up (from sitting or from involuntarily assumed prone position),3.validated
589,FullEventful,he/she is taking off his/her gloves,3.validated
59,FullEventful,he/she is giving him/her it (refers to a long object),3.validated
590,FullEventful,he/she is putting on his/her gloves,3.validated
591,FullEventful,he/she is taking off his/her socks,3.validated
592,FullEventful,he/she is putting on his/her socks,3.validated
593,FullEventful,he/she is changing his/her socks,3.validated
594,FullEventful,he/she is aiming at him/her,3.validated
599,FullEventful,he/she is playing with him/her,3.validated
6,FullEventful,he/she is bouncing it,3.validated
600,FullEventful,he/she is playing,3.validated
604,FullEventful,he/she is shooting at him/her,3.validated
605,FullEventful,he/she is splitting it,3.validated
606,FullEventful,he/she is sprinkling it (with liquid),3.validated
607,FullEventful,he/she is counting it,3.validated
608,FullEventful,he/she is cursing him/her,3.validated
609,FullEventful,he/she is clapping his/her hands,3.validated
61,FullEventful,he/she is embarrassing him/her,3.validated
610,FullEventful,he/she is getting exhausted,3.validated
611,FullEventful,it’s barking,3.validated
612,FullEventful,he/she is scheduling a time,3.validated
618,FullEventful,he/she is releasing him/her,3.validated
62,FullEventful,he/she is embarrassed,3.validated
620,FullEventful,he/she is slamming him/her,3.validated
621,FullEventful,he/she is crossing (refers to a road‚ bridge‚ etc.),3.validated
622,FullEventful,he/she is advertising it,3.validated
623,FullEventful,he/she is crossing it (refers to a body of water),3.validated
625,FullEventful,he/she is explaining it (refers to a Biblical text),3.validated
626,FullEventful,he/she is deciding,3.validated
627,FullEventful,he/she is washing (refers to dishes),3.validated
628,FullEventful,he/she is shelling (refers to peas‚ nut meats‚ etc),3.validated
63,FullEventful,he/she is being born,3.validated
630,FullEventful,he/she is turning him/her over,3.validated
631,FullEventful,he/she is singing,3.validated
632,FullEventful,he/she is clawing him/her,3.validated
67,FullEventful,he/she is finding it out,3.validated
7,FullEventful,he/she is putting on a belt,3.validated
70,FullEventful,he/she is going around a curve,3.validated
72,FullEventful,he/she is laying it down (refers to a long object),3.validated
722,FullEventful,he/she is confronted with it,3.validated
724,FullEventful,he/she is staggering,3.validated
725,FullEventful,he/she is getting a rash,3.validated
726,FullEventful,he/she has horns,3.validated
726,FullStative,he/she has horns,3.validated
727,FullEventful,he/she is sneezing,3.validated
728,FullEventful,he/she is vomiting,3.validated
729,FullEventful,he/she is wearing glasses,3.validated
729,FullStative,he/she is wearing glasses,3.validated
73,FullEventful,he/she is rising (from a prone position),3.validated
730,FullEventful,he/she is wearing shoes,3.validated
730,FullStative,he/she is wearing shoes,3.validated
733,FullEventful,he/she is wearing socks,3.validated
733,FullStative,he/she is wearing socks,3.validated
735,FullEventful,he/she is working,3.validated
738,FullEventful,he/she is releasing it (refers to involuntarily releasing),3.validated
739,FullEventful,he/she is tired,3.validated
74,FullEventful,he/she is scattering it,3.validated
740,FullEventful,he/she is releasing it (refers to voluntarily releasing),3.validated
742,FullEventful,he/she is walking around,3.validated
746,FullEventful,he/she lives,3.validated
746,FullStative,he/she lives,3.validated
75,FullEventful,it’s scattering,3.validated
752,FullEventful,he/she thinks so,3.validated
757,FullEventful,he/she is straightening it,3.validated
759,FullEventful,it is hanging (refers to flexible object),3.validated
759,FullStative,it is hanging (refers to flexible object),3.validated
76,FullEventful,he/she is spinning,3.validated
764,FullEventful,he/she is plowing it,3.validated
766,FullEventful,he/she is removing it from a hanging position (refers to solid or flexible object),3.validated
767,FullEventful,he/she is turning it,3.validated
769,FullEventful,he/she is spinning it,3.validated
77,FullEventful,he/she is saying it,3.validated
770,FullEventful,he/she is strapping it,3.validated
772,FullEventful,he/she is standing,3.validated
772,FullStative,he/she is standing,3.validated
775,FullEventful,he/she is pitying him/her,3.validated
776,FullEventful,he/she is dropping him/her (refers to flexible object),3.validated
777,FullEventful,it is falling from a hanging position (refers to flexible object),3.validated
78,FullEventful,he/she is running over him/her,3.validated
784,FullEventful,he/she is baking it,3.validated
79,FullEventful,he/she is hiding,3.validated
791,FullEventful,he/she is rowing,3.validated
796,FullEventful,he/she is pecking it,3.validated
798,FullEventful,he/she is putting it into a container,3.validated
80,FullEventful,he/she is leaving it behind (refers to a long object),3.validated
804,FullEventful,he/she is gathering it,3.validated
809,FullEventful,he/she is piling it up,3.validated
811,FullEventful,he/she is putting it in a hole or a container,3.validated
812,FullEventful,he/she is sleepy,3.validated
813,FullEventful,he/she is taking it somewhere by hand (refers to a flexible object),3.validated
815,FullEventful,he/she is handling it (refers to a flexible object),3.validated
818,FullEventful,he/she is eating it (refers to a flexible object),3.validated
82,FullEventful,he/she is drinking it,3.validated
820,FullEventful,he/she is ripping it,3.validated
821,FullEventful,he/she is scratching him/her,3.validated
823,FullEventful,he/she is pricking him/her,3.validated
824,FullEventful,he/she is wringing it out,3.validated
825,FullEventful,he/she is stinging it,3.validated
826,FullEventful,he/she is leaving a living thing behind,3.validated
827,FullEventful,he/she is giving him/her a living thing,3.validated
829,FullEventful,he/she is wrapping him/her,3.validated
830,FullEventful,he/she is putting it in a container (refers to a long object),3.validated
833,FullEventful,he/she is taking it out of a container (refers to a solid or flexible object),3.validated
834,FullEventful,he/she is climbing it,3.validated
837,FullEventful,he/she is burning,3.validated
838,FullEventful,it is falling from an upright position (refers to a long object eg tree‚ pole),3.validated
839,FullEventful,he/she is climbing around,3.validated
840,FullEventful,it is burning (refers to forest or grass),3.validated
842,FullEventful,it is dying (refers to an animal or plant),3.validated
845,FullEventful,he/she is hoeing it,3.validated
848,FullEventful,he/she is stopping by (where on the way somewhere),3.validated
85,FullEventful,he/she is scratching,3.validated
850,FullEventful,he/she is overtaking him/her,3.validated
852,FullEventful,he/she is bluffing him/her,3.validated
853,FullEventful,he/she is oiling it,3.validated
854,FullEventful,he/she is making him/her fall from an elevated position,3.validated
855,FullEventful,he/she is cheating,3.validated
856,FullEventful,he/she is passing by without stopping,3.validated
857,FullEventful,he/she is falling from an elevated position,3.validated
858,FullEventful,he/she is arriving,3.validated
859,FullEventful,it’s lacking,3.validated
862,FullEventful,he/she is chopping it,3.validated
864,FullEventful,he/she is beating him/her up,3.validated
87,FullEventful,he/she is turning off the road,3.validated
870,FullEventful,he/she is putting it in a hole or a container (refers to a flexible object),3.validated
871,FullEventful,he/she is selling it,3.validated
873,FullEventful,he/she is hiring him/her,3.validated
876,FullEventful,he/she is finding it (refers to a flexible object),3.validated
877,FullEventful,he/she is taking it somewhere (refers to an animal‚ flexible object),3.validated
879,FullEventful,he/she is getting it (refers to a flexible object),3.validated
88,FullEventful,he/she is taking revenge against him/her,3.validated
880,FullEventful,he/she is changing it,3.validated
882,FullEventful,he/she is taking it somewhere by hand (refers to a long object),3.validated
883,FullEventful,he/she is peeling him/her,3.validated
884,FullEventful,he/she is getting some liquid,3.validated
885,FullEventful,he/she is taking liquid from him/her,3.validated
886,FullEventful,he/she is bewitching him/her,3.validated
887,FullEventful,he/she is holding it in his/her hand (refers to a long object),3.validated
887,FullStative,he/she is holding it in his/her hand (refers to a long object),3.validated
888,FullEventful,he/she is leaving some liquid,3.validated
890,FullEventful,he/she is finding some liquid,3.validated
891,FullEventful,he/she is taking some liquid somewhere,3.validated
893,FullEventful,he/she lives (in sense of resides now),3.validated
893,FullStative,he/she lives (in sense of resides now),3.validated
895,FullEventful,it’s freezing,3.validated
896,FullEventful,it’s hailing,3.validated
899,FullEventful,he/she is lying down,3.validated
899,FullStative,he/she is lying down,3.validated
901,FullEventful,he/she is agitating liquid,3.validated
902,FullEventful,he/she is taking a liquid somewhere by hand,3.validated
903,FullEventful,he/she is holding some liquid,3.validated
903,FullStative,he/she is holding some liquid,3.validated
904,FullEventful,he/she is handling some liquid,3.validated
908,FullEventful,he/she is handling it (refers to a long object),3.validated
909,FullEventful,he/she hates him/her,3.validated
910,FullEventful,he/she is setting up a bed,3.validated
913,FullEventful,he/she is pleading,3.validated
914,FullEventful,he/she is burying him/her,3.validated
918,FullEventful,he/she is hunting,3.validated
921,FullEventful,it’s flooding,3.validated
924,FullEventful,it is blowing (refers to wind),3.validated
925,FullEventful,he/she is stealing it,3.validated
928,FullEventful,he/she is sinking,3.validated
929,FullEventful,he/she is pulling him/her,3.validated
931,FullEventful,he/she is dragging him/her,3.validated
932,FullEventful,he/she is exiting,3.validated
937,FullEventful,he/she is twisting him/her,3.validated
938,FullEventful,he/she is missing him/her (refers to as a target),3.validated
94,FullEventful,it’s pouring into a container (refers to liquid),3.validated
940,FullEventful,he/she is falling from an upright position,3.validated
941,FullEventful,he/she is cleaning him/her,3.validated
942,FullEventful,he/she is hammering it,3.validated
946,FullEventful,he/she is tying up a leg,3.validated
949,FullEventful,he/she is tossing about,3.validated
95,FullEventful,he/she is drawing a liquid out of a container,3.validated
950,FullEventful,he/she is giving him/her an object (refers to a flexible object),3.validated
955,FullEventful,he/she is pushing him/her,3.validated
956,FullEventful,he/she is rolling him/her,3.validated
96,FullEventful,he/she is pouring a liquid into a container,3.validated
960,FullEventful,he/she is attaching the object behind it (refers to a flexible object),3.validated
969,FullEventful,he/she is piling it up,3.validated
970,FullEventful,it’s hanging,3.validated
970,FullStative,it’s hanging,3.validated
973,FullEventful,he/she is stabbing him/her,3.validated
976,FullEventful,he/she is hanging it up,3.validated
979,FullEventful,he/she is bathing him/her,3.validated
98,FullEventful,he/she is crying,3.validated
980,FullEventful,he/she is replying,3.validated
981,FullEventful,he/she is lecturing him/her,3.validated
983,FullEventful,he/she is speaking,3.validated
986,FullEventful,he/she is sewing it,3.validated
993,FullEventful,he/she is howling,3.validated
997,FullEventful,he/she is leading it by a leash,3.validated
997,FullStative,he/she is leading it by a leash,3.validated
