definition,class,root,success,ambiguous_forms,notes
he/she is taking off running,cause[perf3],atanawhst,False,,
he/she is taking off running,cause[perf3],anawhst,False,,
he/she is taking off running,cause[perf3],nawhst,False,,
he/she is taking off running,cause[pres2],atanawhstih,False,,
he/she is taking off running,cause[pres2],anawhstih,False,,
he/she is taking off running,cause[pres2],nawhstih,False,,
he/she is taking off running,cause[pres2-perf3],atanawhstih,False,,
he/she is taking off running,cause[pres2-perf3],anawhstih,False,,
he/she is taking off running,cause[pres2-perf3],nawhstih,False,,
he/she is changing,v-vhs,atanetliy,True,,
he/she is changing,v-vhs,anetliy,True,,
he/she is changing,v-vhs,netliy,True,,
he/she is changing,change-out,atanetl,True,,
he/she is changing,change-out,anetl,True,,
he/she is changing,change-out,netl,True,,
he/she is taking turns with him/her,cause,atanetliyvhst,True,,
he/she is taking turns with him/her,cause,anetliyvhst,True,,
he/she is taking turns with him/her,cause,netliyvhst,True,,
he/she is taking turns with him/her,cause[perf3],atanetliyvhst,False,,
he/she is taking turns with him/her,cause[perf3],anetliyvhst,False,,
he/she is taking turns with him/her,cause[perf3],netliyvhst,False,,
he/she is taking turns with him/her,cause[pres2],atanetliyvhstih,False,,
he/she is taking turns with him/her,cause[pres2],anetliyvhstih,False,,
he/she is taking turns with him/her,cause[pres2],netliyvhstih,False,,
he/she is taking turns with him/her,cause[pres2-perf3],atanetliyvhstih,False,,
he/she is taking turns with him/her,cause[pres2-perf3],anetliyvhstih,False,,
he/she is taking turns with him/her,cause[pres2-perf3],netliyvhstih,False,,
he/she is thinking,apl-active-lh,atanhth,True,,
he/she is thinking,apl-active-lh,anhth,True,,
he/she is thinking,apl-active-lh,nhth,True,,
he/she is pondering,o,atanhthehil,True,,
he/she is pondering,o,anhthehil,True,,
he/she is pondering,o,nhthehil,True,,
he/she is crawling,go[pres2],atanhsin,True,,
he/she is crawling,go[pres2],anhsin,True,,
he/she is crawling,go[pres2],nhsin,True,,
it’s twisting,oh-ol,atanuthey,True,,
it’s twisting,oh-ol,anuthey,True,,
it’s twisting,oh-ol,nuthey,True,,
he/she is ordering it,sk-s-la,atanv,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is ordering it,sk-s-la,anv,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is ordering it,sk-s-la,nv,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is ordering it,sk-s-hst,atanv,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is ordering it,sk-s-hst,anv,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is ordering it,sk-s-hst,nv,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is cooking a meal,hvsk-nh[inf2],atahstayv,True,,
he/she is cooking a meal,hvsk-nh[inf2],ahstayv,True,,
he/she is cooking a meal,hvsk-nh[inf2],hstayv,True,,
he/she is cooking a meal,episodic,atahstay,True,,
he/she is cooking a meal,episodic,ahstay,True,,
he/she is cooking a meal,episodic,hstay,True,,
it’s burning,i-a-i,atawelak,True,,
it’s burning,i-a-i,awelak,True,,
it’s burning,i-a-i,welak,True,,
he/she is resting,cause,atawehsolvhst,True,,
he/she is resting,cause,awehsolvhst,True,,
he/she is resting,cause,wehsolvhst,True,,
he/she is resting,cause[perf3],atawehsolvhst,False,,
he/she is resting,cause[perf3],awehsolvhst,False,,
he/she is resting,cause[perf3],wehsolvhst,False,,
he/she is resting,cause[pres2],atawehsolvhstih,False,,
he/she is resting,cause[pres2],awehsolvhstih,False,,
he/she is resting,cause[pres2],wehsolvhstih,False,,
he/she is resting,cause[pres2-perf3],atawehsolvhstih,False,,
he/she is resting,cause[pres2-perf3],awehsolvhstih,False,,
he/she is resting,cause[pres2-perf3],wehsolvhstih,False,,
he/she is bathing,o,ataw,True,,
he/she is bathing,o,aw,True,,
he/she is bathing,o,w,True,,
he/she is giving him/her it,apl,t,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is giving him/her it,apl,t,False,present_1sg;imperative,Ambiguity implies lossy rule reversal
he/she is giving him/her it,apl[imp2],t,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is giving him/her it,apl[imp2],t,False,present_1sg;imperative,Ambiguity implies lossy rule reversal
he/she is giving him/her it,apl[imp3],t,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is giving him/her it,apl[imp3],t,True,present_1sg;imperative,Ambiguity implies lossy rule reversal
he/she is embarrassing him/her,cause,atehohihst,True,,
he/she is embarrassing him/her,cause,ehohihst,True,,
he/she is embarrassing him/her,cause[perf3],atehohihst,False,,
he/she is embarrassing him/her,cause[perf3],ehohihst,False,,
he/she is embarrassing him/her,cause[pres2],atehohihstih,False,,
he/she is embarrassing him/her,cause[pres2],ehohihstih,False,,
he/she is embarrassing him/her,cause[pres2-perf3],atehohihstih,False,,
he/she is embarrassing him/her,cause[pres2-perf3],ehohihstih,False,,
he/she is embarrassed,sk-s-hi-hihst,ateho,True,,
he/she is embarrassed,sk-s-hi-hihst,eho,True,,
he/she is embarrassed,sk-s-hst[imp2],ateho,False,,
he/she is embarrassed,sk-s-hst[imp2],eho,False,,
he/she is embarrassed,sk-s-hst,ateho,False,,
he/she is embarrassed,sk-s-hst,eho,False,,
he/she is being born,hvsk-nh,ate,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is being born,hvsk-nh,e,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is being born,hvsk-nh[inf2],ate,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is being born,hvsk-nh[inf2],e,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is finding it out,sk-s-hi-hihst,ateloho,True,,
he/she is finding it out,sk-s-hi-hihst,eloho,True,,
he/she is finding it out,sk-s-hst[imp2],ateloho,False,,
he/she is finding it out,sk-s-hst[imp2],eloho,False,,
he/she is finding it out,sk-s-hst,ateloho,False,,
he/she is finding it out,sk-s-hst,eloho,False,,
he/she is going around a curve,oh-ol[inf2],atey,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is going around a curve,oh-ol[inf2],ey,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is laying it down,i-a-i,t,True,,
he/she is laying it down,i-a-i,t,True,,
he/she is laying it down,long-no-a,,True,,
he/she is laying it down,long-no-a,,True,,
he/she is laying it down,long-no-a,,True,,
he/she is laying it down,long-no-a,,True,,
he/she is laying it down,long-no-a,,True,,
he/she is laying it down,long-no-a,,True,,
he/she is rising,ih-vh,atit,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is rising,ih-vh,it,True,present_1sg,Ambiguity implies lossy rule reversal
it’s scattering,become,tikaleyo,False,,
it’s scattering,become,atikaleyo,False,,
it’s scattering,become,tikaleyo,False,imperative,Ambiguity implies lossy rule reversal
it’s scattering,become,atikaleyo,False,imperative,Ambiguity implies lossy rule reversal
it’s scattering,become,tikaleyo,False,,
it’s scattering,become,atikaleyo,False,,
it’s scattering,become,tikaleyo,False,,
it’s scattering,become,atikaleyo,False,,
it’s scattering,become,ikaleyo,False,,
it’s scattering,become,ikaleyo,False,imperative,Ambiguity implies lossy rule reversal
it’s scattering,become,ikaleyo,False,,
it’s scattering,become,ikaleyo,False,,
it’s scattering,become[inf3],tikaleyo,True,,
it’s scattering,become[inf3],atikaleyo,True,,
it’s scattering,become[inf3],tikaleyo,True,imperative,Ambiguity implies lossy rule reversal
it’s scattering,become[inf3],atikaleyo,True,imperative,Ambiguity implies lossy rule reversal
it’s scattering,become[inf3],tikaleyo,True,,
it’s scattering,become[inf3],atikaleyo,True,,
it’s scattering,become[inf3],tikaleyo,True,,
it’s scattering,become[inf3],atikaleyo,True,,
it’s scattering,become[inf3],ikaleyo,True,,
it’s scattering,become[inf3],ikaleyo,True,imperative,Ambiguity implies lossy rule reversal
it’s scattering,become[inf3],ikaleyo,True,,
it’s scattering,become[inf3],ikaleyo,True,,
he/she is spinning,oh-ol[inf2],atikwalvtey,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is spinning,oh-ol[inf2],ikwalvtey,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is saying it,vnh-ih-a,at,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is saying it,vnh-ih-a,,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is running over him/her,cause,atinvt,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is running over him/her,cause,invt,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is running over him/her,cause[perf3],atinvt,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is running over him/her,cause[perf3],invt,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is running over him/her,cause[pres2],atinvtih,False,,
he/she is running over him/her,cause[pres2],invtih,False,,
he/she is running over him/her,cause[pres2-perf3],atinvtih,False,,
he/she is running over him/her,cause[pres2-perf3],invtih,False,,
he/she is hiding,hvsk-han,atihskal,True,,
he/she is hiding,hvsk-han,ihskal,True,,
he/she is leaving it behind,leaving,tihs,True,,
he/she is leaving it behind,leaving,tihs,True,,
he/she is drinking it,sk-h,atitha,False,,
he/she is drinking it,sk-h,itha,False,,
he/she is drinking it,sk-h[imp2],atitha,True,,
he/she is drinking it,sk-h[imp2],itha,True,,
he/she is scratching,sk-s-la,atlako,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is scratching,sk-s-la,lako,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is scratching,sk-s-hst,atlako,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is scratching,sk-s-hst,lako,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is turning off the road,rev-e,atl,True,,
he/she is turning off the road,rev-e,l,True,,
he/she is taking revenge against him/her,apl,atletsh,False,,
he/she is taking revenge against him/her,apl,letsh,False,,
he/she is taking revenge against him/her,apl[imp2],atletsh,False,,
he/she is taking revenge against him/her,apl[imp2],letsh,False,,
he/she is taking revenge against him/her,apl[imp3],atletsh,True,,
he/she is taking revenge against him/her,apl[imp3],letsh,True,,
he/she is pouring liquid into a container,i-a-i,tl,False,,
he/she is pouring liquid into a container,i-a-i,tl,False,,
it’s pouring into a container,become,tli,False,,
it’s pouring into a container,become,atli,False,,
it’s pouring into a container,become,tli,False,imperative,Ambiguity implies lossy rule reversal
it’s pouring into a container,become,atli,False,imperative,Ambiguity implies lossy rule reversal
it’s pouring into a container,become,tli,False,,
it’s pouring into a container,become,atli,False,,
it’s pouring into a container,become,tli,False,,
it’s pouring into a container,become,atli,False,,
it’s pouring into a container,become,li,False,,
it’s pouring into a container,become,li,False,imperative,Ambiguity implies lossy rule reversal
it’s pouring into a container,become,li,False,,
it’s pouring into a container,become,li,False,,
it’s pouring into a container,become[inf3],tli,True,,
it’s pouring into a container,become[inf3],atli,True,,
it’s pouring into a container,become[inf3],tli,True,imperative,Ambiguity implies lossy rule reversal
it’s pouring into a container,become[inf3],atli,True,imperative,Ambiguity implies lossy rule reversal
it’s pouring into a container,become[inf3],tli,True,,
it’s pouring into a container,become[inf3],atli,True,,
it’s pouring into a container,become[inf3],tli,True,,
it’s pouring into a container,become[inf3],atli,True,,
it’s pouring into a container,become[inf3],li,True,,
it’s pouring into a container,become[inf3],li,True,imperative,Ambiguity implies lossy rule reversal
it’s pouring into a container,become[inf3],li,True,,
it’s pouring into a container,become[inf3],li,True,,
he/she is drawing a liquid out of a container,ih-vh,tl,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is drawing a liquid out of a container,ih-vh,tl,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is drawing a liquid out of a container,ih-vh[inf2],tl,True,present_1sg,Ambiguity implies lossy rule reversal
